Country Name,Country Code,Access to electricity (% of population),"Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect,cluster
Afghanistan,AFG,0.4969127581638493,-0.3755884343723131,-1.5265434637006,-0.8945911043157277,-1.786929899827029,-0.659217672193161,-0.0830601663315142,-0.0683757293460207,-0.366967863054145,-0.3710850585190287,1.133602233364416,-1.5849060022282695,0.1677067054062442,-0.5761524599189156,-1.6653689682787975,1.7687708558242314,-1.0039622889843014,-0.8818301556042443,-0.7652862150140721,-0.9225905077737262,0.6551348693824569,0.6860814287056548,-0.7392394825518187,0.6554587321857062,2
Angola,AGO,-1.495242594575192,0.0492150362280959,0.5271118904379544,-0.655454005934943,-1.0482379667805215,0.1651622842477821,-0.0239681409475376,0.2336278132747677,-0.2944286156887878,-0.0267645983972209,0.0578855406522793,-1.7688123930942132,0.4249103684331683,0.9359314279391684,0.2889239480089626,1.1270694084184465,-0.7049403009993664,0.0214978449807906,-0.7652956629259056,-1.0999604219005554,-0.3802499346350796,0.7768704951408418,-0.0565122374495135,0.8382599459276878,2
Albania,ALB,0.5872866696293284,-0.3755884343723131,-0.1993535212771779,-0.3141552156227342,0.2945262698889104,-0.4506431750636147,-0.1280051630272582,-0.3858028047842216,-0.3599947526927752,-0.4191382715321584,-0.1337036197158281,0.7022278830277519,0.3825179171057371,0.3693510690042775,-0.1888721405581782,0.5277388764261661,0.1662519473772907,-2.958424600900256,1.4097904309332294,0.2052419108382837,0.0572890986645148,0.8597709439767826,-0.2082266978553975,-0.0279074221717693,0
United Arab Emirates,ARE,0.5872866696293284,0.898821977428914,1.7339546625679645,2.022438953002151,1.341579146547837,1.122374630140616,-0.1922546096258187,-0.3636429068429986,0.2453939878190254,-0.2866150967419111,0.7297045204296196,2.9636961297691333,2.148870055748788,-1.2004734923758331,1.11051247389449,-1.344310920749085,0.8014869372606115,0.3812066355746367,-0.7648548057599274,0.930140381727749,0.0270136055279718,-1.319243791081942,0.4947353632420315,0.2593668173296032,1
Argentina,ARG,0.5872866696293284,1.7484289186297322,-0.4400478618640014,0.0060762113630956,0.7952559258445612,-0.097569306880219,0.1319947583552053,0.9905747718589664,-0.1766498535170482,-0.8474487079648282,0.0004625475464065,0.1900644904785636,1.3606783699138283,-0.8792909959095577,1.4230714348433284,-0.4771891325250997,0.4777670018854882,0.6641269015263516,-0.7648233160198479,0.4712950730264386,-0.96211358162921,0.5637091163961869,0.3784178998949749,0.6423991366647666,1
Armenia,ARM,0.5872866696293284,0.898821977428914,-0.3959711321276886,-0.343040294035175,0.4555689710820252,-0.4218965558483593,-0.1165412800399687,-0.3853977033578733,-0.3606551597185213,2.391949052069453,-0.1049763128674331,0.6664980184996635,-0.136682560010555,-0.9298140852413316,0.1832022126330154,0.0913784159211899,-0.4190002490582897,-0.0957172952342762,-0.7648708632742368,-0.7548653793995541,-1.5254686499806112,0.6623916681963118,-0.554651906391638,1.4694025933537398,3
Australia,AUS,0.5872866696293284,0.4740185068285049,0.5095823306193057,1.449897396749968,1.1414449325241216,2.0768306765126328,-0.1161566150402814,3.5079889640891406,0.5153010260336301,0.1234136828912483,0.3495143455350923,0.2850451088229216,0.4648696989338616,-0.8287679065777841,1.206656568305354,-1.0306428868584805,1.1961114186245407,0.8257956249273315,1.4680464500804111,0.7874741933080138,1.582560778201742,-0.7192254697863946,0.6161101076041775,-0.550224221265174,1
Austria,AUT,0.5872866696293284,1.323625448029323,0.2023093734135781,1.6469529328321286,0.8712514862436541,1.158858741277236,-0.1114341380727714,-0.3578006595636758,0.2390150511951784,-0.7317785641686632,0.311205999638746,0.4985536824228028,1.230366943654403,0.058994948823382,0.3391395089433265,-1.0547402068696246,1.240281463666748,0.7772950079070375,1.469620937084389,0.8144650938198557,0.0726184622779543,-0.825807727715409,0.5655372974532833,-0.5415189412802839,1
Azerbaijan,AZE,0.5872866696293284,-0.3755884343723131,0.6348175512467639,-0.3222735524212882,0.760769404539881,-0.1476590474353725,-0.1769292899671705,-0.3577366488543545,-0.3203605607636061,2.589421122095371,0.0066364679230154,1.0244774090658275,-0.6650310867705126,-1.1860383239953265,-0.1354876650312234,0.7066986320315061,-0.0290254438442784,0.1488061519218869,-0.7649728939474939,-0.0318927015386256,-1.5369665013589,0.1334353273879453,-0.4459144488038299,-0.3282412364238005,3
Burundi,BDI,-2.984447483506349,0.0492150362280959,1.931077933797859,-0.967431865881538,-2.083952984696433,-0.666232038741368,-0.0253586255548206,-0.3866766017686073,-0.3692473546377185,0.2595392344277782,-0.0823913058047295,-2.032068997702691,1.1327149555017733,1.7767799861036877,-1.9122902702305888,1.831523528963919,-0.7979319177344619,-1.2556888385458853,-0.7653155017711879,-1.0556153355815563,-0.1496571664688079,0.0150095761186172,0.0142965370164203,-0.1497829538998925,2
