country,cntry_code,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,AFG,3832.0,521.0,51.4,496.0,164.0,731.0,0.48,267.0
Albania,ALB,5867.0,759.0,67.88,487.0,-206.0,877.0,566.0,257.0
Algeria,DZA,5317.0,0.81,65.6,0.53,-185.0,638.0,503.0,255.0
Angola,AGO,5589.0,723.0,51.22,584.0,53.0,911.0,667.0,361.0
Argentina,ARG,6776.0,889.0,66.42,816.0,-178.0,755.0,769.0,232.0
Armenia,ARM,4.26,705.0,65.04,465.0,-227.0,875.0,411.0,459.0
Australia,AUS,7406.0,967.0,70.28,945.0,366.0,382.0,724.0,195.0
Austria,AUT,7471.0,944.0,70.0,939.0,128.0,703.0,672.0,145.0
Azerbaijan,AZE,4.68,725.0,61.98,537.0,-108.0,795.0,522.0,258.0
Bahrain,BHR,4824.0,908.0,65.24,0.87,-59.0,583.0,506.0,514.0
Bangladesh,BGD,4986.0,606.0,61.72,838.0,-83.0,757.0,501.0,235.0
Belarus,BLR,5225.0,0.91,62.86,656.0,-171.0,672.0,493.0,249.0
Belgium,BEL,7111.0,937.0,69.36,0.88,-18.0,711.0,752.0,225.0
Benin,BEN,3.87,477.0,53.26,773.0,-142.0,849.0,574.0,219.0
Bolivia,BOL,5779.0,817.0,61.9,782.0,-41.0,825.0,689.0,361.0
Bosnia and Herzegovina,BIH,4995.0,725.0,67.0,333.0,-35.0,925.0,551.0,326.0
Botswana,BWA,3.52,0.86,51.04,813.0,-245.0,816.0,647.0,0.16
Brazil,BRA,7038.0,916.0,64.06,834.0,-75.0,662.0,698.0,268.0
Bulgaria,BGR,3875.0,0.86,65.34,664.0,-234.0,948.0,0.49,271.0
Burkina Faso,BFA,4785.0,0.71,51.64,725.0,-103.0,707.0,578.0,205.0
Burundi,BDI,3706.0,422.0,51.52,0.49,-59.0,677.0,572.0,0.19
Cambodia,KHM,4161.0,716.0,59.34,927.0,417.0,775.0,637.0,308.0
Cameroon,CMR,4434.0,738.0,50.04,817.0,-35.0,0.87,608.0,272.0
Canada,CAN,7426.0,922.0,70.86,951.0,249.0,433.0,803.0,248.0
Central African Republic,CAF,3678.0,387.0,42.84,0.78,-12.0,834.0,502.0,277.0
Chad,TCD,4393.0,819.0,48.98,0.54,29.0,876.0,579.0,289.0
Chile,CHL,6526.0,819.0,68.68,701.0,106.0,753.0,758.0,317.0
China,CHN,5037.0,787.0,66.96,824.0,-189.0,,0.71,134.0
Colombia,COL,6464.0,904.0,67.42,811.0,-76.0,847.0,785.0,286.0
Comoros,COM,3838.0,722.0,57.24,0.5,-81.0,732.0,622.0,173.0
Congo (Brazzaville),COG,4.51,637.0,53.38,745.0,-134.0,833.0,601.0,288.0
Congo (Kinshasa),COD,4517.0,744.0,50.4,631.0,-24.0,856.0,565.0,208.0
Costa Rica,CRI,7229.0,892.0,69.36,926.0,-0.04,837.0,794.0,269.0
Croatia,HRV,5385.0,0.79,67.42,517.0,-203.0,977.0,552.0,273.0
Cyprus,CYP,6.69,844.0,70.96,745.0,175.0,841.0,682.0,272.0
Czechia,CZE,6331.0,914.0,67.82,787.0,-0.11,0.95,623.0,253.0
Denmark,DNK,7788.0,962.0,69.62,935.0,293.0,0.22,778.0,175.0
Djibouti,DJI,4369.0,633.0,55.08,746.0,-79.0,519.0,543.0,181.0
Dominican Republic,DOM,5397.0,872.0,64.16,848.0,11.0,788.0,738.0,0.3
Ecuador,ECU,5795.0,818.0,66.14,788.0,-158.0,702.0,806.0,271.0
Egypt,EGY,4174.0,753.0,61.76,0.59,-151.0,859.0,456.0,353.0
El Salvador,SLV,4741.0,731.0,64.22,747.0,-0.13,707.0,0.83,336.0
Estonia,EST,5487.0,909.0,67.18,735.0,-171.0,687.0,641.0,205.0
Eswatini,SWZ,4867.0,837.0,42.5,607.0,-67.0,917.0,756.0,251.0
Finland,FIN,7354.0,938.0,69.82,936.0,97.0,0.32,709.0,205.0
France,FRA,6959.0,921.0,71.3,903.0,-106.0,627.0,718.0,281.0
Gabon,GAB,4255.0,653.0,54.46,772.0,-211.0,851.0,564.0,264.0
Georgia,GEO,4203.0,503.0,63.8,632.0,-258.0,353.0,421.0,247.0
Germany,DEU,6621.0,947.0,70.02,906.0,29.0,677.0,686.0,165.0
Ghana,GHA,5608.0,724.0,54.74,852.0,9.0,0.79,658.0,209.0
Greece,GRC,5372.0,852.0,70.08,528.0,-319.0,941.0,552.0,323.0
Guatemala,GTM,5743.0,768.0,60.38,763.0,6.0,863.0,792.0,289.0
Guinea,GIN,4045.0,598.0,51.02,797.0,0.04,743.0,0.67,0.26
Haiti,HTI,4845.0,567.0,33.32,413.0,198.0,682.0,0.55,245.0
Honduras,HND,4961.0,766.0,62.1,783.0,94.0,884.0,757.0,307.0
Hong Kong S.A.R. of China,HKG,5474.0,846.0,,894.0,0.23,245.0,582.0,196.0
Hungary,HUN,4918.0,894.0,65.96,631.0,-93.0,0.94,586.0,305.0
India,IND,4635.0,553.0,57.66,838.0,-0.04,908.0,0.48,232.0
Indonesia,IDN,5173.0,825.0,61.42,878.0,436.0,962.0,748.0,273.0
Iran,IRN,4768.0,582.0,65.14,798.0,191.0,665.0,513.0,359.0
Iraq,IRQ,4725.0,751.0,60.88,347.0,-65.0,0.78,473.0,557.0
Ireland,IRL,7007.0,977.0,70.22,952.0,378.0,0.59,786.0,0.19
Israel,ISR,7433.0,893.0,71.48,722.0,138.0,891.0,654.0,384.0
Italy,ITA,6057.0,913.0,71.2,568.0,-22.0,933.0,0.61,266.0
Jamaica,JAM,5374.0,855.0,66.6,796.0,-69.0,909.0,764.0,237.0
Japan,JPN,6263.0,917.0,73.12,814.0,-57.0,734.0,714.0,181.0
Jordan,JOR,5539.0,878.0,66.88,0.76,-153.0,,551.0,0.26
