country,cntry_code,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,AFG,3983.0,529.0,52.6,389.0,82.0,881.0,491.0,339.0
Albania,ALB,4607.0,639.0,69.0,704.0,-82.0,885.0,579.0,0.35
Argentina,ARG,6697.0,926.0,66.9,881.0,-178.0,851.0,768.0,305.0
Armenia,ARM,4348.0,723.0,66.0,551.0,-207.0,901.0,527.0,438.0
Australia,AUS,7309.0,952.0,70.6,922.0,328.0,357.0,0.75,0.21
Austria,AUT,7076.0,928.0,70.4,0.9,95.0,557.0,748.0,164.0
Azerbaijan,AZE,5147.0,786.0,63.1,764.0,-201.0,616.0,0.52,206.0
Bahrain,BHR,6007.0,853.0,66.2,0.85,107.0,,653.0,303.0
Bangladesh,BGD,4633.0,601.0,63.8,815.0,-82.0,721.0,543.0,226.0
Belarus,BLR,5719.0,924.0,65.1,623.0,-95.0,669.0,546.0,184.0
Belgium,BEL,6904.0,885.0,70.0,869.0,58.0,469.0,747.0,0.24
Benin,BEN,3625.0,434.0,54.3,733.0,-26.0,0.85,555.0,373.0
Bhutan,BTN,5082.0,848.0,62.6,0.83,276.0,634.0,723.0,312.0
Bolivia,BOL,5834.0,829.0,62.7,884.0,-31.0,862.0,749.0,393.0
Bosnia and Herzegovina,BIH,5117.0,656.0,67.0,631.0,-55.0,0.96,486.0,286.0
Botswana,BWA,3762.0,816.0,52.8,857.0,-105.0,0.86,676.0,261.0
Brazil,BRA,6547.0,907.0,64.7,799.0,-19.0,771.0,687.0,325.0
Bulgaria,BGR,4865.0,908.0,65.9,637.0,-205.0,941.0,556.0,214.0
Burkina Faso,BFA,4419.0,705.0,53.4,659.0,5.0,693.0,555.0,359.0
Cambodia,KHM,4162.0,729.0,60.7,956.0,208.0,825.0,731.0,399.0
Cameroon,CMR,5038.0,646.0,51.8,791.0,44.0,868.0,624.0,346.0
Canada,CAN,7413.0,939.0,71.1,931.0,249.0,427.0,792.0,286.0
Chad,TCD,4323.0,751.0,50.5,474.0,-0.03,889.0,593.0,358.0
Chile,CHL,6533.0,827.0,69.4,769.0,34.0,812.0,752.0,333.0
China,CHN,5304.0,794.0,68.0,,-247.0,,667.0,171.0
Colombia,COL,6388.0,0.89,68.3,791.0,-103.0,843.0,803.0,292.0
Congo (Brazzaville),COG,4691.0,642.0,54.9,0.85,-126.0,841.0,555.0,261.0
Congo (Kinshasa),COD,3903.0,767.0,52.4,574.0,-46.0,866.0,538.0,301.0
Costa Rica,CRI,6854.0,878.0,70.0,907.0,-66.0,761.0,811.0,286.0
