country,cntry_code,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,AFG,2436.0,454.0,54.55,394.0,-81.0,946.0,179.0,607.0
Albania,ALB,5255.0,702.0,69.15,827.0,41.0,896.0,554.0,254.0
Algeria,DZA,5217.0,841.0,66.6,558.0,-113.0,712.0,498.0,258.0
Argentina,ARG,5908.0,882.0,67.2,819.0,-12.0,816.0,685.0,345.0
Armenia,ARM,5301.0,762.0,67.65,795.0,-156.0,705.0,566.0,478.0
Australia,AUS,7112.0,0.92,71.05,912.0,236.0,454.0,0.74,235.0
Austria,AUT,7.08,863.0,71.15,795.0,159.0,501.0,722.0,259.0
Bangladesh,BGD,4123.0,485.0,64.55,893.0,92.0,746.0,504.0,448.0
Belgium,BEL,6882.0,915.0,70.9,823.0,79.0,523.0,687.0,0.26
Benin,BEN,4493.0,436.0,56.1,724.0,-13.0,613.0,597.0,435.0
Bolivia,BOL,5569.0,798.0,63.6,862.0,-55.0,812.0,721.0,403.0
Bosnia and Herzegovina,BIH,5749.0,0.86,67.3,759.0,277.0,921.0,604.0,305.0
Brazil,BRA,6.01,814.0,65.75,792.0,89.0,739.0,662.0,407.0
Bulgaria,BGR,5422.0,884.0,66.5,841.0,-16.0,891.0,647.0,253.0
Burkina Faso,BFA,4636.0,658.0,55.65,644.0,67.0,736.0,0.62,363.0
Cambodia,KHM,4555.0,713.0,61.9,965.0,15.0,844.0,759.0,391.0
Cameroon,CMR,4963.0,695.0,55.85,715.0,-26.0,849.0,612.0,347.0
Canada,CAN,6939.0,926.0,71.4,898.0,191.0,384.0,763.0,276.0
Chile,CHL,6436.0,891.0,70.3,803.0,-0.05,859.0,735.0,221.0
China,CHN,5863.0,856.0,68.75,875.0,22.0,,698.0,0.24
Colombia,COL,5.29,793.0,69.35,775.0,-63.0,831.0,752.0,348.0
Congo (Brazzaville),COG,4921.0,568.0,56.85,738.0,-19.0,733.0,568.0,0.42
Costa Rica,CRI,6408.0,876.0,70.0,887.0,-27.0,782.0,774.0,318.0
Croatia,HRV,6287.0,918.0,68.95,842.0,3.0,934.0,0.64,274.0
Cyprus,CYP,6269.0,855.0,72.8,718.0,-36.0,876.0,641.0,275.0
Czechia,CZE,6942.0,0.95,69.05,891.0,159.0,863.0,716.0,0.24
Denmark,DNK,7699.0,945.0,71.25,933.0,131.0,173.0,792.0,206.0
Dominican Republic,DOM,6031.0,857.0,64.4,859.0,-86.0,677.0,734.0,275.0
Ecuador,ECU,5435.0,786.0,69.0,821.0,-83.0,775.0,742.0,403.0
Egypt,EGY,4026.0,717.0,63.5,704.0,-226.0,0.58,387.0,325.0
El Salvador,SLV,6431.0,796.0,65.6,915.0,-81.0,663.0,826.0,0.29
Estonia,EST,6554.0,946.0,69.65,926.0,47.0,441.0,761.0,176.0
Finland,FIN,7794.0,0.97,71.15,963.0,-37.0,192.0,752.0,175.0
France,FRA,6656.0,915.0,72.3,837.0,-102.0,561.0,685.0,268.0
Gabon,GAB,5075.0,754.0,58.25,699.0,-205.0,766.0,0.62,362.0
Georgia,GEO,4911.0,671.0,64.95,777.0,-287.0,723.0,0.51,0.24
Germany,DEU,6755.0,868.0,71.3,778.0,75.0,418.0,703.0,251.0
Ghana,GHA,4378.0,633.0,58.75,0.73,108.0,888.0,588.0,295.0
Greece,GRC,6104.0,0.85,71.15,574.0,-159.0,752.0,624.0,311.0
Guinea,GIN,4945.0,627.0,54.2,676.0,0.16,784.0,672.0,0.45
Honduras,HND,6114.0,806.0,63.85,835.0,114.0,847.0,808.0,269.0
Hong Kong S.A.R. of China,HKG,5322.0,821.0,,669.0,22.0,0.39,534.0,224.0
Hungary,HUN,6227.0,948.0,67.5,727.0,-44.0,832.0,668.0,192.0
Iceland,ISL,7565.0,0.98,72.05,923.0,258.0,664.0,806.0,159.0
India,IND,3558.0,0.57,60.9,866.0,56.0,757.0,547.0,429.0
Indonesia,IDN,5433.0,817.0,63.05,885.0,543.0,845.0,799.0,273.0
Iran,IRN,4788.0,771.0,66.6,609.0,174.0,761.0,518.0,427.0
Iraq,IRQ,5094.0,0.73,63.65,594.0,7.0,901.0,577.0,474.0
Ireland,IRL,6828.0,0.85,71.3,846.0,133.0,0.36,733.0,245.0
Israel,ISR,7578.0,917.0,72.7,0.82,-6.0,726.0,558.0,217.0
Italy,ITA,6467.0,886.0,72.05,703.0,-94.0,862.0,634.0,318.0
Ivory Coast,CIV,5056.0,554.0,55.95,717.0,-2.0,716.0,626.0,345.0
Jamaica,JAM,5814.0,857.0,66.6,731.0,-82.0,883.0,689.0,308.0
Japan,JPN,6091.0,896.0,74.35,801.0,-211.0,0.67,674.0,189.0
Jordan,JOR,3909.0,703.0,67.6,773.0,-146.0,656.0,0.48,429.0
Kazakhstan,KAZ,6.26,906.0,65.8,807.0,36.0,782.0,663.0,122.0
Kenya,KEN,4465.0,702.0,58.5,678.0,316.0,841.0,745.0,253.0
Kosovo,XKX,6648.0,849.0,,0.84,261.0,842.0,578.0,116.0
Kyrgyzstan,KGZ,5564.0,904.0,66.85,918.0,203.0,903.0,0.66,226.0
Laos,LAO,4927.0,0.65,61.1,927.0,0.04,668.0,702.0,292.0
Latvia,LVA,6353.0,954.0,66.4,815.0,-102.0,0.84,716.0,186.0
Lebanon,LBN,2179.0,507.0,66.15,423.0,-161.0,905.0,263.0,569.0
Lithuania,LTU,6865.0,928.0,67.4,707.0,-119.0,878.0,667.0,191.0
Malawi,MWI,3635.0,558.0,58.2,757.0,-0.01,0.74,551.0,326.0
Malaysia,MYS,6.01,794.0,65.65,878.0,0.22,769.0,728.0,183.0
Mali,MLI,4113.0,573.0,55.4,673.0,0.0,902.0,0.64,438.0
Malta,MLT,6444.0,897.0,71.6,889.0,242.0,753.0,635.0,375.0
Mauritius,MUS,5949.0,887.0,63.85,802.0,-11.0,784.0,666.0,136.0
Mexico,MEX,5991.0,779.0,65.8,837.0,-35.0,745.0,0.75,305.0
Moldova,MDA,5959.0,0.88,65.3,833.0,-96.0,875.0,0.63,0.27
Mongolia,MNG,5721.0,927.0,60.5,667.0,217.0,851.0,0.56,202.0
Morocco,MAR,5326.0,505.0,63.9,762.0,-202.0,817.0,554.0,341.0
Mozambique,MOZ,5178.0,664.0,51.3,838.0,46.0,627.0,576.0,383.0
Myanmar,MMR,4314.0,0.78,61.55,631.0,511.0,671.0,636.0,268.0
Namibia,NAM,4491.0,808.0,56.85,659.0,-0.15,829.0,644.0,0.23
Nepal,NPL,4622.0,699.0,61.85,818.0,147.0,0.77,414.0,354.0
Netherlands,NLD,7314.0,919.0,71.55,856.0,267.0,397.0,714.0,201.0
New Zealand,NZL,7137.0,0.95,70.35,0.91,219.0,252.0,747.0,206.0
Nicaragua,NIC,6095.0,848.0,65.65,905.0,23.0,675.0,799.0,293.0
Nigeria,NGA,4479.0,742.0,55.05,726.0,0.05,912.0,666.0,188.0
North Macedonia,MKD,5535.0,809.0,66.5,793.0,191.0,884.0,563.0,303.0
Norway,NOR,7362.0,948.0,71.5,936.0,168.0,263.0,769.0,207.0
Pakistan,PAK,4487.0,608.0,57.45,764.0,0.01,743.0,518.0,307.0
Panama,PAN,6553.0,899.0,68.9,811.0,-146.0,861.0,834.0,218.0
Paraguay,PRY,5576.0,908.0,65.9,888.0,17.0,857.0,806.0,248.0
Peru,PER,5694.0,819.0,69.85,812.0,-87.0,0.88,784.0,369.0
Philippines,PHL,5965.0,778.0,62.05,905.0,-9.0,721.0,0.79,323.0
Poland,POL,5978.0,936.0,69.05,732.0,124.0,744.0,0.7,277.0
Portugal,PRT,6183.0,895.0,71.25,892.0,-209.0,872.0,629.0,284.0
Romania,ROU,6549.0,835.0,67.05,871.0,-184.0,928.0,674.0,264.0
Russia,RUS,5448.0,862.0,64.95,671.0,56.0,808.0,0.59,0.19
Saudi Arabia,SAU,6445.0,859.0,64.4,902.0,-102.0,,728.0,228.0
Senegal,SEN,4903.0,645.0,60.0,759.0,0.03,821.0,812.0,265.0
Serbia,SRB,6245.0,0.89,67.15,0.85,264.0,806.0,568.0,311.0
Sierra Leone,SLE,3714.0,609.0,54.5,659.0,109.0,851.0,538.0,448.0
Singapore,SGP,6587.0,876.0,73.8,879.0,63.0,145.0,697.0,0.16
Slovakia,SVK,6419.0,951.0,68.95,742.0,46.0,896.0,692.0,241.0
Slovenia,SVN,6761.0,955.0,71.05,851.0,27.0,754.0,643.0,261.0
South Africa,ZAF,5599.0,922.0,57.25,704.0,-145.0,892.0,784.0,173.0
South Korea,KOR,6113.0,811.0,73.65,717.0,-31.0,685.0,566.0,221.0
Spain,ESP,6.47,926.0,72.35,782.0,-74.0,729.0,639.0,324.0
Sri Lanka,LKA,4103.0,812.0,67.2,771.0,-12.0,849.0,733.0,312.0
Sweden,SWE,7439.0,932.0,72.15,953.0,174.0,191.0,763.0,0.19
Switzerland,CHE,7328.0,934.0,72.9,908.0,24.0,287.0,747.0,183.0
Taiwan Province of China,TWN,6247.0,866.0,,818.0,,675.0,667.0,123.0
Tajikistan,TJK,5287.0,883.0,62.3,,-68.0,499.0,655.0,0.24
Tanzania,TZA,3681.0,619.0,59.4,822.0,113.0,546.0,648.0,246.0
Thailand,THA,5638.0,883.0,68.45,836.0,293.0,943.0,719.0,298.0
Togo,TGO,4037.0,603.0,57.2,619.0,41.0,766.0,628.0,417.0
Tunisia,TUN,4499.0,711.0,67.0,591.0,-203.0,933.0,451.0,336.0
Turkiye,TUR,4367.0,736.0,68.75,447.0,-37.0,0.81,297.0,471.0
Uganda,UGA,4225.0,793.0,59.15,711.0,84.0,835.0,699.0,359.0
Ukraine,UKR,5311.0,879.0,64.55,0.77,169.0,922.0,575.0,0.25
United Arab Emirates,ARE,6733.0,826.0,66.3,951.0,151.0,,697.0,217.0
United Kingdom,GBR,6867.0,854.0,70.3,815.0,254.0,448.0,684.0,266.0
United States,USA,6959.0,0.92,65.85,816.0,0.19,687.0,0.74,277.0
Uruguay,URY,6502.0,914.0,67.5,899.0,-51.0,606.0,746.0,263.0
Uzbekistan,UZB,6185.0,896.0,65.3,927.0,186.0,662.0,698.0,233.0
