country,cntry_code,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Liberia,LBR,3355.0,643.0,53.1,763.0,31.0,901.0,625.0,509.0
Libya,LBY,5434.0,876.0,64525.0,822.0,-133.0,,645.0,383.0
Lithuania,LTU,5866.0,938.0,65.65,614.0,-0.27,949.0,553.0,0.25
Luxembourg,LUX,6967.0,941.0,71525.0,882.0,12.0,356.0,706.0,192.0
Madagascar,MDG,3663.0,746.0,56.55,0.57,-69.0,864.0,0.67,204.0
Malawi,MWI,3476.0,524.0,55.45,0.81,0.04,824.0,584.0,325.0
Mali,MLI,4016.0,836.0,53.4,696.0,-69.0,862.0,738.0,305.0
Malta,MLT,6591.0,0.93,71.35,916.0,341.0,696.0,645.0,355.0
Mauritania,MRT,4472.0,785.0,59125.0,467.0,-178.0,842.0,0.71,222.0
Mauritius,MUS,5.61,836.0,63975.0,819.0,134.0,891.0,706.0,246.0
Mexico,MEX,6824.0,893.0,65.8,752.0,-157.0,809.0,802.0,0.22
Moldova,MDA,5578.0,837.0,63.3,557.0,-0.05,969.0,586.0,275.0
Mongolia,MNG,5057.0,947.0,60.0,0.76,86.0,0.9,555.0,171.0
Montenegro,MNE,5304.0,866.0,66.7,569.0,-91.0,849.0,547.0,337.0
Morocco,MAR,5386.0,655.0,63.4,817.0,-245.0,717.0,658.0,205.0
Myanmar,MMR,4623.0,793.0,59925.0,877.0,683.0,607.0,671.0,302.0
Nepal,NPL,5.1,837.0,60475.0,839.0,158.0,817.0,523.0,0.37
Netherlands,NLD,7541.0,926.0,71175.0,907.0,235.0,433.0,737.0,215.0
New Zealand,NZL,7226.0,937.0,69975.0,927.0,261.0,278.0,777.0,207.0
Nicaragua,NIC,6013.0,853.0,65275.0,717.0,38.0,731.0,787.0,0.38
Niger,NER,4235.0,683.0,54.45,702.0,-17.0,814.0,646.0,325.0
Nigeria,NGA,5.22,805.0,53425.0,798.0,42.0,905.0,745.0,252.0
North Macedonia,MKD,5346.0,871.0,65.5,706.0,76.0,0.87,587.0,292.0
Norway,NOR,7596.0,0.96,71.25,954.0,127.0,0.41,809.0,209.0
Pakistan,PAK,5549.0,627.0,56075.0,634.0,87.0,793.0,503.0,332.0
Panama,PAN,6118.0,882.0,68.4,884.0,-107.0,837.0,813.0,244.0
Paraguay,PRY,5801.0,0.94,65.65,854.0,-0.08,756.0,833.0,197.0
Peru,PER,5701.0,803.0,68975.0,0.83,-137.0,866.0,791.0,338.0
Philippines,PHL,5431.0,821.0,61925.0,908.0,-73.0,792.0,807.0,0.29
Poland,POL,6162.0,917.0,68175.0,871.0,-94.0,848.0,666.0,224.0
Portugal,PRT,5447.0,905.0,70625.0,838.0,-229.0,922.0,659.0,326.0
Romania,ROU,5969.0,809.0,66425.0,822.0,-118.0,949.0,607.0,258.0
