country,cntry_code,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,AFG,3724.0,451.0,50.5,718.0,168.0,882.0,414.0,258.0
Argentina,ARG,5961.0,892.0,66.06,678.0,-135.0,865.0,0.72,318.0
Armenia,ARM,4652.0,709.0,64.32,462.0,-216.0,876.0,486.0,385.0
Australia,AUS,7254.0,947.0,70.04,916.0,302.0,431.0,729.0,218.0
Austria,AUT,7181.0,935.0,69.7,879.0,287.0,614.0,716.0,173.0
Azerbaijan,AZE,4817.0,684.0,61.14,601.0,-31.0,715.0,561.0,227.0
Bangladesh,BGD,5052.0,467.0,60.16,606.0,-57.0,802.0,545.0,232.0
Belarus,BLR,5463.0,904.0,61.18,0.64,-223.0,696.0,,246.0
Belgium,BEL,7117.0,923.0,68.88,887.0,3.0,652.0,709.0,242.0
Benin,BEN,3667.0,382.0,52.48,709.0,-4.0,825.0,574.0,303.0
Bolivia,BOL,5298.0,785.0,61.3,726.0,-93.0,801.0,723.0,392.0
Botswana,BWA,5451.0,832.0,49.72,858.0,-164.0,806.0,677.0,218.0
Brazil,BRA,6691.0,878.0,63.58,782.0,-81.0,688.0,718.0,265.0
Burkina Faso,BFA,3846.0,727.0,50.32,612.0,-99.0,887.0,538.0,304.0
Burundi,BDI,3563.0,291.0,49.66,0.26,-18.0,0.86,415.0,253.0
Cambodia,KHM,4462.0,619.0,58.32,914.0,44.0,888.0,0.6,335.0
Cameroon,CMR,4292.0,697.0,48.72,0.58,-76.0,945.0,613.0,312.0
Canada,CAN,7486.0,939.0,70.68,926.0,258.0,0.37,802.0,202.0
Chad,TCD,4632.0,571.0,47.84,527.0,61.0,944.0,569.0,225.0
Chile,CHL,5789.0,804.0,68.14,0.64,78.0,741.0,706.0,0.33
China,CHN,4846.0,748.0,66.18,853.0,-95.0,,705.0,147.0
Colombia,COL,6168.0,0.88,66.76,795.0,-45.0,763.0,768.0,307.0
Congo (Brazzaville),COG,3.82,555.0,52.24,526.0,-122.0,,603.0,298.0
Costa Rica,CRI,6851.0,916.0,68.88,912.0,89.0,816.0,838.0,233.0
Denmark,DNK,7971.0,954.0,68.96,0.97,268.0,248.0,759.0,163.0
Djibouti,DJI,5009.0,0.69,53.64,773.0,126.0,576.0,0.74,0.12
Dominican Republic,DOM,4842.0,0.85,64.88,848.0,-48.0,728.0,654.0,329.0
Ecuador,ECU,5297.0,829.0,65.12,0.64,-98.0,801.0,811.0,283.0
Egypt,EGY,4632.0,738.0,61.58,,-86.0,914.0,627.0,301.0
El Salvador,SLV,5191.0,747.0,64.76,636.0,-82.0,735.0,827.0,232.0
Estonia,EST,5452.0,904.0,66.34,642.0,-221.0,663.0,595.0,218.0
Finland,FIN,7671.0,951.0,69.16,934.0,23.0,217.0,691.0,144.0
France,FRA,7008.0,935.0,71.0,833.0,-35.0,669.0,702.0,281.0
Georgia,GEO,4156.0,608.0,63.5,614.0,-227.0,498.0,371.0,262.0
Germany,DEU,6522.0,923.0,69.96,766.0,,758.0,672.0,0.22
Ghana,GHA,4965.0,622.0,53.42,838.0,118.0,863.0,674.0,172.0
Guatemala,GTM,6414.0,866.0,59.54,0.63,203.0,796.0,0.8,234.0
Haiti,HTI,3846.0,679.0,17.36,465.0,217.0,812.0,573.0,256.0
Honduras,HND,5.42,828.0,62.7,687.0,222.0,863.0,719.0,206.0
Hong Kong S.A.R. of China,HKG,5137.0,0.84,,922.0,292.0,274.0,575.0,237.0
Iceland,ISL,6888.0,977.0,71.2,885.0,266.0,708.0,851.0,153.0
India,IND,5146.0,684.0,56.58,756.0,-74.0,891.0,573.0,259.0
Indonesia,IDN,4815.0,675.0,60.76,596.0,162.0,968.0,675.0,239.0
Iran,IRN,5129.0,633.0,64.72,601.0,42.0,868.0,541.0,345.0
Iraq,IRQ,4.59,744.0,60.94,386.0,-58.0,0.91,532.0,448.0
Ireland,IRL,7568.0,983.0,69.86,894.0,317.0,487.0,745.0,148.0
Israel,ISR,7261.0,859.0,71.24,663.0,136.0,898.0,635.0,349.0
Italy,ITA,6.78,0.88,70.9,543.0,45.0,946.0,588.0,268.0
Japan,JPN,5911.0,887.0,72.76,772.0,-141.0,816.0,705.0,191.0
Jordan,JOR,4.93,766.0,66.34,,-131.0,709.0,656.0,331.0
Kazakhstan,KAZ,5886.0,839.0,59.2,727.0,-224.0,899.0,613.0,0.16
Kenya,KEN,4015.0,827.0,52.46,0.62,-22.0,909.0,733.0,149.0
Kosovo,XKX,5522.0,884.0,,,97.0,849.0,0.5,318.0
Kyrgyzstan,KGZ,4737.0,792.0,60.76,719.0,-102.0,923.0,594.0,147.0
Laos,LAO,5044.0,807.0,56.64,886.0,415.0,637.0,728.0,202.0
Latvia,LVA,5145.0,855.0,63.7,0.63,-208.0,926.0,633.0,215.0
