country,cntry_code,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Albania,ALB,4634.0,821.0,66.76,529.0,-0.01,875.0,489.0,246.0
Argentina,ARG,6073.0,862.0,65.94,653.0,-144.0,881.0,0.75,279.0
Armenia,ARM,4882.0,0.76,64.08,605.0,-252.0,817.0,454.0,412.0
Australia,AUS,7285.0,965.0,69.96,891.0,343.0,513.0,762.0,215.0
Azerbaijan,AZE,4568.0,753.0,60.86,522.0,-209.0,871.0,474.0,284.0
Bangladesh,BGD,4607.0,514.0,59.64,605.0,27.0,806.0,484.0,313.0
Belarus,BLR,5617.0,858.0,60.62,667.0,-228.0,695.0,502.0,235.0
Belgium,BEL,7219.0,922.0,68.72,901.0,65.0,721.0,744.0,218.0
Belize,BLZ,6451.0,872.0,64.3,705.0,8.0,769.0,732.0,251.0
Bolivia,BOL,5628.0,796.0,61.1,0.78,-1.0,817.0,746.0,388.0
Bosnia and Herzegovina,BIH,4.9,766.0,67.0,342.0,8.0,926.0,0.57,296.0
Brazil,BRA,6321.0,886.0,63.42,777.0,-19.0,728.0,775.0,299.0
Bulgaria,BGR,3844.0,832.0,64.78,566.0,-143.0,976.0,0.5,226.0
Burkina Faso,BFA,4017.0,771.0,49.88,582.0,-59.0,833.0,609.0,281.0
Cambodia,KHM,4156.0,675.0,57.98,819.0,114.0,879.0,,0.32
Cameroon,CMR,4.35,717.0,48.28,644.0,-39.0,0.91,0.63,249.0
Canada,CAN,7482.0,,70.62,0.93,246.0,406.0,812.0,257.0
Central African Republic,CAF,4.16,532.0,41.48,663.0,83.0,782.0,567.0,0.33
Chad,TCD,4141.0,479.0,47.46,295.0,-13.0,874.0,598.0,245.0
Chile,CHL,5698.0,815.0,67.96,662.0,239.0,723.0,708.0,342.0
China,CHN,4863.0,811.0,65.92,,-179.0,,664.0,159.0
Colombia,COL,6138.0,894.0,66.54,786.0,-43.0,0.86,774.0,287.0
Costa Rica,CRI,7432.0,918.0,68.72,923.0,92.0,0.82,826.0,0.24
Croatia,HRV,5821.0,0.91,66.94,662.0,-97.0,934.0,0.55,337.0
Czechia,CZE,6.5,0.9,67.34,799.0,-67.0,928.0,0.66,277.0
Denmark,DNK,7834.0,954.0,68.74,932.0,236.0,206.0,778.0,194.0
Dominican Republic,DOM,5081.0,848.0,65.12,886.0,-0.01,772.0,723.0,0.26
Ecuador,ECU,4996.0,839.0,64.78,0.67,-66.0,0.83,803.0,286.0
Egypt,EGY,5541.0,686.0,61.52,609.0,-0.12,,0.6,355.0
El Salvador,SLV,5296.0,717.0,64.94,639.0,-19.0,785.0,833.0,0.22
Estonia,EST,5332.0,896.0,66.06,712.0,-0.25,743.0,589.0,176.0
Georgia,GEO,3707.0,548.0,63.4,464.0,-0.27,697.0,351.0,236.0
Germany,DEU,6417.0,926.0,69.94,801.0,163.0,792.0,647.0,231.0
Ghana,GHA,5.22,0.73,52.98,891.0,136.0,771.0,658.0,217.0
