country,cntry_code,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,AFG,3572.0,484.0,52.0,578.0,63.0,823.0,547.0,273.0
Albania,ALB,4551.0,759.0,68.44,632.0,-129.0,863.0,541.0,338.0
Angola,AGO,3937.0,722.0,52.46,0.41,-106.0,816.0,0.65,371.0
Argentina,ARG,6582.0,0.91,66.66,737.0,-134.0,823.0,766.0,254.0
Armenia,ARM,4277.0,723.0,65.52,504.0,-198.0,0.9,503.0,0.45
Australia,AUS,7364.0,928.0,70.44,933.0,265.0,432.0,0.77,177.0
Austria,AUT,7499.0,0.95,70.2,922.0,164.0,679.0,725.0,163.0
Azerbaijan,AZE,5481.0,0.77,62.54,672.0,-171.0,699.0,516.0,242.0
Bahrain,BHR,6.69,884.0,65.72,809.0,,525.0,711.0,306.0
Bangladesh,BGD,4.66,0.53,62.76,742.0,-29.0,743.0,492.0,246.0
Belarus,BLR,5876.0,923.0,63.98,723.0,-181.0,653.0,545.0,206.0
Belgium,BEL,7104.0,909.0,69.68,891.0,12.0,574.0,738.0,217.0
Benin,BEN,3479.0,577.0,53.78,783.0,-85.0,856.0,646.0,216.0
Bhutan,BTN,5569.0,819.0,62.24,0.81,352.0,802.0,664.0,217.0
Bolivia,BOL,5767.0,803.0,62.3,846.0,-68.0,812.0,721.0,0.41
Bosnia and Herzegovina,BIH,5124.0,767.0,67.0,0.39,41.0,0.97,489.0,315.0
Botswana,BWA,4128.0,856.0,51.92,767.0,-145.0,749.0,671.0,244.0
Brazil,BRA,7.14,0.91,64.38,785.0,-98.0,707.0,725.0,276.0
Bulgaria,BGR,3993.0,829.0,65.62,603.0,-197.0,962.0,537.0,278.0
Burkina Faso,BFA,3326.0,745.0,52.52,741.0,-15.0,765.0,592.0,287.0
Cambodia,KHM,3674.0,651.0,60.02,941.0,162.0,812.0,0.67,0.44
Cameroon,CMR,4271.0,0.76,50.92,794.0,-36.0,867.0,0.64,268.0
Canada,CAN,7594.0,936.0,70.98,916.0,312.0,406.0,801.0,263.0
Chad,TCD,3508.0,714.0,49.74,488.0,-47.0,882.0,437.0,314.0
Chile,CHL,6.74,862.0,69.04,737.0,79.0,741.0,791.0,285.0
China,CHN,5241.0,778.0,67.48,805.0,-161.0,,717.0,142.0
Colombia,COL,6607.0,901.0,67.86,841.0,-74.0,898.0,815.0,278.0
Congo (Brazzaville),COG,3955.0,0.68,54.14,726.0,-104.0,752.0,599.0,291.0
Congo (Kinshasa),COD,4497.0,0.83,51.4,0.48,13.0,913.0,556.0,187.0
Costa Rica,CRI,7158.0,902.0,69.68,898.0,11.0,813.0,809.0,278.0
Croatia,HRV,5885.0,751.0,67.66,627.0,-209.0,936.0,554.0,285.0
Cyprus,CYP,5439.0,744.0,71.28,656.0,98.0,867.0,657.0,0.42
Czechia,CZE,6698.0,888.0,68.06,726.0,-0.16,916.0,656.0,253.0
Denmark,DNK,7589.0,965.0,70.06,0.92,211.0,0.17,826.0,195.0
Dominican Republic,DOM,5016.0,878.0,63.68,889.0,18.0,752.0,766.0,295.0
Ecuador,ECU,6019.0,801.0,66.82,787.0,-194.0,646.0,824.0,267.0
Egypt,EGY,3559.0,675.0,61.88,474.0,-0.14,913.0,487.0,483.0
El Salvador,SLV,6325.0,827.0,63.86,716.0,-153.0,772.0,801.0,317.0
Estonia,EST,5367.0,901.0,67.74,754.0,-204.0,726.0,651.0,199.0
Ethiopia,ETH,4445.0,602.0,56.98,707.0,-8.0,0.75,0.57,213.0
Finland,FIN,7445.0,941.0,70.26,919.0,35.0,306.0,752.0,195.0
France,FRA,6667.0,908.0,71.5,878.0,-128.0,699.0,741.0,205.0
Gabon,GAB,3.8,733.0,55.38,682.0,-146.0,0.78,519.0,287.0
Georgia,GEO,4349.0,559.0,64.0,722.0,-257.0,349.0,467.0,0.2
Germany,DEU,6965.0,931.0,70.06,894.0,0.02,566.0,693.0,205.0
Ghana,GHA,4965.0,676.0,55.62,794.0,-67.0,0.88,0.66,211.0
Greece,GRC,4.72,687.0,70.24,426.0,-275.0,941.0,571.0,482.0
Guatemala,GTM,5985.0,0.83,60.94,884.0,42.0,817.0,822.0,333.0
Guinea,GIN,3902.0,567.0,51.26,693.0,0.09,815.0,606.0,348.0
Haiti,HTI,4622.0,648.0,43.96,0.61,246.0,669.0,528.0,327.0
Honduras,HND,4713.0,792.0,61.7,698.0,-28.0,868.0,795.0,283.0
Hungary,HUN,4914.0,877.0,66.28,674.0,-117.0,912.0,647.0,307.0
Iceland,ISL,7501.0,967.0,71.7,923.0,301.0,713.0,802.0,156.0
India,IND,4428.0,553.0,58.38,0.74,82.0,832.0,608.0,0.33
Indonesia,IDN,5292.0,794.0,61.86,781.0,374.0,973.0,777.0,249.0
Iran,IRN,5.14,664.0,65.42,0.73,204.0,685.0,575.0,552.0
Iraq,IRQ,4725.0,728.0,60.84,,-44.0,0.71,,554.0
Ireland,IRL,6.76,955.0,70.46,884.0,326.0,558.0,744.0,245.0
Israel,ISR,7321.0,909.0,71.64,739.0,147.0,849.0,649.0,409.0
Italy,ITA,6009.0,916.0,71.4,499.0,-106.0,943.0,702.0,357.0
Ivory Coast,CIV,3739.0,709.0,51.3,739.0,-32.0,691.0,661.0,306.0
Jamaica,JAM,5709.0,865.0,66.6,793.0,-26.0,931.0,694.0,312.0
Japan,JPN,5959.0,924.0,73.36,821.0,-152.0,0.65,719.0,175.0
Jordan,JOR,5172.0,0.84,67.24,692.0,-128.0,,597.0,286.0
Kazakhstan,KAZ,5835.0,889.0,62.2,782.0,-233.0,0.82,629.0,164.0
Kenya,KEN,3795.0,825.0,55.06,708.0,204.0,861.0,729.0,161.0
Kosovo,XKX,6126.0,721.0,,568.0,117.0,935.0,0.65,203.0
Kuwait,KWT,6.48,862.0,69.8,751.0,,,686.0,283.0
Kyrgyzstan,KGZ,5402.0,851.0,62.86,755.0,-87.0,0.9,595.0,135.0
Latvia,LVA,5.07,834.0,65.2,631.0,-77.0,837.0,605.0,227.0
Lebanon,LBN,4983.0,708.0,65.58,655.0,-0.01,921.0,446.0,409.0
Lithuania,LTU,5596.0,913.0,64.9,556.0,-0.24,936.0,0.54,294.0
Luxembourg,LUX,7131.0,917.0,71.1,0.79,-63.0,301.0,601.0,185.0
Madagascar,MDG,3816.0,673.0,55.82,0.48,-18.0,868.0,0.6,241.0
Malawi,MWI,4035.0,563.0,52.78,752.0,53.0,857.0,699.0,248.0
Malaysia,MYS,5.77,831.0,65.64,791.0,262.0,755.0,664.0,317.0
Mali,MLI,3676.0,0.82,52.32,665.0,-53.0,755.0,717.0,193.0
Malta,MLT,6.38,942.0,70.94,909.0,402.0,,629.0,0.37
Mauritania,MRT,4199.0,741.0,58.3,603.0,-81.0,676.0,743.0,196.0
Mexico,MEX,7443.0,759.0,65.52,739.0,-169.0,615.0,0.75,223.0
Moldova,MDA,5756.0,803.0,62.14,658.0,-72.0,941.0,548.0,261.0
Mongolia,MNG,4913.0,935.0,59.06,748.0,132.0,928.0,549.0,179.0
Montenegro,MNE,5074.0,736.0,66.44,502.0,-179.0,693.0,493.0,331.0
