country,cntry_code,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,AFG,3783.0,521.0,51.7,531.0,238.0,776.0,614.0,268.0
Albania,ALB,5.51,785.0,68.16,602.0,-0.17,848.0,553.0,271.0
Algeria,DZA,5605.0,839.0,65.7,587.0,-177.0,0.69,0.54,0.23
Angola,AGO,4.36,753.0,51.84,456.0,-139.0,906.0,591.0,305.0
Argentina,ARG,6468.0,902.0,66.54,747.0,-151.0,817.0,744.0,272.0
Armenia,ARM,4.32,676.0,65.28,502.0,-217.0,893.0,0.47,464.0
Australia,AUS,7196.0,945.0,70.36,935.0,0.27,368.0,728.0,214.0
Austria,AUT,7401.0,945.0,70.1,0.92,114.0,771.0,712.0,157.0
Azerbaijan,AZE,4911.0,762.0,62.26,599.0,-143.0,763.0,523.0,266.0
Bahrain,BHR,5027.0,911.0,65.48,682.0,,438.0,559.0,381.0
Bangladesh,BGD,4724.0,582.0,62.24,668.0,-48.0,765.0,537.0,183.0
Belarus,BLR,5749.0,902.0,63.42,645.0,-221.0,657.0,515.0,181.0
Belgium,BEL,6935.0,927.0,69.52,855.0,-54.0,758.0,718.0,238.0
Benin,BEN,3193.0,523.0,53.52,769.0,-111.0,806.0,563.0,231.0
Bolivia,BOL,6019.0,781.0,62.1,862.0,-16.0,0.84,699.0,409.0
Bosnia and Herzegovina,BIH,4773.0,779.0,67.0,0.42,-13.0,953.0,469.0,338.0
Botswana,BWA,4836.0,837.0,51.48,799.0,-195.0,814.0,695.0,171.0
Brazil,BRA,6.66,0.89,64.22,849.0,,623.0,685.0,0.35
Bulgaria,BGR,4222.0,838.0,65.48,641.0,-179.0,938.0,0.51,237.0
Burkina Faso,BFA,3955.0,744.0,52.08,622.0,-68.0,726.0,487.0,0.3
Cambodia,KHM,3899.0,606.0,59.68,956.0,245.0,0.89,713.0,352.0
Cameroon,CMR,4245.0,743.0,50.48,766.0,-38.0,898.0,617.0,284.0
Canada,CAN,7415.0,948.0,70.92,918.0,286.0,466.0,776.0,229.0
Chad,TCD,4033.0,673.0,49.36,563.0,-36.0,884.0,498.0,316.0
Chile,CHL,6599.0,855.0,68.86,734.0,189.0,782.0,736.0,288.0
China,CHN,5095.0,788.0,67.22,808.0,-187.0,,689.0,159.0
Colombia,COL,6375.0,914.0,67.64,828.0,-12.0,868.0,829.0,294.0
Comoros,COM,3956.0,719.0,57.48,534.0,-127.0,651.0,616.0,212.0
Congo (Brazzaville),COG,3919.0,622.0,53.76,773.0,-141.0,0.8,547.0,323.0
Congo (Kinshasa),COD,4639.0,0.77,50.9,557.0,-33.0,807.0,626.0,0.23
Costa Rica,CRI,7272.0,902.0,69.52,929.0,39.0,794.0,837.0,263.0
Croatia,HRV,6028.0,776.0,67.54,542.0,-247.0,924.0,572.0,271.0
Cyprus,CYP,6181.0,767.0,71.12,725.0,94.0,871.0,687.0,369.0
Czechia,CZE,6334.0,912.0,67.94,0.74,-158.0,957.0,635.0,257.0
Denmark,DNK,7.52,951.0,69.84,933.0,135.0,187.0,783.0,209.0
Dominican Republic,DOM,4753.0,879.0,63.92,0.84,-64.0,727.0,725.0,297.0
Ecuador,ECU,5961.0,785.0,66.48,825.0,-87.0,0.73,767.0,333.0
Egypt,EGY,4204.0,737.0,61.82,452.0,-137.0,0.88,458.0,398.0
El Salvador,SLV,5934.0,806.0,64.04,683.0,-158.0,786.0,784.0,365.0
Estonia,EST,5364.0,889.0,67.46,697.0,-195.0,793.0,627.0,199.0
Ethiopia,ETH,4561.0,659.0,56.32,776.0,-44.0,,556.0,137.0
Finland,FIN,7.42,928.0,70.04,921.0,-5.0,361.0,742.0,202.0
France,FRA,6649.0,937.0,71.4,841.0,-153.0,608.0,705.0,253.0
Gabon,GAB,3972.0,736.0,54.92,566.0,-195.0,0.81,504.0,266.0
Georgia,GEO,4254.0,533.0,63.9,659.0,-272.0,321.0,443.0,0.25
Germany,DEU,6702.0,926.0,70.04,904.0,67.0,679.0,699.0,0.17
Ghana,GHA,5057.0,685.0,55.18,679.0,38.0,898.0,709.0,152.0
Greece,GRC,5096.0,812.0,70.16,373.0,-308.0,959.0,544.0,352.0
Guatemala,GTM,5856.0,802.0,60.66,865.0,18.0,821.0,808.0,349.0
Guinea,GIN,3652.0,542.0,51.14,646.0,0.0,794.0,657.0,285.0
Haiti,HTI,4413.0,749.0,38.64,482.0,246.0,717.0,557.0,284.0
Honduras,HND,4602.0,779.0,61.9,0.7,-4.0,871.0,796.0,294.0
Hong Kong S.A.R. of China,HKG,5484.0,826.0,,0.88,218.0,0.38,0.58,183.0
Hungary,HUN,4683.0,906.0,66.12,569.0,-0.14,0.93,582.0,315.0
Iceland,ISL,7591.0,979.0,71.6,905.0,236.0,759.0,817.0,157.0
India,IND,4.72,511.0,58.02,609.0,65.0,0.83,544.0,295.0
Indonesia,IDN,5368.0,834.0,61.64,0.77,352.0,962.0,764.0,229.0
Iran,IRN,4609.0,0.6,65.28,764.0,,678.0,529.0,525.0
Iraq,IRQ,4.66,0.73,60.86,315.0,-15.0,789.0,0.41,449.0
Ireland,IRL,6965.0,962.0,70.34,902.0,297.0,573.0,721.0,237.0
Israel,ISR,7111.0,903.0,71.56,681.0,0.15,862.0,611.0,319.0
Italy,ITA,5839.0,869.0,71.3,0.57,109.0,908.0,651.0,388.0
Japan,JPN,5968.0,905.0,73.24,753.0,,692.0,708.0,171.0
Jordan,JOR,5132.0,829.0,67.06,693.0,-173.0,,469.0,345.0
Kazakhstan,KAZ,5759.0,892.0,61.6,0.84,-175.0,877.0,667.0,184.0
Kenya,KEN,4547.0,831.0,54.54,628.0,56.0,911.0,667.0,194.0
Kosovo,XKX,5.64,757.0,,636.0,0.03,0.95,562.0,0.1
Kuwait,KWT,6221.0,889.0,69.6,934.0,,,794.0,95.0
Kyrgyzstan,KGZ,5208.0,856.0,62.44,703.0,-81.0,892.0,0.58,182.0
Laos,LAO,4876.0,693.0,58.16,,0.23,,741.0,387.0
Latvia,LVA,5125.0,851.0,64.9,564.0,-42.0,895.0,588.0,232.0
Lebanon,LBN,4573.0,713.0,65.52,621.0,-14.0,856.0,442.0,339.0
Libya,LBY,5754.0,855.0,65.14,712.0,-74.0,791.0,633.0,316.0
Lithuania,LTU,5771.0,919.0,64.7,503.0,-277.0,957.0,557.0,277.0
Luxembourg,LUX,6964.0,914.0,70.9,917.0,49.0,403.0,726.0,227.0
Madagascar,MDG,3551.0,673.0,55.58,487.0,-54.0,854.0,588.0,194.0
Malawi,MWI,4279.0,604.0,51.72,637.0,144.0,886.0,717.0,0.2
Malaysia,MYS,5914.0,841.0,65.56,848.0,15.0,847.0,744.0,177.0
Mali,MLI,4313.0,823.0,51.98,704.0,-88.0,787.0,647.0,109.0
Malta,MLT,5963.0,922.0,70.76,861.0,345.0,,639.0,391.0
Mauritania,MRT,4673.0,763.0,58.0,487.0,-24.0,707.0,749.0,164.0
Mexico,MEX,7.32,767.0,65.38,788.0,-97.0,633.0,722.0,278.0
Moldova,MDA,5996.0,826.0,61.76,602.0,-52.0,955.0,564.0,314.0
Mongolia,MNG,4885.0,919.0,58.64,688.0,103.0,932.0,524.0,181.0
