country,cntry_code,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,AFG,4758.0,539.0,51.1,0.6,121.0,707.0,517.0,275.0
Albania,ALB,5269.0,733.0,67.6,569.0,-174.0,726.0,576.0,0.3
Algeria,DZA,5464.0,,65.5,593.0,-0.21,618.0,,
Argentina,ARG,6441.0,927.0,66.3,0.73,-129.0,855.0,765.0,211.0
Armenia,ARM,4368.0,0.66,64.8,459.0,-177.0,891.0,437.0,426.0
Australia,AUS,7.45,955.0,70.2,932.0,313.0,366.0,762.0,0.22
Austria,AUT,7303.0,914.0,69.9,896.0,127.0,546.0,0.71,156.0
Azerbaijan,AZE,4219.0,687.0,61.7,501.0,-125.0,858.0,516.0,272.0
Bahrain,BHR,5937.0,877.0,65.0,862.0,-6.0,715.0,641.0,423.0
Bangladesh,BGD,4858.0,549.0,61.2,659.0,-0.03,774.0,496.0,292.0
Belarus,BLR,5526.0,918.0,62.3,0.7,-166.0,706.0,532.0,208.0
Belgium,BEL,6854.0,931.0,69.2,807.0,18.0,697.0,793.0,0.24
Bolivia,BOL,5781.0,807.0,61.7,703.0,-0.07,781.0,0.72,0.35
Bosnia and Herzegovina,BIH,4669.0,773.0,67.0,365.0,-128.0,933.0,465.0,409.0
Botswana,BWA,3553.0,866.0,50.6,826.0,-138.0,814.0,617.0,172.0
Brazil,BRA,6837.0,906.0,63.9,806.0,-57.0,656.0,726.0,0.25
Bulgaria,BGR,3912.0,843.0,65.2,545.0,-151.0,941.0,513.0,238.0
Burkina Faso,BFA,4036.0,773.0,51.2,587.0,-35.0,767.0,565.0,217.0
Cambodia,KHM,4141.0,697.0,59.0,0.94,348.0,896.0,662.0,422.0
Cameroon,CMR,4554.0,759.0,49.6,792.0,-4.0,875.0,594.0,274.0
Canada,CAN,7.65,954.0,70.8,934.0,227.0,413.0,791.0,233.0
Central African Republic,CAF,3568.0,483.0,42.5,0.69,-33.0,845.0,478.0,257.0
Chad,TCD,3743.0,734.0,48.6,505.0,23.0,858.0,0.56,287.0
Chile,CHL,6636.0,857.0,68.5,786.0,102.0,702.0,0.76,0.3
China,CHN,4653.0,768.0,66.7,805.0,-136.0,,658.0,158.0
Colombia,COL,6408.0,893.0,67.2,816.0,-53.0,815.0,792.0,265.0
Comoros,COM,3812.0,721.0,57.0,529.0,0.0,741.0,664.0,178.0
Costa Rica,CRI,7271.0,915.0,69.2,881.0,41.0,763.0,827.0,221.0
Croatia,HRV,5596.0,796.0,67.3,564.0,-242.0,973.0,554.0,259.0
Cyprus,CYP,6387.0,822.0,70.8,755.0,68.0,833.0,699.0,296.0
Czechia,CZE,6.25,934.0,67.7,779.0,-46.0,926.0,648.0,244.0
Denmark,DNK,7771.0,975.0,69.4,944.0,238.0,175.0,796.0,155.0
Djibouti,DJI,5006.0,,54.6,764.0,-69.0,597.0,,
Dominican Republic,DOM,4735.0,0.86,64.4,824.0,-77.0,0.78,707.0,282.0
Ecuador,ECU,5838.0,839.0,65.8,723.0,-66.0,806.0,771.0,0.22
Egypt,EGY,4669.0,769.0,61.7,486.0,-75.0,826.0,491.0,276.0
El Salvador,SLV,6.74,757.0,64.4,669.0,-67.0,694.0,823.0,302.0
Finland,FIN,7393.0,935.0,69.6,916.0,87.0,413.0,758.0,202.0
France,FRA,6798.0,943.0,71.2,0.85,-107.0,623.0,729.0,261.0
Georgia,GEO,4102.0,0.54,63.7,558.0,-251.0,0.46,402.0,243.0
Germany,DEU,6725.0,939.0,70.0,843.0,91.0,688.0,698.0,182.0
Ghana,GHA,4606.0,739.0,54.3,891.0,72.0,875.0,693.0,184.0
Greece,GRC,5.84,868.0,70.0,484.0,-306.0,954.0,581.0,292.0
Guatemala,GTM,6.29,859.0,60.1,696.0,164.0,795.0,805.0,236.0
Haiti,HTI,3766.0,554.0,28.0,373.0,171.0,848.0,495.0,293.0
Honduras,HND,5866.0,803.0,62.3,646.0,104.0,0.82,745.0,0.26
Hong Kong S.A.R. of China,HKG,5643.0,857.0,,0.89,328.0,256.0,601.0,183.0
Hungary,HUN,4725.0,896.0,65.8,514.0,-149.0,983.0,574.0,235.0
India,IND,4989.0,605.0,57.3,783.0,56.0,863.0,579.0,267.0
Indonesia,IDN,5457.0,816.0,61.2,0.7,445.0,954.0,717.0,218.0
Iraq,IRQ,5065.0,854.0,60.9,419.0,-0.12,859.0,497.0,431.0
Ireland,IRL,7257.0,973.0,70.1,856.0,343.0,618.0,763.0,201.0
Israel,ISR,7359.0,882.0,71.4,561.0,148.0,902.0,628.0,362.0
Italy,ITA,6354.0,872.0,71.1,738.0,-63.0,921.0,535.0,236.0
Japan,JPN,6057.0,902.0,73.0,772.0,-145.0,0.77,779.0,188.0
Jordan,JOR,5.57,918.0,66.7,788.0,-54.0,,564.0,343.0
Kazakhstan,KAZ,5514.0,904.0,60.4,785.0,-219.0,823.0,655.0,149.0
Kenya,KEN,4256.0,805.0,53.5,635.0,8.0,918.0,758.0,123.0
Kosovo,XKX,5177.0,708.0,,451.0,174.0,967.0,673.0,118.0
Kuwait,KWT,6798.0,893.0,69.2,703.0,-37.0,486.0,687.0,203.0
Kyrgyzstan,KGZ,4996.0,885.0,61.6,0.72,-74.0,926.0,516.0,123.0
Lebanon,LBN,5032.0,721.0,65.4,678.0,0.07,949.0,457.0,341.0
Liberia,LBR,4196.0,827.0,52.1,819.0,-0.04,818.0,549.0,217.0
Lithuania,LTU,5066.0,882.0,64.3,519.0,-278.0,962.0,463.0,272.0
Luxembourg,LUX,7097.0,952.0,70.5,908.0,87.0,423.0,718.0,216.0
Malaysia,MYS,5.58,839.0,65.4,769.0,0.03,844.0,752.0,192.0
Mali,MLI,3762.0,751.0,51.3,749.0,-27.0,811.0,764.0,162.0
Malta,MLT,5774.0,908.0,70.4,802.0,0.28,,624.0,375.0
Mauritania,MRT,4772.0,857.0,57.4,669.0,53.0,727.0,737.0,129.0
Mexico,MEX,6802.0,876.0,65.1,778.0,-53.0,693.0,745.0,215.0
Moldova,MDA,5.59,847.0,61.0,598.0,-91.0,929.0,564.0,278.0
Mongolia,MNG,4586.0,904.0,57.8,631.0,96.0,928.0,559.0,0.15
Montenegro,MNE,5455.0,805.0,66.2,552.0,-0.21,757.0,0.51,0.41
Morocco,MAR,4383.0,,62.5,663.0,-0.16,0.9,,
Nepal,NPL,4.35,779.0,59.9,519.0,81.0,911.0,538.0,226.0
Netherlands,NLD,7502.0,957.0,70.9,921.0,345.0,399.0,745.0,206.0
New Zealand,NZL,7224.0,976.0,69.8,918.0,249.0,321.0,783.0,235.0
Nicaragua,NIC,5687.0,863.0,64.7,792.0,16.0,802.0,749.0,268.0
Niger,NER,4101.0,655.0,51.9,817.0,-23.0,529.0,715.0,126.0
Nigeria,NGA,4.76,824.0,51.5,565.0,65.0,911.0,759.0,0.19
North Macedonia,MKD,4.18,687.0,64.9,513.0,-63.0,856.0,473.0,314.0
Pakistan,PAK,5786.0,571.0,54.5,364.0,295.0,852.0,527.0,372.0
Panama,PAN,7321.0,928.0,67.5,755.0,-13.0,0.88,841.0,146.0
Paraguay,PRY,5841.0,889.0,65.2,726.0,68.0,0.78,826.0,176.0
Peru,PER,5613.0,812.0,67.5,757.0,-63.0,881.0,744.0,0.33
Philippines,PHL,4942.0,805.0,61.6,893.0,31.0,812.0,829.0,294.0
