country,cntry_code,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,AFG,2375.0,0.42,53.9,394.0,-106.0,924.0,324.0,502.0
Albania,ALB,4995.0,686.0,69.1,777.0,-101.0,914.0,548.0,274.0
Algeria,DZA,4745.0,803.0,66.4,385.0,0.0,741.0,544.0,215.0
Argentina,ARG,6086.0,896.0,67.1,817.0,-214.0,0.83,735.0,319.0
Armenia,ARM,5488.0,782.0,67.1,844.0,-179.0,583.0,537.0,0.43
Australia,AUS,7234.0,943.0,70.9,918.0,117.0,0.43,727.0,202.0
Austria,AUT,7195.0,964.0,70.9,903.0,56.0,457.0,727.0,205.0
Azerbaijan,AZE,5173.0,887.0,63.6,854.0,-218.0,457.0,577.0,164.0
Bahrain,BHR,7098.0,878.0,65.9,907.0,36.0,,711.0,317.0
Bangladesh,BGD,5114.0,673.0,64.3,902.0,-64.0,656.0,433.0,369.0
Belarus,BLR,5821.0,917.0,66.0,657.0,-0.19,546.0,559.0,0.19
Belgium,BEL,6772.0,884.0,70.6,776.0,-176.0,672.0,699.0,244.0
Benin,BEN,4976.0,442.0,55.5,0.77,-15.0,698.0,638.0,441.0
Bolivia,BOL,5674.0,784.0,63.3,881.0,-87.0,857.0,701.0,419.0
Bosnia and Herzegovina,BIH,6016.0,873.0,67.2,722.0,77.0,963.0,545.0,238.0
Botswana,BWA,3471.0,774.0,53.9,833.0,-231.0,792.0,665.0,273.0
Brazil,BRA,6451.0,899.0,65.4,0.83,-65.0,762.0,701.0,337.0
Bulgaria,BGR,5108.0,948.0,66.3,822.0,-113.0,943.0,577.0,0.2
Burkina Faso,BFA,4741.0,683.0,54.9,678.0,-3.0,729.0,656.0,365.0
Cambodia,KHM,4998.0,759.0,61.5,957.0,0.01,828.0,704.0,0.39
Cameroon,CMR,4937.0,711.0,54.5,712.0,-12.0,817.0,606.0,326.0
Canada,CAN,7109.0,925.0,71.3,912.0,107.0,436.0,781.0,285.0
Chad,TCD,4251.0,0.64,52.0,537.0,54.0,832.0,556.0,0.46
Chile,CHL,5942.0,869.0,70.0,659.0,-108.0,0.86,741.0,337.0
China,CHN,5144.0,822.0,68.5,927.0,-176.0,,0.76,147.0
Colombia,COL,6.35,873.0,69.0,822.0,-175.0,854.0,791.0,322.0
Comoros,COM,4609.0,632.0,58.9,538.0,71.0,762.0,665.0,336.0
