Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",country,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Aruba,ABW,100.0,27.4563537684143,13.0,,35972.859661930415,88.6612,,2.464552565977129,180.0,76517456.0,1162628167.0,,373.0,19.0345012933786,69.3250915443276,,6.7,,63.2288374043053,,,,,,,,,,
Africa Eastern and Southern,AFE,33.92227566227575,78.74459226234676,7.0,64.33509355575578,3539.815506070779,14.3,10463.279053612598,5.435116670828499,14845106.175,172046710643.0,237662007384.0,1.5412244630031904,151528.0,42.72338150916944,54.25563842812247,28.149710068529256,61.670278047989626,7113.5493463441335,34.49068093556444,70.66239502257066,,,,,,,,,
Afghanistan,AFG,71.5,90.02679056837157,9.0,42.906,2284.0758478934936,8.26,2399.1279352819465,2.447563001474037,652230.0,571404989.0,7722865058.0,0.9945758227236452,-286314.0,46.2593370280565,51.3839679093288,27.710843373494,17.7,3870.9821188999376,24.4649118421568,84.13296313383731,Afghanistan,3983.0,529.0,52.6,389.0,82.0,881.0,491.0,339.0
Africa Western and Central,AFW,46.86241825248448,82.97172572521403,9.0,69.80463863008585,5056.7394387282175,18.6,8320.941292935546,1.9115545281716635,9045780.0,125446162670.0,136490204536.0,0.6747788337471344,-247654.0,44.02703606801796,53.06269852395624,15.084915084915082,76.18167052459101,6238.43899994727,47.60238926153384,72.63335007772204,,,,,,,,,
Angola,AGO,42.0,87.00838111717198,6.0,63.638,8067.485846830182,22.0,55045.35966179211,-2.95734582640344,1246700.0,33676900241.000004,21543789022.0,3.10542629308278,74171.0,45.2743037648043,52.0344151201028,36.8181818181818,47.1,12458.994471791002,63.51567832685,65.26278380482658,,,,,,,,,
Albania,ALB,100.0,27.742758697771524,9.0,45.955,11571.706559893077,56.9,14499.44284104722,0.7715762906115913,27400.0,2006221383.0,4338518368.0,1.16230386432234,-20500.0,18.9935976695213,68.4632957891861,20.7142857142857,38.5,12134.92344585828,55.1579291374894,56.450566600066,Albania,4607.0,639.0,69.0,704.0,-82.0,885.0,579.0,0.35
Andorra,AND,100.0,21.348162737260807,10.0,,50733.23900117045,87.9,,0.6605889591378684,470.0,,,,-1873.0,15.3186418837939,71.755561251706,39.2857142857143,19.0,,88.5180850122057,,,,,,,,,,
Arab World,ARB,88.66164313987252,55.36407849449685,9.0,41.61711447109068,14332.866212073046,,37443.37855258772,-2.114997068761312,13100528.0,728059994960.0,759627144936.0001,7.317046338036592,364082.0,34.270022656046976,61.89938154652472,18.77984084880636,4.214969412365059,22246.147983943178,58.35171227048399,22.733563847961843,,,,,,,,,
United Arab Emirates,ARE,100.0,20.610201800097467,12.0,76.599,73986.0636395945,90.5,95523.4303613922,-16.059832127168832,71020.0,167659641106.0,180951572377.0,,342468.0,16.8311616180189,81.6642098864586,22.5,0.1,60917.888684171936,84.3284383471193,0.779650834551746,United Arab Emirates,6568.0,824.0,65.4,915.0,193.0,,722.0,296.0
Argentina,ARG,99.7,38.83734705654137,14.0,54.744,19899.149927524544,68.0431,34434.04865202157,26.57999160247072,2736690.0,55594213439.0,59191832249.0,0.8501285974638151,5464.0,24.887393365487,64.0810849650845,,9.4,26658.487069162788,91.4923019108628,20.60437204667696,Argentina,6697.0,926.0,66.9,881.0,-178.0,851.0,768.0,305.0
Armenia,ARM,100.0,29.167131186743827,12.0,50.3,9756.84084836026,59.1008,14124.139766707558,1.213909904710846,28470.0,1475354720.0,3236365665.0,4.23922578573229,-15225.0,20.1142347563611,68.961951131008,10.6870229007634,10.7,8642.862792536975,64.4929623431549,44.713284091974,Armenia,4348.0,723.0,66.0,551.0,-207.0,901.0,527.0,438.0
American Samoa,ASM,,50.52366233532395,,,,,,1.4697327650683008,200.0,28343798.0,173084706.0,,-1366.0,31.839328265063,63.0186466961685,,0.2,,84.668670649093,,,,,,,,,,
Antigua and Barbuda,ATG,100.0,29.91508404623729,11.0,,20985.438829217725,70.0,,2.801801536583355,440.0,126442456.0,386616610.0,,44.0,21.1583845026787,70.7305752217338,11.1111111111111,0.4,,25.0,,,,,,,,,,
Australia,AUS,100.0,28.555689032044697,11.0,61.135,46464.58676279291,84.5605,135642.4887830884,-0.6274079346060546,7682300.0,182619212915.0,206543057240.0,1.9523262850199297,212350.0,18.9031260311403,66.1974159681463,26.6666666666667,9.4,99863.28322225311,86.8778642539361,10.19636020125781,Australia,7309.0,952.0,70.6,922.0,328.0,357.0,0.75,0.21
Austria,AUT,100.0,21.27459217118743,10.0,56.73,49549.31623114405,83.9401,89458.95955781023,2.2926347015487067,82520.0,152592052791.0,156044279835.0,0.7025769198330389,115175.0,14.3039101457033,67.234719049435,30.6010928961749,34.8,80558.616596473,67.5576175537383,10.208779216502071,Austria,7076.0,928.0,70.4,0.9,95.0,557.0,748.0,164.0
Azerbaijan,AZE,100.0,33.14804268627789,9.0,60.386,15075.272634791074,77.0,37983.967209537215,-8.809615566099524,82663.0,12728254500.0,9215739400.0,5.46487679293858,1073.0,23.4529342704953,70.7521032313631,16.9354838709677,2.3,9756.459405707696,55.1570486328276,55.350505621417,Azerbaijan,5147.0,786.0,63.1,764.0,-201.0,616.0,0.52,206.0
Burundi,BDI,7.9,92.72842077617514,,78.337,722.0328983799333,2.0,2715.895026780028,5.991542573549651,25680.0,101741287.0,572032569.0,2.1313199145947404,-236207.0,47.0438910603046,50.7329704786026,36.3636363636364,91.2,2635.780993740704,14.6695085474754,86.1758448110596,,,,,,,,,
Belgium,BEL,100.0,26.206772969948823,12.0,48.842,46071.914889496016,85.0529,91656.3671117768,1.1218385191681648,30333.0,392692699536.0,374763789172.0,0.9118299650092168,63536.0,16.9932652552348,64.8430252778753,39.3333333333333,9.4,90489.6868469458,86.2212893480444,11.833142503129327,Belgium,6904.0,885.0,70.0,869.0,58.0,469.0,747.0,0.24
Benin,BEN,29.6,81.01990209176554,6.0,72.132,2725.3372481714405,11.255,2465.337270671917,0.8515042611802102,112760.0,624862119.0,2536613456.0,0.7984852978897811,3369.0,43.397891376406,53.5644826221245,7.2289156626506,49.9,2985.803289399035,45.9407403257663,83.0559753050062,Benin,3625.0,434.0,54.3,733.0,-26.0,0.85,555.0,373.0
Burkina Faso,BFA,16.2,87.60076398618129,10.0,75.102,1691.5793538740809,6.55,2585.108931929292,-2.223954179193143,273600.0,2216923254.0,3067419553.0,1.25078088033268,-19726.0,45.4828779804241,51.9206377296387,9.44881889763779,78.8,2431.5171482594023,25.621432645225,80.817784226981,Burkina Faso,4419.0,705.0,53.4,659.0,5.0,693.0,555.0,359.0
Bangladesh,BGD,74.0,48.787158822878816,5.0,53.972,4212.235780894276,12.9,4318.885739712089,5.872777041023227,130170.0,24643402526.0,36101387556.0,1.20851710681525,-909223.0,31.1823407663365,63.9150578117155,20.0,33.1,4921.511670860842,29.5395099477892,57.902961981056,Bangladesh,4633.0,601.0,63.8,815.0,-82.0,721.0,543.0,226.0
Bulgaria,BGR,96.6,21.109212658386305,10.0,49.252,17652.947096756332,56.6563,13596.376100394633,2.947746378600911,108560.0,24546625083.0,28937080749.0,1.24593360652028,-4227.0,13.9073512469563,65.8828672924077,20.4166666666667,17.9,15882.516165532445,73.1030578613281,7.338142781195309,Bulgaria,4865.0,908.0,65.9,637.0,-205.0,941.0,556.0,214.0
Bahrain,BHR,100.0,26.668539235213903,9.0,70.528,48034.24688805034,93.4783,47070.65861546235,-8.756673402469445,778.0,13868860100.0,16341443555.0,4.644111349036399,36809.0,20.5087796152302,76.9024568320374,7.5,0.0,39643.21996868533,100.0,0.9966401000156272,Bahrain,6007.0,853.0,66.2,0.85,107.0,,653.0,303.0
"Bahamas, The",BHS,100.0,31.05181425649572,12.0,65.065,32137.5784729905,78.0,49316.94972552708,5.221215408804738,10010.0,666667939.0,3278974988.0,,1002.0,21.2751380900047,68.5149599127019,13.1578947368421,1.4,54497.80208117477,82.2568571432361,13.886060237606731,,,,,,,,,
Bosnia and Herzegovina,BIH,99.7,20.85518144866703,9.0,36.054,11066.154068834703,52.6,11106.897059685783,1.3954881238710757,51200.0,4988335509.0,8973029397.0,0.988857622509173,-33948.0,14.2790171095089,68.4674654164134,21.4285714285714,25.2,16086.02260187802,47.5711645087011,21.27154585782493,Bosnia and Herzegovina,5117.0,656.0,67.0,631.0,-55.0,0.96,486.0,286.0
Belarus,BLR,97.4,23.258882395128666,9.0,60.49,18133.53130858829,62.2304,11950.97963020332,16.02249378973346,202978.0,26338128900.0,30137851000.0,1.13806602416355,18088.0,16.1689482974754,69.5172848567025,27.2727272727273,6.8,9673.882121230525,76.6263885498047,7.32461595766971,Belarus,5719.0,924.0,65.1,623.0,-95.0,669.0,546.0,184.0
Belize,BLZ,91.8,49.67748715860275,8.0,59.031,9538.386911460088,41.59,14435.192614495862,-0.1896950672615105,22810.0,320250415.0,1026835564.0,0.8928305059736991,1596.0,31.8369334302464,64.0869635986563,3.125,30.3,14299.133218535855,43.931184585988,26.1975170874599,,,,,,,,,
Bermuda,BMU,100.0,22.31385972570011,13.0,,75943.46429709224,98.3236,,2.9520200698424333,54.0,314605537.0,1212704280.0,,-117.0,15.3048602740158,68.5882436361058,,0.6,,100.0,,,,,,,,,,
