Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",country,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Aruba,ABW,100.0,28.2079782635544,13.0,,34095.647171441604,74.0,,0.1840327013461262,180.0,161742921.0,1158941646.0,,317.0,19.7443091088652,69.9961184511146,,6.9,,63.8252085199599,,,,,,,,,,
Africa Eastern and Southern,AFE,31.67342746191754,80.7386883551592,7.0,64.70468569494852,3244.664344723886,8.4,10313.798981826592,5.618359899949894,14845137.22,224213221302.9999,259497240435.0,1.5578355295643789,-174216.0,43.34825342527186,53.68956804903899,25.02227766886473,61.40996429874106,7098.325783481372,33.286706080139204,71.53853188189768,,,,,,,,,
Afghanistan,AFG,69.1,95.10260914130993,9.0,43.258,1988.429303815544,5.45455,2871.778662630426,7.301756467604321,652230.0,305795141.0,3102734425.0,1.1754161200998698,68628.0,47.6053053475006,50.0567833137882,27.710843373494,15.4,3953.475932319356,23.3434391310979,87.9466221225401,Afghanistan,3783.0,521.0,51.7,531.0,238.0,776.0,614.0,268.0
Africa Western and Central,AFW,44.18650034749683,83.59921007632549,9.0,70.81867834770246,4661.175275871739,10.3,8749.735485794112,5.081560707855047,9045780.0,217468467248.0,146035013599.0,0.7110706130006225,-509144.0,44.19092130029514,52.86045255560828,13.643235071806496,78.4812300030604,5895.471339889785,45.87325469440147,73.48403216461436,,,,,,,,,
Angola,AGO,37.3,86.6676874920637,6.0,64.296,8246.36081151609,7.7,56830.89828207726,7.112269637590018,1246700.0,70613859483.0,28708312076.0,3.23665949921649,130643.0,45.1630895556546,52.110643381122,34.0909090909091,49.0,10682.013465570024,61.5114223949332,71.3937735306844,Angola,4.36,753.0,51.84,456.0,-139.0,906.0,591.0,305.0
Albania,ALB,99.9,29.75438283555352,9.0,49.371,10051.071711264456,49.4,13680.50746596274,0.226739790649205,27400.0,1897155839.0,4864299433.0,1.48708257655216,-19845.0,20.2920855091608,68.198600414295,15.7142857142857,39.9,11248.569361440464,53.8637553661449,61.5347469275197,Albania,5.51,785.0,68.16,602.0,-0.17,848.0,553.0,271.0
Andorra,AND,100.0,21.613979118329464,10.0,,45503.044483265774,82.7,,0.1745569057794824,470.0,,,,-2201.0,15.5191712002499,71.8021969440612,50.0,18.8,,88.6290967082924,,,,,,,,,,
Arab World,ARB,86.84786696514067,55.43443729079576,9.0,42.01778453633885,16106.53064142767,,38612.49555655299,4.661810781030539,13100831.0,1290418341535.0,823939965760.0,4.928121014245258,577194.0,34.344046341333694,61.9543506298125,14.87204249154997,4.444282182600314,21530.82266767368,56.760977894010686,22.95915569933895,,,,,,,,,
United Arab Emirates,ARE,100.0,20.555517667421043,12.0,75.256,89198.01190170248,85.0,99120.7336135227,1.7186378045509088,71020.0,259352119785.0,244746582104.0,5.07555649376756,225921.0,16.8004347270221,81.7319747580354,17.5,0.1,58351.97643565056,83.7643244751488,0.561142625366092,United Arab Emirates,7218.0,856.0,65.22,0.92,,,719.0,224.0
Argentina,ARG,99.1,39.52911372284167,13.0,56.005,19430.417806811183,55.8,35860.62209751137,22.3148806733049,2736690.0,76841619087.0,67514707473.99999,0.784824735364742,2978.0,25.3153574386188,64.0423079024418,37.3540856031128,8.6,26325.935406919143,91.2041217246797,19.02996087646477,Argentina,6468.0,902.0,66.54,747.0,-151.0,817.0,744.0,272.0
Armenia,ARM,99.5,27.851261062124884,12.0,50.772,8942.635378971643,37.5,12727.18367058328,5.345804418147253,28470.0,1408779202.0,4261620533.000001,3.58376691873744,-16782.0,19.4619041223735,69.877939557455,10.6870229007634,6.6,8023.835597367822,64.3268379506998,46.7265421292748,Armenia,4.32,676.0,65.28,502.0,-217.0,893.0,0.47,464.0
American Samoa,ASM,,53.2338747645951,,,,,,17.36842105263159,200.0,88769509.0,254450844.0,,-1332.0,33.2011965717851,62.3676338343519,,0.1,,85.7161174344451,,,,,,,,,,
