Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",country,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Aruba,ABW,100.0,31.038714390065746,,,35098.79766914248,25.4,,5.067497229686694,180.0,96432445.0,1001371626.0,,594.0,21.7605858007004,70.1082457815982,,0.2,,64.9580226442175,,,,,,,,,,
Africa Eastern and Southern,AFE,23.44953935560601,83.70960857548572,7.0,66.51993574116189,2649.4982340116767,1.8,8880.790226869462,7.623689358782684,12344236.126,103676042922.0,113666741372.0,1.6847975194662688,-568306.0,44.21166388162741,52.815518607485146,19.305943358595936,63.10909826838184,6820.564184865821,30.537275862930287,71.87866790438174,,,,,,,,,
Afghanistan,AFG,28.7,104.96821789465947,6.0,42.866,1076.0873526087053,1.22415,3130.653230765515,10.912773550304806,652230.0,660562691.0,2937814845.0,1.99206569856085,250971.0,50.0495665421968,47.6806841112977,27.3092369477912,33.9,2576.5887399581284,19.7059095753667,93.5180128027252,,,,,,,,,
Africa Western and Central,AFW,37.93591013685671,84.07579300021187,9.0,72.18894451539768,3380.219193611368,2.3,10317.571349176214,7.230521103837894,9045780.0,108836682433.0,61926143980.0,0.6760156247769784,-127048.0,44.31280124083209,52.70577866128403,10.70786920589293,80.93403363583086,4349.963337680099,41.83645945577399,75.86373830969681,,,,,,,,,
Angola,AGO,29.4,86.78993628760792,4.0,64.679,5415.612120180988,1.14337,35748.22753304181,40.13645109303741,1246700.0,23331836788.0,7907055779.0,3.6922409469853097,87050.0,45.1862188384156,52.0638895726361,15.0,68.9,5956.361471562848,56.0,79.5157009787716,,,,,,,,,
Albania,ALB,99.4,39.6964336121129,8.0,47.419,5780.869259663246,6.04389,11812.918783179966,3.143705053750793,27400.0,626261872.0,2596394374.0,1.35000497056322,-48893.0,25.8703792619302,65.170542224898,7.14285714285714,36.8,8836.422473525461,45.9937666920583,55.25381250520199,,,,,,,,,
Andorra,AND,100.0,20.436924924500644,10.0,,44577.81933430812,37.6058,,3.3961021299505205,470.0,,,,1317.0,14.94694557643,73.1369598491356,28.5714285714286,16.6,,89.9563631945418,,,,,,,,,,
Arab World,ARB,83.07676744851,60.696051450452266,9.0,41.26343948097373,12202.834732238964,,38493.90659975661,14.585259098214152,11235251.0,559991386350.0,293555067883.0,4.558039812994001,548882.0,36.40009456214175,59.9711089649009,7.036766496225965,6.404486708909667,17543.080123205214,53.9820002905638,26.677376758670544,,,,,,,,,
United Arab Emirates,ARE,100.0,21.653288049408754,6.0,74.315,101301.41233916288,40.0,113047.53194204878,16.526306932784635,71020.0,88932310999.0,66866211358.0,3.65647067832081,174926.0,17.4833593795219,80.7422842185822,0.0,0.1,76668.34506408747,82.2122832763517,0.246177725495406,,,,,,,,,
Argentina,ARG,96.7,42.694793989260695,10.0,54.434,13464.812847056117,17.7206,33906.657702159224,10.317511198240553,2736690.0,39608152253.0,28125706499.0,0.847154783885961,-22068.0,26.9387273529874,63.0960471662271,36.1867704280156,9.6,21562.13191123508,90.1233737736072,21.27970636547317,,,,,,,,,
