Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",country,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Aruba,ABW,100.0,26.729241476839466,13.0,,35104.78680353744,,,1.6021427996357147,180.0,87242514.0,1164868794.0,,503.0,17.9005745737184,66.9699139069153,,8.8,,61.9275339886843,,,,,,,,,,
Africa Eastern and Southern,AFE,48.12721104004846,73.82842415653643,7.5,60.481731517893024,4028.376503877449,25.0,10764.826075905616,6.088152811843777,14845090.229,247755466126.0,244054801867.0,1.145972758567573,187508.0,41.10586621231507,55.67756101843583,30.47478836952523,,6804.06057731461,36.908542608851846,71.5458148006679,,,,,,,,,
Afghanistan,AFG,97.7,81.70576022871656,9.0,35.8,2144.166570028188,16.5143,2819.526038197346,2.8389962508104105,652230.0,767108289.0,5447956364.0,1.827933856217,-548784.0,43.90812524631,53.7393252349501,27.0161290322581,20.0,2818.155961055182,25.3478620272481,80.58770369357799,Afghanistan,2436.0,454.0,54.55,394.0,-81.0,946.0,179.0,607.0
Africa Western and Central,AFW,54.36859870844396,77.90967313057052,9.0,67.92926766477952,5690.967743243074,34.7,5937.17082687688,4.959387981935258,9045773.0,140762693565.0,142495526159.0,1.1308244949704338,-149585.0,42.51123540036556,54.56477139453833,17.824377457404978,,5631.45828587811,51.07239699226821,70.99994262057058,,,,,,,,,
Angola,AGO,48.2,85.79301442364424,10.0,64.306,8862.281333145209,39.3876,41540.63729812195,35.653692284377655,1246700.0,34782945956.0,11523798720.0,1.39322266365773,29094.0,44.9092503744813,52.3460455098597,29.5454545454545,52.9,10936.39352563567,68.2524163556969,65.7930821615419,,,,,,,,,
Albania,ALB,100.0,25.780510795240115,9.0,52.836,17329.55063384611,79.3237,14406.199879176193,3.444256750379296,27400.0,3681027411.0,8094496273.0,1.24298808396067,-32848.0,17.3674317294264,67.3665631972931,35.7142857142857,41.9,12695.60758843198,57.5077187031778,48.1514912332876,Albania,5255.0,702.0,69.15,827.0,41.0,896.0,554.0,254.0
Andorra,AND,100.0,18.02133850630456,10.0,,59332.20291001272,93.8975,,2.558860693597097,470.0,,,,1514.0,13.0405099312818,72.3614948285873,46.4285714285714,18.4,,88.6627318165299,,,,,,,,,,
Arab World,ARB,90.43409477329848,53.93287250951422,9.0,39.28242414593178,16026.635703832164,,37539.055558408894,12.633957903646852,13100559.0,930765984184.0,843619089787.0,4.964837211699049,471864.0,33.516339828479644,62.14454642901529,18.224543080939952,,22902.28830637366,59.11248471418404,23.61432700277756,,,,,,,,,
United Arab Emirates,ARE,100.0,20.16352767498868,12.0,74.661,68580.14854234828,100.0,87319.8042781588,13.12686553134526,71020.0,253234344242.0,269962321027.00003,,421663.0,16.5083622023306,81.87240475274,50.0,1.0,56703.56898070755,85.3571908511355,1.103510052483795,United Arab Emirates,6733.0,826.0,66.3,951.0,151.0,,697.0,217.0
Argentina,ARG,100.0,35.838683947096825,14.0,55.085,26300.274261175044,87.1507,32677.528796050938,53.80208776655536,2736690.0,76609601185.0,62336769000.0,0.6317886192547051,314.0,23.2387470933239,64.8426321239199,44.7470817120623,9.2,23342.74023888787,92.0292776175651,24.018980305701607,Argentina,5908.0,882.0,67.2,819.0,-12.0,816.0,685.0,345.0
Armenia,ARM,100.0,29.767715315933035,12.0,52.364,15921.705281964018,78.6123,14559.164402104449,6.900513657871571,28197.09,3001283969.0,5231006212.0,4.46514475903396,-19457.0,20.0488372753343,67.3509680096337,33.6448598130841,9.1,10420.702213522807,65.3572875314441,35.8547137639461,Armenia,5301.0,762.0,67.65,795.0,-156.0,705.0,566.0,478.0
American Samoa,ASM,,44.75127671647437,,,,,,4.8425556863277,200.0,30889110.0,139751968.0,,-1333.0,28.8390045708481,64.4418486541392,,0.4,,82.2127091544092,,,,,,,,,,
Antigua and Barbuda,ATG,100.0,26.5862042624704,11.0,,25745.495806774616,76.0528,,4.919274580823483,440.0,1616013361.0,477495165.0,,0.0,18.8437340956589,70.877324064148,11.1111111111111,0.9,,24.574983819566,,,,,,,,,,
Australia,AUS,100.0,28.41921884330233,11.0,62.825,58327.41468423248,96.9722,130232.68364606897,3.0606698476163103,7692020.0,335376497042.0,259288889923.0,1.97847691589702,116768.0,18.4234342046625,64.8273784315574,31.1258278145695,12.3,103616.29824897838,87.2353407632761,9.59602083427141,Australia,7112.0,0.92,71.05,912.0,236.0,454.0,0.74,235.0
Austria,AUT,100.0,21.700558040478647,13.0,56.715,62968.942231189205,92.5292,95860.115217477,1.801872992702954,82520.0,202680637123.0,219453989163.0,0.873515488270759,52150.0,14.3606656208757,66.1764816581673,40.4371584699454,36.0,81324.24010650022,68.773601700253,8.766063202133676,Austria,7.08,863.0,71.15,795.0,159.0,501.0,722.0,259.0
Azerbaijan,AZE,100.0,33.20323715480068,9.0,59.853,20111.37569521088,86.0,30034.26263736445,21.58883657873507,82650.0,22207496400.0,11704336000.0,4.93051740712765,1073.0,23.1453170471012,69.708000115884,18.1818181818182,1.3,10753.411360424576,58.3659969744818,54.474235817506994,,,,,,,,,
Burundi,BDI,10.2,91.18002230735716,,78.21,1035.5385738493778,10.9847,3077.2693241665093,10.106892690581889,25680.0,135392684.0,861728658.0,2.04300976329884,-14415.0,46.5191285028635,51.0189922371954,38.2113821138211,83.1,2554.347543783215,21.1108861865354,83.781812737099,,,,,,,,,
Belgium,BEL,100.0,26.1218493839824,13.0,50.671,60669.21377465312,92.7887,89909.29843914529,2.6973187541095456,30494.0,548033989392.0,525199410032.00006,1.04263994220028,24017.0,16.6827638797465,63.8651840723626,42.0,11.7,92512.90939963346,87.4305564090635,11.127895153483282,Belgium,6882.0,915.0,70.9,823.0,79.0,523.0,687.0,0.26
Benin,BEN,42.0,77.7189255065446,6.0,74.681,3464.2886286745,28.2047,2482.6723677775885,1.6187250666575466,112760.0,1025778424.0,3188288535.0,0.5508836488062431,1729.0,42.3988645100648,54.5541005696013,8.43373493975904,54.5,3370.154713543631,50.1961807561354,80.7635209470087,Benin,4493.0,436.0,56.1,724.0,-13.0,613.0,597.0,435.0
Burkina Faso,BFA,19.0,80.72963402327275,10.0,70.646,2486.4309314776174,12.5631,3127.7249331550865,0.1128631129439554,273600.0,5040399217.0,4609142880.0,2.3336286313624903,-13079.0,43.5166435760678,53.904178280731,6.2992125984252,71.2,2780.598794796518,26.8114307743017,81.3079684620804,Burkina Faso,4636.0,658.0,55.65,644.0,67.0,736.0,0.62,363.0
Bangladesh,BGD,99.0,44.76327373256398,5.0,57.751,7441.069139612541,38.9174,7046.307137451084,4.121174706795699,130170.0,37837738908.0,64639175885.0,1.16873060016575,-994722.0,29.0745008042507,64.9516858651805,20.8571428571429,25.0,5645.954403475158,31.3992156886061,57.71384006234237,Bangladesh,4123.0,485.0,64.55,893.0,92.0,746.0,504.0,448.0
Bulgaria,BGR,99.8,22.69624569269341,12.0,52.53,29457.71133197741,75.2714,13579.969355402163,6.966096699796893,108560.0,40220465005.0,46008156742.0,1.5107237100085,11756.0,14.4832752684931,63.8135029889597,23.75,20.4,19940.23232303539,73.346765618041,6.773518604356079,Bulgaria,5422.0,884.0,66.5,841.0,-16.0,891.0,647.0,253.0
Bahrain,BHR,100.0,24.974054294078872,9.0,67.873,54954.67578955323,100.0,48312.58768092045,9.208402635806024,790.0,12373079271.0,14076114398.0,3.51979682208909,11882.0,19.2911533673578,77.2446859974956,15.0,0.0,39923.427628339625,100.0,1.056447172171351,,,,,,,,,
"Bahamas, The",BHS,100.0,27.43068111141646,12.0,61.941,31064.68221661941,94.3479,36129.96339376663,-1.2201754418755968,10010.0,711453451.0,3380298067.0,,481.0,19.1382864120412,69.7697623198351,17.9487179487179,1.1,53792.1809973427,81.4784235345083,14.78416360247819,,,,,,,,,
Bosnia and Herzegovina,BIH,100.0,20.476742346444443,9.0,40.608,17399.837324258824,75.6762,12459.660026993122,4.962952258030455,51200.0,8599868344.0,13025787228.0,0.886133600491203,-25865.0,13.4819559571421,65.8403513813568,26.1904761904762,36.6,18419.11222489841,50.4899479477034,19.518382362615768,Bosnia and Herzegovina,5749.0,0.86,67.3,759.0,277.0,921.0,604.0,305.0
Belarus,BLR,100.0,25.53663960958568,9.0,61.524,27611.180113515707,86.8884,13957.31120213075,15.326573719390808,202950.0,38841478200.0,40585692400.0,1.36528926554311,-33954.0,17.0730697578141,66.8571610783922,40.0,8.2,10476.27887809286,78.131086803694,6.85199093646948,,,,,,,,,
