Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",country,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Aruba,ABW,100.0,30.354872432401887,,,34339.93915595293,58.0,,1.7032804481383863,180.0,103375024.0,1074477081.0,,743.0,21.1480881187169,69.6689236610772,,0.3,,64.3229852842726,,,,,,,,,,
Africa Eastern and Southern,AFE,26.18784647811113,82.36340433400873,7.0,65.65950893359053,3095.1085041257606,3.5,9910.344858533275,8.281432391062538,12344269.192,140914616980.0,174330349309.0,1.954757135979004,-479929.0,43.83179191103913,53.217557456577495,22.38086050549874,61.30460062871435,7182.498590529497,32.24006775979178,71.64923524633721,,,,,,,,,
Afghanistan,AFG,48.3,100.10230242341169,9.0,43.097,1570.698145179488,3.55,3186.7414554013094,-2.1634044274614297,652230.0,403441021.0,3336434787.0,2.08741255278385,-60602.0,48.8782053353369,48.8282510289366,27.3092369477912,16.5,3368.183571701536,21.6885475109053,91.24247345838508,Afghanistan,4402.0,552.0,50.8,679.0,191.0,0.85,481.0,237.0
Africa Western and Central,AFW,42.00248544010264,83.9483245328073,9.0,71.49079946273909,4122.8529712848185,5.8,8854.652155810918,1.489404691920285,9045780.0,119977849023.99998,101567878847.0,0.9056824234059304,-245845.0,44.28787989843875,52.75612138406346,11.143166245943029,82.3902132632194,5496.255969777422,44.15120956214411,74.58614513382966,,,,,,,,,
Angola,AGO,33.8,86.54135597602814,6.0,64.6,7227.563642375884,2.3,52264.79556845155,-14.271278584114429,1246700.0,39917086359.0,23884011166.0,4.70961004832072,105077.0,45.1244934507146,52.1421151099296,38.6363636363636,53.0,8459.474929191254,59.3775316348744,76.9023996576862,,,,,,,,,
Albania,ALB,99.6,33.67441076839427,8.0,47.473,8473.01262309609,41.2,13458.49418159162,2.5703400893890347,27400.0,1095289610.0,4436213342.0,1.5172171395597,-51657.0,22.53029271349,66.9063216544298,16.4285714285714,37.1,10748.022903897196,50.6132439427449,56.8305037593501,Albania,5485.0,833.0,67.32,525.0,-159.0,864.0,564.0,279.0
Andorra,AND,100.0,19.82816353865504,10.0,,42522.99456395007,78.53,,0.1321361324054635,470.0,,,,-885.0,14.4698884226588,72.9788527560557,35.7142857142857,17.1,,88.84433315185,,,,,,,,,,
Arab World,ARB,84.15972870736388,56.50468586963936,9.0,42.60755375594609,14113.556077255746,,35569.65139995763,-2.7802230393940306,11232831.0,626873443825.0,564813263718.0,5.197233975575281,504368.0,34.794921903613,61.57882589075608,9.902309058614565,5.055222381525581,18812.85717526748,55.35959815515459,24.96094460326871,,,,,,,,,
United Arab Emirates,ARE,100.0,20.653605773751373,6.0,74.35,84780.32097065166,64.0,92328.18533590768,-15.182979886534229,71020.0,112805303514.0,120255298020.0,5.457107773110359,163643.0,16.8659865473058,81.6611769273503,22.5,0.1,59100.84546031188,83.1701992996163,0.525150464255588,United Arab Emirates,6866.0,885.0,65.04,849.0,16.0,339.0,718.0,287.0
Argentina,ARG,97.8,40.5977786677385,13.0,55.526,16182.075347767692,34.0,34611.12005795597,15.377649370892115,2736690.0,54724780148.0,37021994444.0,0.886508576686385,-7882.0,25.902064066793,63.8016799041465,38.5214007782101,8.6,24029.37675077089,90.8209023233265,19.59069930476389,Argentina,6424.0,919.0,66.18,637.0,-133.0,885.0,762.0,237.0
