Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",country,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Belgium,BEL,100.0,26.01968845327088,12.0,49.1,43864.120419683815,82.1702,89029.06005375861,1.412489654717362,30333.0,461922581977.0,450894854868.0,1.0045200869807,28066.0,16.988535946602,65.2910824069226,38.0,8.3,88260.91269044836,85.7415410247275,11.767999599012256,Belgium,7104.0,909.0,69.68,891.0,12.0,574.0,738.0,217.0
Benin,BEN,34.7,81.61608704779232,6.0,71.109,2511.653095883325,4.9,2340.403737293752,1.3972983945518251,112760.0,594614378.0,3019639684.0,0.6872396834962541,-887.0,43.5668506751926,53.3802257734234,8.43373493975904,52.0,3033.244325366596,44.6502883669319,83.4485053544751,Benin,3479.0,577.0,53.78,783.0,-85.0,856.0,646.0,216.0
Burkina Faso,BFA,15.4,88.21747970478293,10.0,75.898,1642.8921312577647,5.0,2479.3920214950044,-2.1291711776874536,273600.0,2501358675.0,4355936764.0,1.23609025726906,-33212.0,45.6185499866095,51.7114608653578,15.748031496063,78.7,2418.023971013876,25.106116148748,80.7933698090045,Burkina Faso,3326.0,745.0,52.52,741.0,-15.0,765.0,592.0,287.0
Bangladesh,BGD,61.5,51.50751349253781,5.0,54.649,3691.104311021167,6.63,3673.2490828508094,7.174953432324145,130170.0,21657154890.0,34608666811.0,1.11372942922328,-862944.0,32.4236999110096,62.9494570158261,19.7142857142857,37.0,4756.710120712623,28.8407036106763,59.572385704006194,Bangladesh,4.66,0.53,62.76,742.0,-29.0,743.0,492.0,246.0
Bulgaria,BGR,95.3,20.41041923594884,10.0,46.957,15829.59140810484,53.0615,13114.816706698795,0.0719515940466948,108560.0,29017748589.0,34157026540.0,1.45404283053363,-1324.0,13.6699552397899,66.9753508090845,24.5833333333333,18.2,15579.599385351394,72.9632821572019,7.043220572939751,Bulgaria,3993.0,829.0,65.62,603.0,-197.0,962.0,537.0,278.0
Bahrain,BHR,100.0,25.402752587218608,9.0,70.702,56310.31174581892,90.0,47961.86438675154,0.4998289563838511,770.0,10286886739.0,18576964382.0,4.14139762975071,35574.0,19.7594978694769,77.7848127947515,10.0,0.0,39745.84032379092,100.0,0.96644841075109,Bahrain,6.69,884.0,65.72,809.0,,525.0,711.0,306.0
"Bahamas, The",BHS,100.0,32.23110746411928,12.0,61.872,30294.476830520085,72.0,54686.18549508268,0.5939103746967618,10010.0,2429250448.0,3378111338.0,,1002.0,21.9739651091296,68.176396545218,13.1578947368421,1.4,55747.52047734524,82.3635791100868,13.971018295316052,,,,,,,,,
Bosnia and Herzegovina,BIH,99.5,21.445768894991293,9.0,36.517,10127.442974971558,48.5213,10391.909661626994,-0.2241202936994852,51200.0,5554892968.0000105,10298722985.0,1.08705579799922,-37002.0,14.7763039210337,68.9007380238331,21.4285714285714,19.5,15402.286538990356,46.6954224739896,21.54359549361948,Bosnia and Herzegovina,5124.0,767.0,67.0,0.39,41.0,0.97,489.0,315.0
Belarus,BLR,96.2,22.074771725895523,9.0,60.146,19014.052973769754,54.17,12464.38897046603,21.26300022832864,202908.0,36632086800.0,42240555100.0,1.27079665150066,10550.0,15.5795955666957,70.5764717728536,26.605504587156,7.0,10034.686408576932,75.94970703125,7.52722786338655,Belarus,5876.0,923.0,63.98,723.0,-181.0,653.0,545.0,206.0
Belize,BLZ,91.1,52.99836262111239,8.0,57.402,9525.830890305782,33.6,13959.841870340691,2.0125104099831788,22810.0,413305309.0,905544836.0,0.8740105893026311,1505.0,33.2557145658862,62.7488459635802,3.125,38.0,15022.393577599569,44.4380542363795,29.52209955304273,,,,,,,,,
Bermuda,BMU,100.0,23.429681252142124,13.0,,71519.6398526584,95.3,,1.65727319420499,54.0,27130803.0,1004749935.0,,-125.0,16.129362076966,68.8415770722078,,1.5,,100.0,,,,,,,,,,
Bolivia,BOL,89.5,54.57143881455352,14.0,66.239,8068.720172307764,36.99,8659.206730817285,5.995388368549044,1083300.0,12249343003.0,9697073328.0,1.84124031434345,-11369.0,33.3429034063079,61.0995583241264,25.3846153846154,16.0,5758.386952483209,67.6697055519889,65.3711622818641,Bolivia,5767.0,803.0,62.3,846.0,-68.0,812.0,721.0,0.41
Brazil,BRA,99.6,33.54900051784502,14.0,59.766,15722.333524370084,51.04,17458.879495973466,7.50456453269075,8358140.0,236541904690.0,252439545482.0,1.32944608382557,-157228.0,23.2696192059022,69.3600959635388,8.57699805068226,42.3,18939.10513542227,85.1676585442726,25.43024887499072,Brazil,7.14,0.91,64.38,785.0,-98.0,707.0,725.0,276.0
Barbados,BRB,100.0,28.95004610639448,11.0,60.404,19032.46540713729,71.8,28324.99013937404,0.1377416726837879,430.0,333629917.0,1768318582.0,,-65.0,19.6735274521456,67.957430716871,16.6666666666667,3.1,41292.284693007634,59.2385370835674,16.46106113238913,,,,,,,,,
Brunei Darussalam,BRN,100.0,34.09589895102052,9.0,61.744,83237.1470879654,64.5,239824.4981463136,-2.823489793574112,5270.0,11436175420.0,3593590257.0,2.27750759504916,285.0,24.4727652102859,71.7757938920531,,0.0,33212.42062515609,75.1756915148608,5.234750230760806,,,,,,,,,
Bhutan,BTN,87.4,41.72843791060317,,63.426,8666.910635900686,22.4,20496.9980528514,6.164131598108185,38117.0,456684938.0,1227836668.0,,309.0,27.8494442782235,66.7395587592534,6.38297872340426,81.7,7499.567951049427,35.5740003158589,70.8867128653209,Bhutan,5569.0,819.0,62.24,0.81,352.0,802.0,664.0,217.0
Botswana,BWA,58.0,55.22067199139793,,50.399,13621.149472669544,30.0,46782.22989645089,1.5320450603637568,566730.0,7932921394.0,9417833287.0,2.1471710497407,-7836.0,34.3542071278669,62.2125420280681,7.93650793650794,26.7,15483.00430588134,64.7579735458393,28.37797005517934,Botswana,4128.0,856.0,51.92,767.0,-145.0,749.0,671.0,244.0
