# Top 10 countries by number of transitions
Country Code,n_transitions
PHL,13
IRQ,13
EGY,13
DJI,12
MNG,12
VNM,12
THA,12
KGZ,12
BLZ,12
SUR,11

# Distribution of transitions across countries
n_transitions,n_countries
0,26
1,1
3,47
4,4
5,29
6,3
7,22
8,6
9,11
10,3
11,2
12,6
13,3
