Country Name,Country Code,Access to electricity (% of population),"Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,AFG,-1.1412336581793683,-0.12314862325949377,-1.0648874648125586,-0.767288995033063,-1.0746038531616953,-0.7442404534330612,-0.45866462841621525,-0.06175953759726107,-0.414972438887504,0.07750023870179144,-0.9176428538222661,-1.9334585210698327,0.8693599312413843,-0.6333235891144713,-1.5895909798016017,1.9447441199057625,-0.04612810749362789,-0.9819910444159704,-0.08031860085407541,-2.8204204381626394,0.7169229784419745,0.04600262218881494,-0.5704739953499696,0.45881976453797063
Angola,AGO,-1.3884673415179467,-1.5657467814421364,0.715609188622989,-0.49019546083606225,-1.1184085657108955,0.4513436741646559,2.2432287891450433,0.24039100789886908,-0.17417615739226391,1.8045632236144702,0.6720364852040804,-1.5356493313550283,1.8958588941354466,0.6264729035087913,0.10021611511618356,1.4011475818128292,-0.5209018506678511,-0.09688588473724631,-0.08012512822195493,-1.0406184694752245,-0.4307013073152654,0.6885455465053469,-0.12938470233616875,1.2866044040220093
Albania,ALB,0.6857269368810347,-0.6040146759870413,-0.7078509865847525,-0.4019213652490743,0.42205715893598555,-0.49846871128873316,-0.4246614430910094,-0.3793411234507894,-0.40963242008521966,-0.22217256796168952,-0.2839548310592023,0.5540312109474748,-0.1906573651349445,0.09130869424138946,-0.26788918488453667,0.6405928012923322,0.22585693993352196,-0.1191287775235646,-0.07727827994531687,-0.3821461887771791,-1.2278110607183033,0.12090048466676996,-0.22804594611671594,-2.0818756492414683
United Arab Emirates,ARE,0.6985702451064155,-1.5657467814421364,1.5573684974984816,3.3234939079969883,1.26164748279566,1.424456943940112,1.2417475432746317,-0.3571704389847252,0.3603287141932513,3.2447241629476604,0.888236121815947,2.5157903288878694,0.3797790975603263,-1.1352477853838976,1.1372444245404758,-1.396314314822144,1.1988288904165552,0.6770173347122118,-0.0777389346284621,0.943375878534762,0.2686453016185884,-1.3415788300343519,0.4974372090384824,0.07036251161210083
Argentina,ARG,0.6600403204302734,1.8003155876506964,-0.02858636735500658,0.021968255277354857,0.42205715893598555,0.06710708313799892,1.4001781783692315,0.9977064170595987,-0.10913552653898147,-0.7977035217927516,-0.026735174108030536,0.07913526005724866,1.8850576460642718,-0.8460596723015129,1.477332762118198,-0.7073949398536998,0.849666089805576,0.7437334893688412,-0.0775178203805524,-2.8198627751569743,-0.9311567157616507,0.6294175509644646,0.8688845844779439,-0.13311509706335478
Armenia,ARM,0.692148590993725,0.35771742946805374,-0.5040213964832913,-0.5057254293085308,-0.308021383550688,-0.5212824734206806,-0.028851151363999464,-0.3787972758492606,-0.4119925199843487,1.872710594404759,-0.16386707632790515,0.9083872694722144,-0.8735417879214638,-0.8261156645027278,0.2876003033689285,0.32441656164394334,-0.2537096505397892,-3.3763893576059587,-0.07779421319043954,-0.8540148858785174,-1.2475880170487468,0.7713292903963794,-1.0347832146492966,1.8554160786285978
Australia,AUS,0.6985702451064155,0.8385834821956013,0.517134727325507,1.0848130130375422,1.5536788997903297,1.9169802864753394,-0.7466619924948411,3.5114056101410265,0.5577842964749394,0.005347778427552152,0.915162365113539,0.5564927908614454,0.583346619541778,-0.866003680100298,1.2643464781686975,-1.021626299558949,-2.5746575929242477,0.8682703113945492,-0.07679919907484584,1.1750205116572372,1.9826481835903589,-1.298216909652378,0.8514729887542192,-2.08261556781847
Austria,AUT,0.6985702451064155,-0.12314862325949377,0.0892264663325376,1.1943081637285209,1.5233806402771326,1.395756192131025,-0.776429695014534,-0.35132534794025616,0.2906692243054935,-0.7887961912612902,0.12447405327374199,0.5726537692276181,0.8842055549292378,-0.10480738244666454,0.41139572096391486,-0.9956056343978704,1.3084745259742712,0.6859128219997624,-0.07685447763682327,1.0205907562422538,0.7564768911028615,-0.5886582124928039,-3.566951580750588,-0.6418091187519939
Azerbaijan,AZE,0.6953594180500705,-0.12314862325949377,0.129808301800193,-0.12119874027572233,0.45856108606031926,0.24939178363259337,0.6297635245764905,-0.3512562233852955,-0.31749811090470254,0.7315431552984326,0.008230554459270142,1.1591087297231264,-0.23092346838401942,-0.9923157294926042,-0.2052732400998973,0.6718546329272951,-0.33301644519075857,-0.3237249851372278,-0.07836542499753962,-0.6738468378943699,-0.9047874406543926,0.6412435292504575,-0.5762778605912111,0.4310728179004085
Burundi,BDI,-2.342082977252463,-0.12314862325949377,1.779773690638746,-0.8238177625753421,-1.1841156345346964,-0.7441472179566002,0.10037264996408549,-0.3802153457635274,-0.41635630922839484,-0.28770527685058944,0.06565858293429722,-1.467264767794483,1.2794352723549711,1.9593974247275991,-2.0927985076582436,1.8309851518164177,-0.606068903830819,-1.5023748684515388,-0.08024118816915554,-0.9912859867938764,-0.23237090636698024,-0.07225755760606745,-0.04812575182789942,0.2368449232111558
Belgium,BEL,0.6985702451064155,1.3194495349231488,-0.5200867828952291,1.1012839937804153,1.6135380394888117,1.1899423039236043,-0.6881898506238795,-0.3778503711000566,1.453975929476943,-0.5846573280367078,0.5777891497025701,0.35656467602617586,1.9613421529546544,-0.9324837060962486,1.2086616472740614,-0.9999777889663226,1.0694896212877931,0.7615244639439424,-0.07698346094810393,0.6388060831329891,0.037914144430080884,0.0065826945688386125,1.0313928112327084,-2.0824305881742196
Benin,BEN,-1.414153957968708,-1.5657467814421364,1.2745507575383253,-0.7449693156390047,-1.1063622697598656,-0.7698061593297709,-0.7775659504539038,-0.33595529983723504,-0.41429720194019376,-0.28770527685058944,0.022346267340736883,-1.411350919720532,-0.71541039743718,0.4303568268207372,-0.6690341000207201,1.713804664362754,-0.6380018872595912,-1.3289148369233692,-0.07970132664790677,0.28919621438753573,-0.37740158080586544,0.24310553400213172,-0.23965860802929573,1.0692493537334986
Burkina Faso,BFA,-2.09163846685754,0.35771742946805374,1.7539184593820327,-0.7828029612883315,-1.133010136560629,-0.7544728423276441,-0.462470427088625,-0.2542053482205049,-0.41046651710818094,-0.48049187623220696,-0.22992685774598923,-1.5925963711944038,-0.29525249819936433,1.5904332804500736,-1.5068794662999414,1.5997269257223248,-0.4304200923124189,0.0587809682274469,-0.08030017466674962,-0.30493131106968735,-0.31147875074108766,0.2825221879086729,-0.2918884637703734,-0.07762120378823054
Bangladesh,BGD,-0.7366694490798767,-2.046612834169684,0.059522236247965314,-0.7148672093533773,-1.0855550312989954,-0.7441150775610162,-0.09668635047915013,-0.3271063402646954,-0.35132934766383056,-0.5117573828657618,-6.106933172861461,-0.21909497859472238,0.008727928731268264,0.20100073713470773,-1.345779417727776,0.9012859329849892,0.007097929184875019,-0.9375136079782175,-0.07845755593416867,0.003928199760279496,-0.08094536311588456,0.31011613724265635,-0.6923551654160429,0.6160524621508227
