Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
Afghanistan,AFG,0.27425888587001,2.0518997619911485,-0.36880248155091755,-1.230935571890158,-0.8326568799326182,-1.3595921585419066,-0.8085364214681993,-0.3739454729424121,-0.30129442116676547,-0.3065773897257294,-0.3029972070967789,-0.4444362069080243,0.3562636927305102,1.7892534747640851,-1.9124208605092825,0.7289398329173425,-0.3899142579133784,-0.7709237975462091,-1.5211203317144846,1.9389793937003377
Africa Eastern and Southern,AFE,-1.8747135274693771,1.5018699626323113,-1.3333628179148547,0.778067296840158,-0.7714900952503733,-1.1686540834224803,-0.5829416884321609,0.1935950255828608,0.687754106783468,-0.1951205758871475,-0.16855278367788518,-0.10951929049967694,-0.30087159977069805,1.4299939521762413,-1.4474292602527814,0.5371610804199253,1.137349104422845,-0.6558200370173684,-1.0878842513160036,1.3526616375090208
Africa Western and Central,AFW,-1.281967647200066,1.671495761713341,-0.36880248155091755,1.2943597821366402,-0.6955968503189602,-1.0600814524722182,-0.6389216010444008,-0.36432857891274256,0.2836229397422746,-0.2117144471543261,-0.21813376384588454,-0.8209535159645758,-0.0648723087703274,1.5396494755869452,-1.6075534409052175,-0.4523042847579841,1.6631040768071852,-0.690275280819843,-0.5206432911762565,1.4343157858735838
Albania,ALB,0.6658080141090668,-0.7952538015131952,-0.36880248155091755,-1.1926738613814312,-0.41368852549603363,0.41126489109512593,-0.4708645568690968,-0.2710970740756385,-0.3448366547409737,-0.3054952029167726,-0.30250173458094565,-0.4124326172830465,0.09706945886745143,-0.822011202869756,0.6998135408413438,-0.024025729071110502,0.3168856087972635,-0.46111503545496013,-0.1827673809473008,0.7337339859806016
Algeria,DZA,0.6397047388931296,-0.13473389156736357,0.11347768663105103,-1.7116041857258375,-0.2413171263732609,-0.517218297720908,-0.37345870520871977,-0.2702822292127697,-0.18077087333947026,-0.2763041324039157,-0.2763389992608478,1.975054994995552,0.08859455908837614,0.05409563308333313,0.38846359208405806,1.1088859295375946,-1.0785910511186192,-0.3796975105548702,0.46640550524765484,-0.4663389561484973
American Samoa,ASM,-5.299283595494509e-16,0.2356442086452597,0.0,0.0,3.450427173187185e-16,-2.660189456002446e-16,1.9679177998981212e-16,-0.5533753544397493,-0.3467321283149354,-0.30675860563136326,-0.30506308450512226,1.4651068597349842e-16,0.11769293178042249,0.4056236411015572,-0.1334028072684991,3.4692327702280036e-16,-1.074966436417539,0.0,1.1451123684516653,-2.9429680275806973e-16
Andorra,AND,0.6658080141090668,-1.0975781257728248,0.11347768663105103,0.0,1.3621003111624117,1.6018199477221373,1.9679177998981212e-16,-0.450331581525437,-0.34671331295225266,0.0,6.227389314193527e-17,1.4651068597349842e-16,0.11732079870804625,-1.1958931904795624,1.1798417309714768,2.9054809105402053,-0.37904041381013787,0.0,1.2988747641638514,-2.9429680275806973e-16
Angola,AGO,-1.8699387211533962,1.8335055403812073,-1.8156429860968233,0.7041480868607953,-0.5105076707009046,-0.8218843318188209,0.6714707642678033,0.0384905225741326,-0.25986787059643507,-0.2769272525211118,-0.2905425824559748,1.799261797494808,0.20479640639422067,1.6471416516292108,-1.7425267658708457,1.618273447680686,0.6394763171934026,-0.44014289516209976,0.16738348740828518,1.1235314153337668
Antigua and Barbuda,ATG,0.6658080141090668,-0.6878670241794925,0.5957578548130196,0.0,0.08956397768109627,0.915940430822551,1.9679177998981212e-16,-0.23194536572508676,-0.3467154035481063,-0.30670020343216325,-0.30498624209897,1.4651068597349842e-16,0.11917740812363453,-0.6054636635466073,1.0054680615789946,-0.8920276963633533,-1.0785910511186192,0.0,-1.4817274456466167,-2.9429680275806973e-16
Arab World,ARB,0.23349215951459054,0.4229597209818682,-0.36880248155091755,-1.349899444853876,-0.1880647679453703,-2.660189456002446e-16,0.1349080467515519,-0.3134619729974277,0.5661836941277636,0.2774332088252847,0.10829044636220686,2.8398804537282967,0.7026252823614807,0.6050802618768643,-0.2770267260507929,-0.2395005278743224,-0.9244951802488828,-0.10274956923207695,-0.03836752244346907,-0.6275135199622792
Argentina,ARG,0.6658080141090668,-0.3145092254176775,1.5603181911769568,-0.12585840474006801,-0.01400898448788274,0.8006288089857211,0.0368196687299229,4.2864557388092175,-0.15603564006455514,-0.2732078476704801,-0.27228125516309093,-0.7215048094101033,0.12495408963133875,-0.28427922053824883,0.05039509445079121,1.5946121807530385,-0.7270034251138384,0.051081879141446684,1.4239167840566647,-0.7489818880200143
Armenia,ARM,0.6546208961593796,-0.7793293106064323,1.0780380229949882,-0.5359261719122236,-0.47643261679866217,0.4233501480850379,-0.5211741025947998,-0.16950590139883415,-0.34476209015552745,-0.30602361357987057,-0.30294341359269017,1.3010432547891095,0.10311383283048897,-0.7743861526590444,0.8327868794821409,-0.9334400039631688,-0.8248680220430042,-0.6083470976298044,0.2414920864693255,0.30249026025276926
Aruba,ABW,0.6658080141090668,-0.8317594854672751,1.5603181911769568,0.0,0.7528035564785394,1.5149618429619278,1.9679177998981212e-16,-0.33826523462085006,-0.34673352204550445,-0.3067333255878752,-0.304544645160813,1.4651068597349842e-16,0.11941670895491735,-0.842750093656634,0.883528370783361,3.4692327702280036e-16,-0.8321172514451648,0.0,0.19876513168173346,-2.9429680275806973e-16
Australia,AUS,0.6658080141090668,-0.7887832620878352,0.5957578548130196,0.4124377976505247,1.295850818211132,1.5231983873788444,2.6561016509771993,-0.2741937542693266,0.18860675192517004,-0.18777894170076906,-0.18592640467910404,-0.13141211854360396,0.3220558416959464,-0.8669291631165691,0.40191349278612887,0.5618755988511527,-0.7451264986192395,2.7936185654708114,1.2190372055581453,-1.1655474457121406
Austria,AUT,0.6658080141090668,-1.113093771855889,0.11347768663105103,0.0278465011119442,1.354982033992715,1.4107246294820246,1.5811420920893882,-0.2049949448140497,-0.34099553329256316,-0.2160419963110544,-0.2123004788850894,-0.8029611534688512,0.19449430281018085,-1.3079635979250264,0.5304205805999305,1.1712556685116444,0.2117717824659373,2.048422438112941,0.373004133347077,-1.1539412667460445
Azerbaijan,AZE,0.6658080141090668,-0.6113545242688694,-0.36880248155091755,0.30254114019425477,-0.10524030559903519,1.1862488430504448,0.1848765537241436,-0.5965627638536961,-0.34098556811899416,-0.2956629333800531,-0.30049963602476715,1.7046155137155932,0.12016705901910922,-0.46883934580418196,1.110691761394086,-0.45624802016130256,-1.006098757097015,-0.5735705915389291,-0.1871785365361535,0.7644501002680031
"Bahamas, The",BHS,0.6658080141090668,-0.6469439209480077,1.0780380229949882,0.6775435068264715,0.5663810920592122,1.25813141250717,0.6706810523204637,0.07682500268387045,-0.346048503470797,-0.3055433984230287,-0.3032602299641529,1.4651068597349842e-16,0.12009506597240974,-0.6090944451629062,0.6846842755495176,-0.692158822315797,-1.0314710600045767,1.0962278367122331,1.026049242723213,-1.009796167704847
Bahrain,BHR,0.6658080141090668,-0.8821735129926044,-0.36880248155091755,1.3060884612769617,1.6368393169444297,1.7666668964590682,0.4384248797086863,-0.6094978000174713,-0.34669233730718785,-0.29482959260978564,-0.2949699551733833,1.614548613826043,0.160464913412506,-0.7318050260839127,1.9819544518135148,-1.2446534955758255,-1.0822156658196995,0.5592665948102055,1.8008829003467237,-1.5437158675883726
