Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
Afghanistan,AFG,0.4764845177672328,1.8521651667471921,-0.38351604559928976,-1.866728868415143,-0.9441473378944442,-2.2225717786616235,-0.7229330101425369,-0.16599679840486664,-0.30126523763537805,-0.30796598198468617,-0.3041789768541519,0.008093277371515547,-0.9040599629287254,1.6990884791015366,-1.6836105852129184,0.21124710954767825,-0.372624009015276,-0.8611717331218772,-1.6032784769715214,1.8281373326575843
Africa Eastern and Southern,AFE,-1.70157696776926,1.4708004955974245,-1.0303679934764334,0.476538178538972,-0.8647538745940092,-1.8482523931336734,-0.5436806892232701,-0.12544101802764393,0.6884513636776003,-0.20201592782573524,-0.2020477083784004,-0.657032788420044,0.4428224270599692,1.4233618152365082,-1.355961671469374,0.5218277239135247,0.0,-0.7117389954583104,-1.0829996783840394,1.4466015750379224
Africa Western and Central,AFW,-1.427351402049789,1.6683855876388358,-0.38351604559928976,1.1836022684853043,-0.7946985828906382,-1.4203680654269297,-0.6525964512309296,-0.1395301939966664,0.28404517315555877,-0.24791238281142078,-0.24551828706892753,-0.6718070988677612,-0.17381421368644526,1.5616423071607124,-1.544073104867532,-0.6141535942613974,0.0,-0.7557002006224138,-0.4455672115015729,1.4235676981275087
Albania,ALB,0.5775387759971056,-0.8553382536653082,-0.38351604559928976,-0.24934244708686765,-0.3042928234291844,0.5480630556336291,-0.4615283850342466,-0.15844197258147913,-0.3448367668423531,-0.30671600448981795,-0.3030461741576992,-0.5624124032945425,0.039730153983053025,-0.9123677750485035,0.6200047714578244,0.9923239901314445,0.5260870294554375,-0.4908631633188363,-0.1559509190487017,0.45944379506577443
Algeria,DZA,0.5687514491945077,0.2697868125897876,0.047718586318806044,-2.1157547303043227,-0.423651437126495,0.2343709092809521,-0.307213302827068,-0.002563214517658881,-0.18066060040804352,-0.2918130642130278,-0.29026736767075434,2.994600525396448,0.08005657649925688,0.4208240850068608,-0.10646608219188208,-1.4866549335326706,-1.1892609800457417,-0.2988820263403232,0.56916535972477,-0.46631867611269356
American Samoa,ASM,0.0,0.06309150999062083,0.0,6.745845107958622e-16,-1.5329063482779778e-16,0.0,0.0,-0.14098848781311457,-0.3467335157091324,-0.30828179631120345,-0.30645105604429074,-2.165631661587072e-16,0.09737983443658736,0.21637102835206595,0.12559663430593063,-3.190265040383146e-16,-1.1769498699297045,-1.363888966354453e-16,0.9558765949417238,-2.9982392420454243e-16
Andorra,AND,0.5775387759971056,-1.2309822735789269,0.047718586318806044,6.745845107958622e-16,1.465539705367762,1.1909394077091484,0.0,-0.16949343389188692,-0.3467146876872931,0.0,0.0,-2.165631661587072e-16,0.10258778748279432,-1.338112753558381,1.464372591493411,1.9544451807842997,-0.4382832629674743,-1.363888966354453e-16,1.2461544914567626,-2.9982392420454243e-16
Angola,AGO,-1.6983788658756829,2.0500409889377655,0.047718586318806044,0.8396116649485466,-0.661071451119976,-1.2135896556786687,0.15064621644091244,0.2435943002337956,-0.25981081488411695,-0.29337428270524407,-0.30157832436419985,-0.4158865453179308,0.15303926096870507,1.7975936095528788,-1.919137445441343,0.4383754258161606,0.9774944003768004,-0.5568166165117533,0.3276052475955002,1.2038565875858722
Antigua and Barbuda,ATG,0.5775387759971056,-0.816332297671767,0.47895321823690185,6.745845107958622e-16,0.050323200094458995,0.4037778136237335,0.0,-0.14003088710120404,-0.34671677968971965,-0.30760182903779476,-0.30630649128523724,-2.165631661587072e-16,0.09981826134582301,-0.7671078539065842,1.2134810627528148,-1.2169913365528924,-1.1564313530696426,-1.363888966354453e-16,-1.6380612168378195,-2.9982392420454243e-16
Arab World,ARB,0.15724509904859008,0.5075991745307789,-0.38351604559928976,-1.5361098541550011,-0.3591927190413081,0.0,0.06036733322851499,-0.04373666531069112,0.5667992448663178,0.09097359610613974,0.05458474962566141,3.0675583917183795,0.9629884602202171,0.6765947374095611,-0.2627506374840909,-0.5782195304851749,0.0,-0.10821169797311021,-0.0837297616240297,-0.5759378221388423
