Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
Afghanistan,AFG,-1.315004519400867,2.349795828177151,-1.7934851674573649,-1.341162123752969,-0.8151406411639948,-0.962488475248378,-0.7276286711600745,3.2367260244477567,-0.3040884198080753,-0.2999012328138709,-0.28834910827922977,0.5673796000283093,-0.7101124987838282,1.9131577692695783,-2.1672676238383164,1.2736855678871488,-0.0567296335540163,-0.7846337153719161,-1.5496237208199963,2.140833570264543
Africa Eastern and Southern,AFE,-1.7038923131935884,1.4799040041084672,-1.2369701222707299,0.8461203897308486,-0.723328235377954,-0.9279132627694741,-0.5665848335828044,0.28293802488572567,0.5284589041758444,-0.1972579184111659,-0.17994970304471194,-0.23279596915744102,-0.39356905227034833,1.3837955367664672,-1.461547395663471,0.41788624567464416,1.0662610327457869,-0.6254306351849307,-1.0852622514701002,1.2903910240791745
Africa Western and Central,AFW,-1.2324050670644715,1.527039186651807,-0.12394003189746026,1.3840442540613531,-0.6842962025763359,-0.8587628378116663,-0.5693357867484773,-0.14776593656107403,0.29358527261903433,-0.20461902270423873,-0.2338496608370165,-1.1188397236161638,-0.085394511008399,1.413493877092748,-1.5065161352132292,-0.49032424652999446,1.7813195072582584,-0.70940739992452,-0.5830953331209262,1.4345991946237742
Albania,ALB,0.7291532555574215,-0.5473950545922849,-0.6804550770840951,-1.093009361078483,-0.5062356082461503,-0.3947591644432167,-0.45745076347921204,-0.35741451983345973,-0.34858025618710814,-0.2995927379274655,-0.28785735756704023,-0.10278085649952093,0.07961105766176058,-0.5079450291386134,0.429283941453334,-1.0830984622879858,0.05314810991927248,-0.5148395800806214,-0.3593717827588504,0.6165328320964882
Algeria,DZA,0.7056957073201952,-0.3279473834540152,0.4325750132891746,-1.8801716986544716,-0.17898884618388752,-0.6361334768501603,-0.19776187538547488,0.04504461562634975,-0.18093640096150737,-0.2604718750644452,-0.2726707348379908,0.7499190863824016,0.10397093680454877,-0.14650896782392578,0.5933779867967002,-1.017794729631402,-1.0318946068794546,-0.41320761263433453,0.37201441170569727,-0.42883095555876993
American Samoa,ASM,4.762168713915218e-16,0.4791566451260664,0.0,0.0,1.923137778309696e-16,0.0,0.0,-0.768768431673466,-0.3505170677190603,-0.3002193848929625,-0.29039026421353975,0.0,0.12728051538245216,0.6275776098037742,-0.44386279211836766,4.075812124194583e-16,-1.0456293248136155,-1.3808964644250554e-16,1.3217765884074755,0.0
Andorra,AND,0.7492597254750438,-1.269392313500979,0.4325750132891746,0.0,1.6278866328915191,2.018327030589121,0.0,-0.758300257383143,-0.3504978420163535,4.1086959687104465e-17,0.0,0.0,0.1301910105688215,-1.4091577089145932,1.4899931758119795,1.3752710864291888,-0.47563853054592986,-1.3808964644250554e-16,1.4014475109440578,0.0
Angola,AGO,-1.3451642242773008,1.6298081164619165,-1.7934851674573649,0.7120110367111215,-0.527513388118376,-0.9711322783681039,0.39141375028916886,-0.35225513653845175,-0.2617584068889715,-0.27144729145695834,-0.2838918142833346,1.0598065503561067,0.22773003967004313,1.4866175096987604,-1.5859427762399718,-0.18169629442502272,0.9768078909916065,-0.6323588470641848,0.05247952495998207,1.561952782212888
Antigua and Barbuda,ATG,0.7492597254750438,-0.5427799019750104,0.9890900584758094,0.0,0.694812419456532,0.4248419254676395,0.0,-0.518784516415098,-0.35049997820554313,-0.30022125004699657,-0.2900997102410063,0.0,0.1290136098417696,-0.43308078758469293,0.7120331056048927,-0.6949348493326408,-1.0456293248136155,-1.3808964644250554e-16,-1.2422943149189831,0.0
Arab World,ARB,0.20057975711355608,0.39196892476333106,-0.12394003189746026,-1.4096847245923578,-0.1632719312152121,0.0,0.17782889001780078,0.241736006449573,0.44949511183217666,0.21155160866671563,0.02007976887828724,2.252155879681368,1.2204739365446573,0.564319820641219,-0.3101848262215068,-0.7835648707676598,-0.8533417018443462,-0.18699397450716115,-0.08119527501433475,-0.5379611719547991
