Year,HIER,DBSCAN,KMEANS_4,CLARA_6
2005,0.31901234285715324,0.2199932658409471,0.2677868551401337,0.21369319655093577
2006,0.0436848729047529,0.19399383272843265,0.27908758420842134,0.23650211951975286
2007,0.2655444149290052,0.19248163908763904,0.2478376970675259,0.1996917795127162
2008,0.2904889064056464,0.19340873547040258,0.2589347113836506,0.19994390672599643
2009,0.20103389664547652,0.009061906604515831,0.25073368042715344,0.196735618419443
2010,0.1993021521823134,0.1939378695895719,0.25019270632682444,0.18954310466499535
2011,0.07368526922915102,0.18175837935324507,0.24300049752311692,0.18345681119306212
2012,0.30007086922809245,0.21608164257484885,0.24538897001747548,0.20274296496069028
2013,0.24430078479306697,0.2149603218243337,0.2347902002823738,0.19051016780631996
2014,0.2950162623447577,0.19656459127577988,0.24061125361614744,0.2074526033813086
2015,0.29012104426000906,0.20153728508561564,0.24641773903686293,0.1783401910314771
2016,0.2685289924637537,0.1768429350401649,0.23180056671185062,0.15185385283433434
2017,0.30512687168973207,0.1987593814811848,0.2550586760648638,0.22613628754853055
2018,0.27962006793653205,0.17027570428586028,0.22212316914853833,0.16042769268419688
2019,0.26797672771407277,0.2130208115265624,0.23733757514715642,0.18250557005827583
2020,0.2770163697845415,0.18195704819602154,0.2236573812942993,0.18048123251121306
2021,0.2503163900694232,0.20861828832110227,0.229586887056601,0.16417026055583567
2022,0.23170471174995488,0.16845871825260633,0.2186789253415982,0.17865861897360882
