Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,AFG,97.7,84.03269031830325,9.0,38.913,2583.485332398769,17.6,3516.514564739679,6.521479848325313,652230.0,863832777.0,6718755602.0,1.17096838242129,9159.0,44.5768321059625,53.0470145105464,27.8688524590164,18.9,3386.220044506289,25.1437258839803,82.39611910485431,2375.0,0.42,53.9,394.0,-106.0,924.0,324.0,502.0
Angola,AGO,45.6,86.45727991180442,10.0,62.644,8572.878956106713,32.1294,45803.04653086986,19.86588752358797,1246700.0,34533574131.0,14150390890.0,1.76791430458684,58984.0,45.1127665227853,52.1792554940819,30.0,51.0,11285.479212785403,66.6637823180533,65.26900213124809,,,,,,,,
Albania,ALB,100.0,26.09162228712134,9.0,53.392,15487.47773274569,68.5504,13900.892809516605,1.0006328555612214,27400.0,2984977429.0,6481687446.0,1.28080596201472,-23094.0,17.7442916565786,68.0076096803147,29.5081967213115,40.1,11973.525670492569,56.7639071287255,51.1991823398025,4995.0,686.0,69.1,777.0,-101.0,914.0,548.0,274.0
United Arab Emirates,ARE,100.0,20.34817365260551,12.0,77.614,79816.30109044063,99.15,91816.30195600238,-2.742266663274833,71020.0,211183219140.0,249018712709.0,,-125186.0,16.6494070201078,81.8226037478217,50.0,0.7,58355.34610441604,85.0298263388195,1.404781869307352,6711.0,862.0,66.0,911.0,119.0,,0.73,284.0
Argentina,ARG,100.0,37.493742328622496,14.0,54.355,23516.82619808864,79.947,32032.29513050172,49.19557905966119,2736690.0,63463140996.0001,48443181000.0,0.699696134379197,5397.0,24.0972913239252,64.2701694847154,40.1574803149606,10.7,24591.12243949646,91.8567844513802,22.71499960036828,6086.0,896.0,67.1,817.0,-214.0,0.83,735.0,319.0
Armenia,ARM,100.0,30.00645627396156,12.0,48.002,14975.753953815694,66.5439,15644.600891181586,1.065622639234192,28470.0,2634372777.0,5477203859.0,4.78770584078564,-14330.0,20.3005780187581,67.6540902691366,23.4848484848485,10.3,12201.50032645237,65.0047033570428,38.558798749928016,5488.0,782.0,67.1,844.0,-179.0,583.0,537.0,0.43
Australia,AUS,100.0,28.5366054464316,11.0,62.689,52885.83138163773,93.6099,137095.6493577775,3.4766003141485413,7692020.0,267562881483.0,222888107834.0,1.8800024062683305,207142.0,18.661163799115,65.3937724215717,30.4635761589404,10.3,102169.89316155796,87.3019647888406,9.82873725665,7234.0,943.0,70.9,918.0,117.0,0.43,727.0,202.0
Austria,AUT,100.0,21.64394599630676,13.0,58.121,60354.9279422121,87.7522,95498.48244427163,1.4736850282358631,82520.0,178432949332.0,184756251938.0,0.753133437614439,41090.0,14.422845223827,66.6368554183168,39.344262295082,34.0,81955.56335392776,68.3176044750522,8.888496988834175,7195.0,964.0,70.9,903.0,56.0,457.0,727.0,205.0
Azerbaijan,AZE,100.0,33.7222841471565,9.0,61.966,16675.31793615583,81.1,30445.05200915629,-0.2216527849646041,82654.0,19633732800.0,13666692100.0,3.8490186357853,384.0,23.5467769812991,69.825581884135,16.8067226890756,1.7,10276.213997244646,58.1308191977779,55.16586903969311,5173.0,887.0,63.6,854.0,-218.0,457.0,577.0,164.0
Burundi,BDI,9.8,94.2212566861201,,78.909,868.4237316608336,6.1,3011.3606958399914,0.2934948893060749,25680.0,153025354.0,727380376.0,2.8078168112503,14253.0,47.3474188162847,50.2513129688442,36.3636363636364,84.8,2392.1951207350576,18.786178154187,84.7377561639709,,,,,,,,
