Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Moldova,MDA,100.0,31.11921817100005,10.0,71.872,16452.96211919997,76.7412,9775.996989781836,18.8553230591008,32880.0,4292661006.000001,9204819663.0,0.360059008856848,89154.0,20.1457277167038,64.7372708643745,40.5940594059406,,10968.785764818247,42.4048843383789,58.58467985987566,5687.0,817.0,65.7,829.0,-87.0,885.0,552.0,276.0
Madagascar,MDG,36.1,70.10510311507751,5.0,82.725,1716.9788487379749,18.5532,1812.6950543033463,9.62605733706367,581800.0,3545559762.0,5401384391.0,0.653151211221591,-1487.0,39.8661354559159,56.8662396538611,18.5430463576159,83.1,2196.872527291229,31.5397813465886,84.9434806513982,4019.0,642.0,58.05,523.0,75.0,0.74,687.0,345.0
Maldives,MDV,100.0,26.98357367848058,12.0,60.695,22880.51231514193,83.9119,11604.629376608493,3.413013930370795,300.0,159010757.0,3515536728.0,,-2674.0,20.3824031947705,75.5359836216494,4.59770114942529,1.2,24762.38826260755,41.0641769690663,17.72305335433862,,,,,,,,
Mexico,MEX,100.0,37.81002707321732,14.0,58.961,23135.49316012762,78.6322,26693.756881587586,6.666649474686693,1943950.0,576358502000.0,640210570160.0,0.685819352028866,-108438.0,25.3113209855908,66.943409174418,50.0,,22527.88037693453,79.199683215791,26.71216376795362,7038.0,858.0,65.8,861.0,-121.0,0.78,818.0,205.0
North Macedonia,MKD,100.0,26.15641107391465,13.0,45.264,23389.07336428232,85.008,10874.862177958315,8.87368732523663,25220.0,8728018820.0,12756528278.0,1.58059754666542,-5296.0,17.1987731988286,65.7535485995523,41.6666666666667,,16578.90851439893,61.9530566607267,12.154234727462,5167.0,0.85,66.7,723.0,72.0,937.0,555.0,277.0
Mali,MLI,53.0,91.98475948189606,9.0,65.631,3014.4210732687966,34.3797,6270.597267370304,6.301578002981813,1220190.0,4601902666.0,8431322930.0,3.09091717190995,-39951.0,46.7500728135142,50.8237180487365,28.5714285714286,71.1,3835.016543568794,30.4015705681899,76.5924519695763,4211.0,642.0,55.8,818.0,-19.0,746.0,655.0,408.0
Malta,MLT,100.0,19.571408249958857,11.0,61.779,57834.396568966346,91.5406,34824.255169456344,5.0885864711204505,320.0,3085628514.0,8215369360.000001,0.411834981751042,2480.0,13.2114837028959,67.5041462195565,27.8481012658228,,57906.54216154818,95.6003155132879,10.28100084038958,6299.0,932.0,71.65,838.0,,758.0,671.0,0.37
Myanmar,MMR,73.6,36.15495536886125,5.0,53.527,5731.937878724586,58.0112,6685.42843513734,6.163716489058984,652670.0,17062290414.0,17403109394.0,4.17058942838215,-34988.0,24.7280913131202,68.3947473609728,,,3193.2441566953094,30.311095757938,62.73826567190309,,,,,,,,
Montenegro,MNE,100.0,28.68998841799818,9.0,47.244,26911.32510279283,88.2219,15272.423908487852,12.067802071296924,13450.0,730340682.0,3695114885.0,1.57303708395214,26332.0,18.4714002741409,64.3826746224462,27.1604938271605,,17107.302305465004,65.4012965440866,15.69305759710749,,,,,,,,
Mongolia,MNG,100.0,52.6165697601272,12.0,58.886,16401.989475153066,82.1725,11651.796232605517,17.71471241775015,1557510.0,12538690517.0,8722449837.99999,0.5139362730129781,0.0,32.8847775334722,62.4988814284639,17.1052631578947,,10457.442381300518,69.783805847168,40.08642979055384,5788.0,951.0,60.6,717.0,214.0,847.0,0.55,209.0
Mozambique,MOZ,33.2,85.99625859402148,,73.466,1581.9441944262007,18.7913,4284.620287934914,9.15161420042132,786380.0,8233107588.999999,14670353012.0,2.20848120068367,-34936.0,44.9533222526557,52.2735788430795,42.4,,3189.012034871492,35.0536638047945,84.0700181405171,4.74,711.0,51.75,884.0,47.0,688.0,629.0,351.0
Mauritania,MRT,49.0,81.12462099405104,9.0,36.632,6484.827921326307,34.3001,9494.487434295428,-0.6123616562345688,1030700.0,3778018550.0,5117689009.0,2.05903871155909,2999.0,43.3523205939736,53.4391759026384,20.2614379084967,19.6,7636.166085143097,58.8120996197226,54.14651166008728,4724.0,648.0,60475.0,624.0,-13.0,657.0,631.0,389.0
Mauritius,MUS,100.0,21.45543633550433,12.0,52.046,26874.489992759285,75.5,19149.84636431238,8.524866044908833,1997.0,1646055236.0,4780073701.0,0.138698687184487,-2824.0,15.4755453893982,72.1286907010613,20.0,,22899.28520782895,39.0000125885784,15.83970587449429,5741.0,887.0,63825.0,798.0,-38.0,769.0,725.0,168.0
Malawi,MWI,14.0,75.61928762536441,8.0,59.904,1778.3058214600076,17.0457,3963.1506866992313,17.166830393095495,94280.0,899734678.0,1584132235.0,0.933234952541455,-5231.0,41.9334292329599,55.4533513205095,22.9166666666667,62.9,3217.031280401921,16.7146031979436,60.06333190210392,3356.0,503.0,58.75,744.0,0.02,755.0,536.0,329.0
Malaysia,MYS,100.0,32.62853114639426,6.0,63.62,34419.86849756656,97.3986,32004.89213729404,6.296299503337991,328550.0,352294847032.0,294936100345.0,0.9020254051708212,188154.0,22.8336703559739,69.9806902873523,13.5746606334842,,19860.67237867373,75.9741357073003,22.24507631459926,,,,,,,,
Namibia,NAM,56.2,63.50919318503729,7.0,47.353,10662.701706411855,61.1485,21000.67623871521,6.41674452090038,823290.0,4819453636.0,6539627576.0,2.91089959085182,22212.0,37.4728882698239,59.003897513983,44.2307692307692,,12648.180933080444,49.5291037671807,30.68940206783219,4949.0,808.0,57225.0,683.0,-0.12,849.0,676.0,261.0
