Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,AFG,89.5,91.71942384100171,9.0,43.368,2224.490748152148,7.0,2247.871906501964,0.5669445425326103,652230.0,414759213.0,4289047889.000001,1.29801287790022,233913.0,46.7130662681856,50.9303980666568,27.710843373494,19.1,4082.1283067958952,24.1910166387726,85.0754288517816,3131.0,526.0,52.3,509.0,106.0,871.0,492.0,375.0
Angola,AGO,32.0,86.85656837835492,6.0,63.952,9017.690181622693,21.3623,56967.99056521593,4.081731880823725,1246700.0,58584561952.0,28702808540.0,4.69845451564414,84535.0,45.2258854448141,52.0696201188262,36.8181818181818,47.5,13038.858919906628,62.723115793241,65.38745969994076,3795.0,755.0,53.08,375.0,-0.17,834.0,595.0,368.0
Albania,ALB,100.0,28.32353288190157,9.0,43.775,11059.327235220911,54.3,14732.571086785549,1.4434205388813552,27400.0,2537872262.0,5260281287.0,1.34651599128914,-21706.0,19.3865379916553,68.4466928018412,20.0,38.6,12470.985110899994,54.7325813178673,55.9762894374987,4814.0,626.0,68.72,735.0,-26.0,883.0,573.0,335.0
United Arab Emirates,ARE,100.0,20.62467607708784,12.0,76.119,87477.73419635143,90.4,94446.7023645556,-0.8573278103830972,71020.0,229693667524.0,186664344486.0,5.64365135247024,360174.0,16.8423411088757,81.6610900166076,17.5,0.1,60879.36417627148,84.1438806787019,0.57178377857936,6.54,,65.34,,,,,
Argentina,ARG,100.0,39.02798912058024,13.0,55.123,19487.418174886807,64.7,33503.115806891416,40.2829716315506,2736690.0,65881561793.0,64498963507.0,0.878100924236765,5794.0,25.0138297580693,64.0920281103568,36.5758754863813,9.8,26340.01367887723,91.3975345472954,20.177973465530933,6671.0,918.0,66.78,745.0,-168.0,854.0,769.0,238.0
Armenia,ARM,99.7,28.67811413879091,12.0,50.761,9736.234974627896,54.6228,12872.482609980323,2.30918242990974,28470.0,1501197665.0,4394494803.0,3.94337826474581,-15745.0,19.8849276387873,69.3383433330299,10.6870229007634,7.1,8484.30417192145,64.4142934233291,45.5644503082124,4453.0,739.0,65.76,506.0,-222.0,0.92,0.51,404.0
Australia,AUS,100.0,28.46760857107929,11.0,60.849,47108.59064599657,84.0,130345.49755379236,1.417030571822636,7682300.0,233482223273.0,233773165787.0,1.77241725032578,200177.0,18.9164776713354,66.4491289382527,26.0,9.3,100601.13975652818,86.7221289343356,10.12052030219108,7289.0,924.0,70.52,923.0,315.0,442.0,0.74,245.0
Austria,AUT,100.0,21.24637752204516,10.0,56.758,48355.497762440704,80.9958,90601.1536191324,2.006744132089395,82520.0,178033700383.0,182074270507.0,0.75464957585912,74375.0,14.3011125354513,67.3108310981136,32.2404371584699,35.7,80423.06744772475,67.4154327591781,10.40073694324887,6.95,899.0,70.3,885.0,114.0,567.0,721.0,0.17
Azerbaijan,AZE,100.0,32.41830974152733,9.0,59.68,17563.61224543851,75.0,38977.204306735,-1.330204212390413,82663.0,21827536100.0,9184827900.0,4.55501312398224,1073.0,23.0824332493211,71.2018299395149,15.5737704918033,2.1,9425.966143565369,54.6319175926151,56.7178915097316,5252.0,799.0,62.82,733.0,-211.0,654.0,502.0,0.22
Burundi,BDI,7.0,90.31642214079169,,77.697,724.3719541832735,1.04239,2772.452115841398,5.302267340513183,25680.0,141499030.0,672538798.0,2.29794559090695,-6856.0,46.4060513053708,51.3816362371271,30.4761904761905,91.3,2526.068838564763,13.7839781740413,86.55420571180031,2905.0,565.0,53.38,431.0,-55.0,808.0,622.0,251.0
