Country Name,Country Code,Access to electricity (% of population),"Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect,cluster
Afghanistan,AFG,-0.4178015833500583,-0.2422267091793042,-1.046431895770971,-0.7695523550757339,-1.2176605351205,-0.7680868221365368,0.0242008233436031,-0.0682627377880425,-0.4082721300914345,-0.5061746056636355,0.0602453533735019,-1.8214753814140807,0.6274760348160277,-0.586636386069543,-1.57960756480457,1.8524037610356825,-0.5736244238443716,-0.974553340523466,-0.1123336056780367,-0.3029445434129169,0.3832676923605691,0.5493015925035812,-0.1913542126679215,0.2498370575032636,3
Angola,AGO,-1.42454039314581,-1.5964942195908676,0.6671688130466225,-0.4823009208314897,-0.972559610413975,0.6363079967438473,-0.1730784112707683,0.2337633253925673,-0.1594600274376822,1.744908933310474,0.4176253280541705,-1.5961940554507863,1.2091570154983988,0.4389733482183238,0.1441474670379924,1.169590322991115,-0.390500193686344,-0.0228952186664966,-0.1122700008951309,-2.590272138509269,-0.6911726380111887,0.5234191645069163,-2.7174418144328576,1.1302672143911632,5
Albania,ALB,0.6671635528825256,-0.2422267091793042,-0.980581162412624,-0.4059911984257418,0.3668651612216815,-0.4451831056731418,-0.5306940562652848,-0.385713483926856,-0.4006627858263439,-0.2849287689938297,-0.070127657068585,0.6856643654484785,-0.2709018869122949,0.2434557734544161,-0.2082594992975567,0.7674997037222928,-0.0824501188451688,0.1250516322104271,-0.1100604260454913,-0.0890978872464267,-0.8373982451032029,0.6972011810559523,-0.2190956341204512,0.8337958350309521,0
United Arab Emirates,ARE,0.6705646975102137,1.1120408012322591,1.619699671075117,3.080682750297333,1.616534664654949,1.5910218325398224,-0.6491652229390598,-0.3635519335106227,0.4974540480623199,2.797354733369055,0.9377430770062606,2.549231629029689,-0.3034631827653341,-1.1628987116894816,1.1256496657782449,-1.3922762041959973,0.9560900357496726,0.5449008036179136,-0.1104973632498005,1.1147795845056658,0.5676397106736578,-1.2402827948336783,0.5854038428229907,0.4115487189724696,2
Argentina,ARG,0.6467566851163952,1.5634633047027804,-0.0254162750497958,0.0328289519677785,0.6464873429291254,0.0399155399611019,2.3983395963277903,0.9907667299015868,-0.1410186439579327,-0.6655715988356824,0.017087854762209,0.0828472869526077,1.435715448264298,-0.8610470173171328,1.4560314759017543,-0.6722852438362481,0.9365233371848422,-2.906219399716253,-0.1103065489010832,0.3267150552995263,-0.8691864205579887,0.5493015925035812,0.8212076703494136,0.0791414148413238,4
Armenia,ARM,0.6501578297440839,1.1120408012322591,-0.3847966523529765,-0.4394316543376543,0.0251047169125836,-0.5099512521507742,-0.1565296344489214,-0.3851698603838626,-0.4042382479027254,1.4397294474008042,-0.0552893268079599,0.8613834920466739,-0.9246133990762868,-0.9330798080196252,0.2442248437767907,0.3114129982573138,-0.2199187190185923,-0.0188966551292825,-0.1104641781456758,-0.5959936648262553,-1.2760750663792462,-2.490404701219026,-0.3947913033198062,-2.198747016576298,1
Australia,AUS,0.6705646975102137,0.660618297761738,0.4386667682931575,1.213895650546697,1.459583769700271,2.261998171427363,-0.5907533498379133,3.5034303097738357,0.5093468605187418,-0.1321944448391585,0.7245563239003675,0.449563010869859,0.4714956585369067,-0.8507566186453482,1.2434091174835316,-1.0233251035343012,1.328860728920671,0.8008088699996195,-0.1097838835111184,1.1028992147186387,1.6675099807339129,-0.8964168855958462,-2.716886986003807,-0.6126251369991687,2
Austria,AUT,0.6705646975102137,0.2091957942912169,0.091221836411177,1.2768560237617117,1.3617263624797655,1.3970236439885797,-0.362352128223391,-0.3577092505719092,0.2380989022821571,-0.7192492974117554,0.1899698588925137,0.5513208746225758,1.1400876000525624,0.0204971355657494,0.376443678444475,-1.0183627545893612,1.396591608568161,-2.906059457174764,-0.1098170686152431,1.059337858832872,1.025388836547241,0.0168630737150452,0.6316412904237937,-0.7384008736974401,2
Azerbaijan,AZE,0.6705646975102137,-0.2422267091793042,0.2309900179642692,-0.0871727387517879,1.0987158096411642,0.1437608727803699,-0.5231716764050485,-0.3576386303172587,-0.3209103109125237,1.8020033833825655,0.0070612294230547,1.144255407390088,-0.4790806636776047,-1.0805755223152047,-0.2134704464038504,0.7166936487665383,0.3841403853930932,-2.906779198611463,-0.1108762265218914,0.0693070432472696,-1.104418918923403,0.0908128679912308,-0.3346848901726584,-0.0286663594714801,4
Burundi,BDI,-2.4959009508676404,-0.2422267091793042,1.7760128493844942,-0.8347442924411518,-1.3776934879002198,-0.7627069192610977,0.4470987749867813,-0.3865873460707331,-0.4088947942206303,0.4303393494610262,-0.0083147214991873,-1.6503183395880063,0.879597233228285,1.948231820080068,-2.0671817134480164,1.8604837396183165,-0.5063944947982556,-1.2224650756819602,-0.1123999789196231,-0.9009244320150284,-0.1634887227490236,0.0094683778654514,0.0860610245804919,0.0521867243038412,3
