Indicator Name,total_values,null_values,coverage_percent
"Inflation, GDP deflator (annual %)",5320,214,95.97744360902256
"Inflation, consumer prices (annual %)",5320,692,86.99248120300751
Domestic credit to private sector by banks (% of GDP),5320,947,82.19924812030075
"Claims on central government, etc. (% GDP)",5320,961,81.93609022556392
Monetary Sector credit to private sector (% GDP),5320,982,81.54135338345864
DEC alternative conversion factor (LCU per US$),5320,1055,80.16917293233082
