country,cntry_code,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,AFG,-1.507715883185926,-3.744911365344382,-1.6893758613857233,-1.2318143775281316,-0.5493105819798357,0.9891413237224336,-1.258693669990858,2.0283424483837047
Albania,ALB,-0.06877658226149143,-0.4563059388019374,0.812771576354027,0.24062074133085645,-0.516024515304889,0.9544909428075781,-0.20432336180389482,0.1668675203651023
Algeria,DZA,-0.2060799506703115,0.10492226929261898,0.3683111762292047,-1.2664146805822591,0.1563540315290346,0.35503935298057976,-0.22315140302151917,-0.3148299390783079
Argentina,ARG,0.5304153174745995,0.5510267423934202,0.4835416503356387,0.3943998660158683,-1.2682896221586848,-2.2096778911942723,0.6758875651200431,0.5342638877371949
Armenia,ARM,0.20198566024070183,0.00418900117308322,0.4835416503356387,0.49820077517825123,-1.035287155434058,-0.19243666547413554,-0.2561004751523618,-2.066657462345639
Australia,AUS,1.1609123852079015,0.7764773900895241,1.1090785097705782,0.7826921558455231,0.9352479917227877,-2.2110639064308666,0.6382314826847943,-0.4209666674302458
Austria,AUT,1.1394930597361255,0.8772106582090599,1.1090785097705782,0.7250249840886437,0.5291579782884378,-0.6290314650013136,0.6382314826847943,-0.3964735762721063
Azerbaijan,AZE,0.02898341604558849,0.5078553417707621,-0.09261072019653965,0.5366455563495042,-1.2949184754986423,-0.6290314650013136,-0.06782006297611835,-0.7312124887666794
Bahrain,BHR,1.0862193527935033,0.46468394114810385,0.28600369472460757,0.7404028965571449,0.39601371158865095,0.0,0.562919317814297,0.5179351602984352
Bangladesh,BGD,-0.0034201788988930536,-0.5186646285902214,0.022619753909895547,0.7211805059715184,-0.26970762191028336,0.060511115204308866,-0.7456295468105946,0.9424820737061866
Belarus,BLR,0.3848737469612502,0.651760010512956,0.30246519102552605,-0.22071663272417893,0.1550891609953866,-0.3206430748591005,-0.15254624845542789,-2.06861690963829
Belgium,BEL,0.9071757603884019,0.49346487489654267,1.0596940208678183,0.23677626321373116,-1.0153155154290898,0.1159517246680775,0.506435194161424,-0.07806339121629273
Benin,BEN,-0.07921163826056175,-1.6267305779051149,-1.4259919205710125,-2.7435785075253114,0.05649583150419444,0.20604271504670155,0.21930756559265283,1.5303162615015347
Bolivia,BOL,0.304139366336864,0.013782645755896149,-0.1419952090992986,0.6404464655118871,-0.42282352861503825,0.7569837715929023,0.5158492147702362,1.3507002596751783
Bosnia and Herzegovina,BIH,0.49197037432012986,0.4406998296910715,0.5000031466365595,0.029174444888965232,0.668959458323214,1.1242778092903696,-0.21844439271711308,-0.12704957353257174
Botswana,BWA,-0.9057779160816588,-0.0341855771581685,-1.6893758613857233,0.455911515889873,-1.3814622488535035,0.5317562956463423,0.3463968438116171,0.1587031566457225
Brazil,BRA,0.7308782353514769,0.5654172092676396,0.2036962132200105,-2.7433478388382837,-0.27636483524527267,0.42780515290177606,0.5158492147702362,0.6812224346860318
