Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
Afghanistan,AFG,97.7,86.77959240861665,9.0,42.014,2335.795862344538,13.5,2772.9525602191616,2.403656187657461,652230.0,831859250.0,7708642417.0,0.945226799939516,-71491.0,45.3646045386981,52.2756584397329,27.710843373494,19.5,3421.953577141762,24.8352821238871,82.22336041810959
Africa Eastern and Southern,AFE,40.22374417303676,77.27482023085246,7.0,63.0617502228725,3837.7263749346057,17.3,10612.445900663844,6.075072097211738,14845102.033,181926800518.0,219741195678.0,1.286710114012092,340934.0,42.25007932691853,54.67509235876852,28.70592262923658,61.42694975764084,6942.530394107156,35.28298683264582,70.66925325123445
Africa Western and Central,AFW,48.90072804750566,81.83664963067238,9.0,69.27100550728652,5026.648499102,23.8,7822.612787985543,1.8680595285804105,9045780.0,115041270045.0,126500522012.0,0.813068528209328,-72945.0,43.70027093275046,53.39938921276097,15.279106858054222,76.10168058795495,5886.917745304892,48.74741387758562,71.92654449678902
Albania,ALB,99.9,26.72563440919566,9.0,50.152,13150.134321095777,62.4,13702.628480021163,2.7250691854046067,27400.0,2460730040.0,5667872270.0,1.10915100558884,-14901.0,18.2833562063906,68.411252681582,27.8571428571429,36.9,11950.819096051362,55.980276426546,52.831529389577696
Algeria,DZA,99.5,46.36465839303075,10.0,37.246,13493.560749483971,47.6911,20413.136022997187,4.938007295743148,2381741.0,34250280648.0,44817263962.0,5.30711492252911,-14403.0,29.9456114625482,64.587146212269,25.7575757575758,0.1,15984.4481054162,71.3227912436551,27.11211932531321
American Samoa,ASM,,48.98564915394266,,,,,,-1.9408900576967485,200.0,40885037.0,117342041.0,,-1305.0,31.0345830264025,63.351490714535,,0.3,,83.8890385422071,
Andorra,AND,100.0,20.4783230468162,10.0,,53084.86396409029,91.5675,,1.1365093431963942,470.0,,,,1357.0,14.7541094729707,72.0474495848161,32.1428571428571,18.0,,88.4977035522461,
Angola,AGO,42.9,86.91396584532323,10.0,63.045,8006.836614976964,26.0,50785.44384955986,23.712806150813208,1246700.0,34509386245.0,15459006926.0,2.5079828055057902,77731.0,45.2508263728476,52.0639319428822,30.4545454545455,52.5,11474.740631265237,65.0850525086068,65.22111795611939
Antigua and Barbuda,ATG,100.0,28.459107256846597,11.0,,21422.00215766269,71.9621,,0.3165317928915101,440.0,158516676.0,521211283.0,,0.0,20.2049343414246,70.9963744086307,11.1111111111111,0.4,,24.8500263836871,
Arab World,ARB,90.35106693964651,55.10541670226544,9.0,40.87678873193376,14473.336384684011,,37289.0868595392,4.81838081736047,13100530.0,719094205395.0,779497261966.0,6.229434928704247,-994068.0,34.113694053284846,61.90624438267317,18.88402121281993,4.358161798161798,22637.17613745095,58.68089416015952,22.974554132613964
Argentina,ARG,100.0,38.33676089973865,14.0,53.899,23385.07409049166,74.2949,34868.77041211704,26.00637928190794,2736690.0,57560313404.0,66285596999.99999,0.8477548112594401,4931.0,24.5791315086803,64.1137437299744,38.1322957198444,10.4,26598.02304227788,91.6776028433824,21.505941986483013
Armenia,ARM,99.7,30.056329685611267,12.0,50.581,12066.004309381942,64.7449,14723.55959592144,2.1506418984861284,28470.0,2219407452.0,4069457669.0,3.84973057654684,-14180.0,20.4716971584721,68.1111272919884,18.0952380952381,12.6,9329.011297190556,64.7124948593667,41.953387777937
Aruba,ABW,100.0,27.54223052423636,13.0,,37524.91492035574,97.17,,0.1476494803457058,180.0,88109199.0,1185827853.0,,434.0,18.8483928478537,68.4348414128373,,6.8,,62.7768488886109,
Australia,AUS,100.0,28.64672373479272,11.0,61.599,48564.82865923721,86.545,134361.75044301056,3.6462335800608656,7692020.0,223390432929.0,214829216756.0,2.00509517581937,255023.0,18.8412690393086,65.7711179415292,28.6666666666667,9.9,101502.14483417552,87.12809266445,9.982970452866246
Austria,AUT,100.0,21.523678016249185,13.0,57.292,53869.8321183556,87.9356,96032.60562900652,0.9753179067323714,82520.0,167892178390.0,175753166402.0,0.761540652203723,45478.0,14.4153434951617,66.974326831199,34.4262295081967,34.0,79721.08929953119,67.9051196052802,9.384955968615142
Azerbaijan,AZE,100.0,34.19123615918951,9.0,61.787,14315.92964310605,79.0,32690.734709764176,16.22620454917096,82662.0,15318306400.0,8782566300.00001,3.75630173249661,-11324.0,23.9150145766526,69.9448498293551,16.8,1.9,9640.79963586848,56.4331887124691,55.12006150795639
"Bahamas, The",BHS,100.0,29.84964808882877,12.0,66.891,34282.17103577908,80.6,49073.29960070458,1.34713279397873,10010.0,463179169.0,3386528031.0,,1002.0,20.5708285849649,68.9149391141785,12.8205128205128,1.1,52021.33731945018,82.0814018736052,13.743673784161562
