Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
Afghanistan,AFG,93.4,85.35563707746519,9.0,40.466,2432.276700833362,16.8,3213.5147413414693,2.0713485778348684,652230.0,875181037.0,7306793893.0,1.00674585570556,-36753.0,44.9596071789272,52.6732723441847,,18.3,3471.6931875340997,24.9991645191406,82.31332217699
Africa Eastern and Southern,AFE,43.03507335078354,76.37648810007707,7.0,62.63081747641567,3723.21642264024,19.6,10618.842184748182,4.321758677700785,14845117.114,201836929566.0,239301090673.0,1.1259566566299657,327087.0,41.95467583028571,54.93140182150229,28.771570134973533,61.5875298317964,6784.098913108249,35.71471846472501,70.62615158009308
Africa Western and Central,AFW,51.33582935175343,81.04954957484765,9.0,69.03507863354803,5179.359990076903,25.7,7822.01971937644,2.1503389329898184,9045780.0,145353788175.0,134129420851.0,0.8378458206640073,-178068.0,43.467069481854736,53.63024262693764,15.318471337579613,75.47657773689052,5786.610119741979,49.31794759869214,71.38186060078563
Albania,ALB,100.0,26.379308213767636,9.0,52.0,14182.116389235238,65.4,14276.333878605528,1.4532872250901503,27400.0,3099145302.0,6405061311.0,1.16054478505068,-15032.0,18.0052663384505,68.2552118334715,27.8571428571429,37.8,11811.297894136993,56.377000259892,52.1865088304747
Algeria,DZA,99.6,47.3775623398549,10.0,37.16,13727.126635785886,49.0385,19950.167361086253,6.164678363891625,2381741.0,39904750613.0,45152471012.0,4.92992700311609,-27146.0,30.3410419495008,64.0409495016296,25.7575757575758,0.2,16346.885706986865,71.905249845153,26.99086507157764
American Samoa,ASM,,48.24471869103956,,,,,,1.6953610712577785,200.0,65739411.00000001,140459379.0,,-1256.0,30.6402663602345,63.509040729937,,0.3,,83.4779973316097,
Andorra,AND,100.0,19.669838231775767,10.0,,55244.65540881773,,,1.0124784800529767,470.0,,,,1143.0,14.2199515712727,72.2938452941646,32.1428571428571,17.6,,88.5080998493791,
Angola,AGO,45.3,86.73475644526962,10.0,62.812,8278.368861704694,29.0,47872.02216504426,25.19415615278855,1246700.0,40105134731.0,13827287789.0,1.95578680987962,61632.0,45.1972407715653,52.10972051613,30.4545454545455,52.5,11348.495720260353,65.8732136723372,65.26018894209066
Antigua and Barbuda,ATG,100.0,27.840698106201263,11.0,,24524.21379538871,72.9637,,1.444218420843086,440.0,134700870.0,568497028.0,,0.0,19.7902690099641,71.0825286496711,11.1111111111111,0.7,,24.7781432093764,
Arab World,ARB,88.68984064722672,55.017167778167874,9.0,40.58935849440754,15558.130796624464,,37799.78759823865,6.866192176440542,13100528.0,881603376804.6877,799074823228.0001,5.736894461107252,-591361.0,34.04233774759411,61.87584545071799,19.060773480663,4.504258234263508,22565.0626371271,58.78470253240785,22.47859882219213
