Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
Malta,MLT,100.0,19.61544065665424,11.0,62.047,66568.59947529003,92.0727,34434.368769644345,5.1660571012007495,320.0,3267925518.0,8268109175.00001,0.504866253628109,6591.0,13.1518361740932,67.0481240477638,27.8481012658228,61839.64541807919,95.6272277147965,10.261356435023014
Marshall Islands,MHL,100.0,56.97674418604651,13.0,,7548.732537479442,65.7177,,7.321765330566237,180.0,952796379.0,19524005836.0,,-1832.0,34.705230896026,60.9125093362866,12.1212121212121,,78.3593928884282,
Mauritania,MRT,50.3,80.06924268315768,9.0,36.682,6965.909535747145,37.3809,9298.287248129172,3.805946280538024,1030700.0,4065188655.0,4815452684.0,2.26048047574852,2999.0,43.0360811569433,53.7485902025937,23.2954545454545,7457.733087743405,59.7142464747058,53.84017281087332
Mauritius,MUS,100.0,21.025067801969264,12.0,55.709,29560.713723007877,79.5,20135.796813497484,6.134430012889709,1997.0,1628632447.0,4510604100.0,0.14048907662346,-2824.0,15.1242395499958,71.9341733747491,20.0,21845.17258005941,39.0039901092226,15.571736964463591
Mexico,MEX,99.7,37.13813286244049,14.0,60.036,25243.1644887582,81.1832,26692.31079122986,4.653854061682949,1943950.0,591688088000.0,633525701360.0,0.660371879752505,-101044.0,24.9179721383635,67.0953820717364,50.0,22347.685663344026,79.4734935748046,26.11017922836554
"Micronesia, Fed. Sts.",FSM,86.9,51.704577927644735,8.0,,4233.744925587685,,,5.654707231095074,700.0,234596918.0,516777319.00000006,,-1134.0,32.1293965666494,62.139473765987,14.2857142857143,,22.4334012451903,
"Middle East, North Africa, Afghanistan & Pakistan",MEA,96.42263674352742,52.00601394013672,9.5,43.79852540964192,15802.319654630144,59.5,24740.508829854745,2.2956895184416624,,1204932563183.0,1267583707621.3977,4.684174643080479,395727.0,32.52432782831386,62.5395511487388,17.131764134918704,21381.48461083868,55.4304551226559,36.38996099660727
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,96.05749468370914,54.31021562743452,9.0,41.212300428624886,10905.747298367214,55.7,12936.219849226549,4.987671160743311,,360429303837.0,447006815802.0,2.957105595736646,-487852.0,33.42834286706639,61.55074573430171,16.986536808937263,13050.73826476745,52.17767092186434,42.48172768444347
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,96.0854287468734,54.39041667580981,9.0,41.21230042862488,10869.502634170392,55.9,12936.21984922655,2.9236621312166875,,361950691771.0,453689256104.3975,2.9571055957366466,-512848.0,33.46335790115239,61.5243637633391,16.98653680893726,13050.738264767451,52.42339126542931,42.48172768444347
Middle income,MIC,95.15810544271709,38.02475050349912,10.0,57.87340211904611,16203.868213035012,,17882.75599512074,5.694307138369581,,7675146807466.0,7299234189374.397,1.7851619713242703,-4971038.0,25.173762952951293,66.2036241065993,25.4187664986801,16921.74024866382,54.59227815524521,48.82514584895992
