Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
Afghanistan,AFG,33.5,104.143637375572,6.0,42.893,1121.834470777486,2.10712,3349.1403566303256,7.199751292923878,652230.0,519370514.0,3471877256.0,1.89623399634252,57673.0,49.8559368554896,47.872283121037,27.3092369477912,31.9,2604.1555707614702,20.1104530189181,93.1873845507324
Africa Eastern and Southern,AFE,25.17248231059686,83.40142355933119,7.0,66.42393089263305,2835.8450154753,1.9,9273.103419384726,7.652254305265288,12344228.231,121119374192.0,138929210346.0,1.7170778307007764,-581942.0,44.12452826959928,52.90620547123908,19.772545889864325,62.73812357372464,6837.374285705253,30.987649554483625,71.81184695816536
Africa Western and Central,AFW,39.95290448230274,84.10914052671605,9.0,72.13420549387979,3569.2352401566422,3.4,9958.24454515502,5.134103739937643,9045780.0,128370142502.0,71968878443.0,0.64036899032441,-213837.0,44.32684549990515,52.70158055636168,11.184439041333803,81.87330983321934,4607.984999921681,42.43992588117844,75.52074659140143
Albania,ALB,99.4,38.14686751792642,8.0,46.704,6374.632359164227,9.60999,13094.318460318034,2.68476832531357,27400.0,748459492.0,3004673375.0,1.56776908873068,-48882.0,25.0285784899314,65.6110994839565,7.14285714285714,31.6,9193.83612845882,47.0701050949378,54.741597604276905
Algeria,DZA,98.7,42.565035891056255,10.0,37.94,12791.3412605973,7.37598,24257.997607978563,10.78118375017216,2381740.0,55154833243.0,21354752560.0,2.51370691443586,-44138.0,28.4196478499297,66.7675866401321,6.16966580976864,0.4,12338.450361969048,64.4154348614309,28.925076346436192
American Samoa,ASM,,61.39029473057458,,,,,,2.813675213675211,200.0,77451204.0,115803878.0,,-1460.0,36.5785949321058,59.5836770170911,,0.0,,87.4983609900321,
Andorra,AND,100.0,20.43387224110116,10.0,,46852.65839023837,48.9368,,3.457184086703961,470.0,,,,2293.0,14.9600115598947,73.2118287879073,28.5714285714286,17.6,,89.3789218918348,
Angola,AGO,30.5,86.62333624378118,4.0,64.804,6017.818162525102,1.5,40145.95832436968,16.81441774097175,1246700.0,31758354815.0,10595810861.0,3.76149530543532,95431.0,45.1406198234859,52.1113870058968,15.0,62.6,6506.729921778279,56.8939032662772,78.9800674798274
Antigua and Barbuda,ATG,100.0,37.630674824082746,11.0,,26949.408582134576,30.0,,1.1176722310191565,440.0,88470331.0,515237045.0,,315.0,25.4106495955536,67.5264254875689,10.5263157894737,0.0,,28.43525787418,
Arab World,ARB,85.28439371649415,59.433772923453205,9.0,41.80339172614958,13018.857119673166,,40076.90750440435,9.096506323806436,11235311.0,661273324666.0,334998156202.0,4.3034435810818605,705074.0,35.92527843416567,60.44589796614571,9.34959349593497,6.195647096391588,17943.05679463327,54.311602357225325,26.054359562182285
Argentina,ARG,97.0,42.129669654130886,13.0,55.567,14843.577865964187,20.9272,34880.09571002011,13.741052485915231,2736690.0,45590378724.0,32539971571.0,0.7882338774614689,-20109.0,26.6642896271438,63.2909967072682,35.0194552529183,9.2,22595.45212868573,90.3033726521064,20.257305104166733
Armenia,ARM,99.1,29.92809428782896,10.0,54.305,6072.759244798545,5.63179,12790.985686918864,4.618012508188272,28470.0,981266243.0,2190319224.0,2.94761315625864,-29921.0,20.4306513860961,68.2658072878436,5.34351145038168,7.7,6362.50337858832,64.4758978663344,46.9942614799422
Aruba,ABW,100.0,30.78160457300434,,,35937.594655646986,28.0,,3.484346195436132,180.0,99714179.0,1006771370.0,,634.0,21.560395209267,70.0432423932699,,0.2,,64.811270283981,
Australia,AUS,100.0,29.057926929217377,11.0,61.747,34890.22481366933,66.0,109018.22404582342,5.111663917274044,7682300.0,120031910718.0,139669977283.0,1.8177309027711,191985.0,19.5900966168501,67.4173909650197,24.6666666666667,6.8,93461.53808681878,85.7492544263523,11.56781143998622
