Country Name,Country Code,"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
Portugal,PRT,20.42738619857702,,54.644,51679.888380752695,88.487,37419.20291198851,4.81307693087598,1.53226822745255,20648.0,12.8014201999608,62.6679299405748,32.6086956521739,43018.403082884186,61.3281907341332,9.781462126275269
Post-demographic dividend,PST,23.43341315297622,10.5,58.073705553841485,68078.19461755232,,,3.272964323276604,2.6563078823812005,4106171.0,14.992068798122196,63.97731573726904,33.84649709950914,,81.15485534014068,8.082780478742768
Pre-demographic dividend,PRE,76.09464309267024,,66.6200880194336,5268.749248919467,,7678.893146780667,5.425726572553401,1.4662417362693598,-837885.0,41.95355082044281,55.13338205524184,25.20908004778973,5573.984062515533,45.44125104166479,72.36032733704883
Puerto Rico (US),PRI,18.268969515179634,,40.212,50247.84924616758,,,3.097613680066516,,11561.0,11.6286791330835,63.6526418448685,,,94.2539505199436,10.342968983938654
Qatar,QAT,18.10224715086992,,87.106,126046.35485561156,,118874.55628729424,-1.4717562199610086,,46105.0,15.070743135057,83.2534395653097,4.44444444444444,71101.62663480121,99.3219891728394,0.4515374355263255
Romania,ROU,24.440085227836228,,48.683,49558.66891201365,91.2905,21236.23346329519,9.58453804755844,2.29815245791591,-28466.0,15.7157647653274,64.3032364614878,19.2073170731707,31781.514094455342,52.1674778928768,13.24776098666413
Russian Federation,RUS,26.361365329589493,,60.322,47404.96484375,94.365,26444.478555479607,9.275671040206008,7.05233864500366,-178042.0,17.2783413289713,65.5441832951973,16.4444444444444,18932.498773064148,75.1119136177067,5.0115954043712
Rwanda,RWA,63.632777439087405,6.0,56.323,3710.860404345957,,3096.273758758131,3.76207995661197,1.24772078121775,-15582.0,37.3607979172264,58.7131340494922,63.75,3638.866824972584,29.8849714294083,39.83798544473488
Samoa,WSM,69.11190228947238,8.0,40.992,8736.816067725382,,12256.928667955322,8.425031428295341,,-2754.0,38.4642199436289,55.6548840814698,12.962962962963,25017.73023848702,17.5029115108018,41.86744249477222
San Marino,SMR,18.76295161726281,10.0,,,,,,,37.0,12.2569310026503,65.3330752508859,35.0,,97.1560555881096,
Sao Tome and Principe,STP,64.91730418943533,6.0,21.272,6241.856144646377,,5188.239507828894,17.70034826353495,,-604.0,37.8283196022697,58.2714356373641,14.5454545454545,11363.192512437445,68.8710170184884,35.07752560110425
Saudi Arabia,SAU,32.52546033944746,,62.907,71375.37278902852,100.0,90171.29479843384,-0.2501429991577595,7.2981029390103,122170.0,23.818581981118,73.2305753804171,19.8675496688742,40225.03237124004,84.4554020211443,1.697971085370718
Senegal,SEN,65.60553923064506,,50.404,5070.6486207417975,,5476.92166721941,0.7347742589109743,1.5664776818140502,-10307.0,38.1823663294065,58.1999109338785,41.2121212121212,5156.30667607825,55.2368169057304,63.32880369734861
Serbia,SRB,22.71487415996393,,54.879,32781.01424120315,87.6907,17095.66955562377,6.349945712819661,2.59513983105714,-8132.0,14.3110315939988,63.0029307254993,38.0,18819.050233900103,62.3830029804177,24.11058384390421
Seychelles,SYC,27.900437888914496,11.0,,33238.58003437535,,,-0.7447800091296131,1.17906851761683,1747.0,19.9511572361283,71.5097934725518,20.5882352941176,,45.2898622460415,
Sierra Leone,SLE,64.92187313553384,,51.922,3522.305880091194,,5848.221762738128,10.4508135043001,0.462539633893509,-11000.0,38.0887344368752,58.6685697705601,29.5302013422819,3687.810509809901,45.3626823156371,86.27416394948598
Singapore,SGP,15.65300103661524,6.0,67.308,150689.30162582558,94.3776,204853.6311357703,3.2418707684728645,2.8417655746547,20011.0,11.686158685972,74.6576230281015,29.2929292929293,92150.55087412278,100.0,9.426427398293924
Sint Maarten (Dutch part),SXM,21.340055293543667,,,53768.6573945662,,,3.4951456310677003,,558.0,15.1359269212581,70.9219040149479,,,100.0,
Slovak Republic,SVK,23.989136460928453,,57.576,48132.35643054295,89.8251,29177.560949768897,3.3936971912854546,2.01078152849676,-21027.0,15.7612022097569,65.7013984358678,22.6666666666667,41047.881980910366,53.1919702985684,11.835443654098636
