Country Name,Country Code,"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
Australia,AUS,27.692635009623967,11.0,64.089,72111.1844628126,,122713.2853740184,2.588384303843256,1.8837883329175,138510.0,17.8418482544494,64.4281358227139,38.0,106830.77672957396,87.6021469990446,9.18719099926964
Austria,AUT,21.833617655708927,13.0,57.361,73911.43966313597,94.9197,92786.82626037512,4.086812397929165,0.9998431770366408,8813.0,14.2280024817963,65.1655943390134,36.0655737704918,82123.79556161053,69.4658181096788,7.86642899435777
Azerbaijan,AZE,31.32388279196723,9.0,60.292,25088.999375713367,,29512.63439151105,-1.4081721182620726,4.99292395978321,10864.0,21.8116344602457,69.6325984108376,20.8,12274.892211269442,58.573795837717,54.0332907843918
"Bahamas, The",BHS,25.476345747621814,,67.303,41197.93425484768,,38011.072320225234,0.2884213769013115,,1018.0,17.9127947109646,70.3113513405751,17.9487179487179,56014.256897078885,81.3249262966481,15.960143620092364
Bahrain,BHR,24.172570634214157,,69.804,66941.24303679893,100.0,45592.46943682381,-0.6019175260854439,2.8946654057963,22699.0,18.7167655487684,77.4298348805279,20.0,42756.45278931299,100.0,0.856857713145138
Bangladesh,BGD,42.72296960699116,5.0,56.762,9646.769843832548,,8594.223649719095,6.882854606058018,0.941321120606305,-473362.0,27.9889305379593,65.5126064657658,,6579.757405251364,32.6783196323307,57.73824919233049
Barbados,BRB,26.040948149098742,,60.786,24822.534330990835,,33270.868854176464,1.2900959804391618,,-70.0,17.2412755449742,66.2085018630462,26.6666666666667,39573.2006579259,59.5397032429174,19.06035356378784
Belarus,BLR,24.679223896099412,11.0,61.069,33010.330760535726,94.2618,14949.908290840513,8.767871319550352,2.07364910790144,-3119.0,16.2972291440499,66.0362068021274,33.6363636363636,10542.188938620628,79.1551015210848,6.48684109059199
Belgium,BEL,25.212270041065743,,51.429,73514.48310452583,95.7758,94459.74724647896,1.880236214566807,1.2770531266155,36243.0,15.9961268493057,63.4457922250499,41.3333333333333,93919.04970211627,87.6126557010527,11.14204046445428
Belize,BLZ,38.85854705049287,,51.905,14346.518804973712,,15775.299136869153,1.402005367968215,0.8988858691517421,490.0,26.5784164106154,68.3977447511997,15.625,15208.869819512616,41.7532107338224,29.99716883198588
Benin,BEN,75.10025139547169,,75.022,4434.564218402803,,2829.350443004482,1.571050144616848,0.720549619940377,-7725.0,41.5524903883943,55.3293625737447,26.605504587156,3530.728165647376,52.5455354818423,78.92230774834731
Bermuda,BMU,21.04721564122813,,,124252.83570258624,,,1.561434177550126,,-5.0,13.6068629953664,64.6492306978255,,,100.0,
Bhutan,BTN,28.802265157026056,,62.77,,,,,,-277.0,20.9093969927652,72.5963630942567,4.25531914893617,,42.5645249803412,69.4010973350435
Bolivia,BOL,46.12925348208806,14.0,75.766,12877.635118437232,,6564.312863633594,6.046283854100352,1.37066364312669,-3000.0,29.7865638630777,64.5719616395781,46.1538461538462,5099.68106910155,71.2361453773988,62.9291042346411
Bosnia and Herzegovina,BIH,20.14125977709135,9.0,43.977,23345.496800010747,86.1009,11756.513839821451,4.133675020280947,0.747079920408854,-4497.0,13.0378165083513,64.7319446327459,19.047619047619,19229.85569741345,52.1224302754935,18.4396981436429
Botswana,BWA,50.33274179236912,,52.243,20538.13201788891,,36646.88029941081,2.7811749417304696,2.83392800595041,-5778.0,32.1296445773121,63.8344613287883,8.69565217391304,19645.816579379385,67.4623537838418,25.66789047066115
Brazil,BRA,28.38269124987633,,59.031,22338.476564063538,84.4635,17610.456521236956,4.079674484396207,0.972774559040702,-225510.0,19.6651396335929,69.285675877437,17.5438596491228,17774.384651851862,87.8958549533146,26.328546303574317
British Virgin Islands,VGB,19.09722222222222,12.0,,,,,,,212.0,14.4916520990094,75.8848268348914,,,56.5072068980827,
Brunei Darussalam,BRN,28.80126965529815,9.0,61.167,89879.36149807577,,172213.3001587378,-2.842705851482336,3.57781609529419,0.0,20.825269627627,72.3068843786165,11.7647058823529,33833.04669675021,74.8983133873697,4.581174612099551
Bulgaria,BGR,22.79615148485584,,53.911,42224.4445359517,82.439,14776.246318455616,7.204237035781588,2.14947328244853,524.0,14.4744612007493,63.4952025385603,20.8333333333333,21210.216449848584,73.9499356882481,7.068307145621821
Burkina Faso,BFA,75.25632330929211,,67.651,2895.891520336648,,2651.551230983664,9.669764871581805,4.67973196943363,-25807.0,41.8020300074131,55.5461979114758,18.3098591549296,2910.014907106223,28.3352514896662,80.79520741697159
Burundi,BDI,84.70626546793044,,77.774,1194.9468137038734,,2930.9632272616936,19.2989927557264,3.8012791969984097,-27074.0,44.698901307295,52.769294036797,38.2113821138211,2598.1841694273294,24.8302838651025,83.7288396480612
Cabo Verde,CPV,37.79496488043564,,50.256,11195.12053129234,,5252.846468305117,1.5860736504867106,0.6239034075928309,-1209.0,25.5473187051443,67.5945030931056,38.8888888888889,12077.831796245848,76.7721471004354,34.67519374318966
Cambodia,KHM,46.52042713618551,,82.165,7966.8735242870525,,5829.328707043092,2.353762097354433,1.52066451977199,-32960.0,29.7931455146284,64.0431502130771,13.6,3670.637637075462,40.8727033252729,52.59352632917117
Cameroon,CMR,74.31853640820908,6.0,63.168,5588.986458619447,,6759.927669808343,5.425726572553401,1.00912763032385,-13892.0,41.4422273702555,55.7629739459833,33.8888888888889,4743.454136246784,55.4031748609078,67.84994412746106
Canada,CAN,23.216366759514724,,60.627,64610.37951719712,,102529.75777472268,3.1187652257043084,1.31303419578919,368599.0,15.1113205709867,65.0890886641808,30.6547619047619,75152.09986383142,82.7002565766633,9.622714615484842
Caribbean small states,CSS,32.13300884253614,7.0,55.17129508109825,38624.06054416978,,80094.85385698508,1.380423894421213,,-4935.0,21.860050355387525,68.02983663006043,27.319587628865985,30076.49327547918,50.099942573862094,21.638638436266618
Cayman Islands,CYM,21.63719594291356,,,,,,,,896.0,16.1877581170466,74.814491488433,,,100.0,
Central African Republic,CAF,100.3230271379665,,68.83,1263.1023421369896,,2012.7543458601403,6.039408866559739,2.51969119903231,-15357.0,49.0033606346796,48.8455667883113,11.4285714285714,1844.0163726686485,44.1243555638904,79.5008802148857
Central Europe and the Baltics,CEB,23.29349513877061,,55.35796812357394,50599.211687955554,,29266.86530030125,3.906664299691613,2.916016576786835,-366194.0,15.019129603974594,64.47778046246556,25.462962962962944,34080.75017176322,61.79767124969743,12.449167346066345
Chad,TCD,88.86808489284897,,58.968,2742.65952183613,,9002.484026141969,2.0994316485052598,2.98484990097129,204040.0,46.0646280137324,51.8348354261413,26.1083743842365,3818.169518352466,26.9315292389497,90.175386856805
Channel Islands,CHI,21.5980826625667,,53.307,,,,,,747.0,14.2039726275907,65.7660497663948,,,32.7056211227456,4.2287575249185805
Chile,CHL,24.624774557780768,,56.864,36181.15661697702,,34703.47172103913,7.714959658790363,1.5778038862548498,58316.0,16.9661637626319,68.8987499804893,35.4838709677419,26813.80617622196,88.9950908479196,21.055607115161266
China,CHN,23.09032711854201,9.0,61.931,27104.8702677463,92.0,30069.753920130264,-0.7072000097955851,1.71129740345228,-318992.0,16.0078123326803,69.3269188307508,26.5367819952973,30133.481336706503,65.8946980998325,33.80466379805165
Colombia,COL,28.981088439305687,,57.418,22349.436440122998,,16597.770811044542,5.997834172213558,3.3590336830383603,141643.0,20.2721132452225,69.9494511472697,29.4117647058824,13993.429581267632,78.5210811866115,43.09968468659361
Comoros,COM,63.55701489234757,,53.275,3958.532287896874,,2468.672854581285,4.987394896946356,,-2051.0,37.1214061858144,58.406432748538,16.6666666666667,4206.709795198885,33.5392215673301,56.9629976645333
"Congo, Dem. Rep.",COD,90.45324829983134,,61.564,1821.048687180576,,10801.293793196835,10.568841532485322,1.22855267131451,-26968.0,46.0329708653246,50.8914513636216,12.9979035639413,1926.7257552617937,44.7455804408753,81.7794298733388
"Congo, Rep.",COG,71.49864283505114,,54.349,7026.36223281494,,11846.775353108636,-0.0134846390601666,1.18596121569308,-2491.0,40.4457962081244,56.5686098493264,14.5695364238411,5020.410088054494,63.8866111699904,76.0224141017992
Costa Rica,CRI,27.254976493513283,,53.686,31106.764355672854,,38312.080690162,0.0471064467883763,,967.0,18.7992771803014,68.9755668228098,49.1228070175439,32817.63503124848,79.3107672397967,23.59858051499258
Cote d'Ivoire,CIV,72.31351198135843,,65.583,7669.231957156869,,10506.10674087934,1.679103098135613,0.762358993041457,7838.0,40.8713596664144,56.5196718380246,13.3858267716535,7904.310491043454,53.9733113940142,69.7788944609996
Croatia,HRV,22.139330389916985,8.0,49.739,49645.74568544133,83.6324,31874.31620592206,4.486350810410727,1.7932342450981398,-5186.0,13.9232064407501,62.8890222110404,33.112582781457,36175.90652610768,57.5158981711443,6.682136388703891
Cuba,CUB,22.445882342247835,,51.711,,,18039.147940914736,32.218858869822355,,-22356.0,15.2939497984614,68.1369704665384,55.7446808510638,19918.131638229355,77.1664929228275,19.3809756587455
Curacao,CUW,21.85991925640785,14.0,,32693.293976489305,,,3.3311884439825405,,513.0,14.927903861032,68.2903685812332,,,91.4321812441765,
Cyprus,CYP,23.18824107995458,,63.897,62312.07421875,,28399.956574128497,3.121998964420498,1.64735214954921,8138.0,16.0721779424302,69.3116377895017,14.2857142857143,40773.93164713327,66.6824259192483,8.069779478287616
Czechia,CZE,24.149840480477238,,59.048,57285.42370013792,87.6878,34288.742112633125,3.906664299691613,1.91680849222604,-86169.0,15.397296108304,63.7573202107069,26.0,38388.28308077413,72.7947984592185,13.630070769118875
Denmark,DNK,24.743060883407967,,61.56,81878.23498491813,99.7692,156865.042305006,1.4554551393303683,2.4161745416059097,25639.0,15.6963833177301,63.4375462156532,45.2513966480447,92033.35575336852,88.6960552688405,5.563130976120343
Djibouti,DJI,44.21103003061808,,23.509,7810.278690667918,,46863.35823792845,-0.4419427097497816,,-11.0,29.1700678176675,65.9791207832145,26.1538461538462,16264.412098860696,72.9052635052978,30.358867901259924
Dominica,DMA,25.83962964580513,12.0,,21300.684869808894,,,2.383377522555349,,-200.0,17.8732724114493,69.1707574956574,37.5,,73.5449839980866,
Dominican Republic,DOM,40.552161696485975,,61.214,27541.662528338416,91.0022,27940.88996931276,4.271675389843438,0.782420068931067,-34806.0,26.5786510625149,65.541873910583,36.8421052631579,17164.06091223824,72.4121874752151,38.14688913970985
Early-demographic dividend,EAR,41.33334615997193,,53.84940238576366,13995.405557695189,,12358.313079262787,4.785726151241185,2.3770064972305214,-2919860.0,27.30773355067429,66.0670767785972,25.14642717688403,12814.076614495296,47.34444446570619,56.30177096669379
East Asia & Pacific,EAS,26.443564962187605,9.0,62.91327100711249,27285.21123499933,86.6,28949.0691000295,3.1576929066861794,1.6961876036299288,-117023.0,18.059557595536404,68.29471571666244,23.015672396359964,27407.293275610835,64.37440311723381,35.56977606334131
East Asia & Pacific (IDA & IBRD countries),TEA,27.21979525887635,9.0,62.85596032930541,23509.7241651154,86.8,25791.335690087173,4.170276350542011,1.6275882832155637,-474156.0,18.737441998217303,68.83755677858879,23.47208457218369,23364.86891216468,61.58476790186864,38.30903679777971
East Asia & Pacific (excluding high income),EAP,27.22430375876076,9.0,63.058422482904135,23248.02517943682,86.1,25791.335690087177,4.1595862115790965,1.6275882832155637,-476494.0,18.739934614641356,68.8353128177724,22.904861318222498,23364.86891216468,61.61255379308012,38.59658574749878
Ecuador,ECU,36.39254852828026,15.0,62.311,15840.266856741184,77.1727,18769.13349952912,5.014613192443491,2.22194770434425,-19704.0,24.4558490395414,67.200152298168,43.0656934306569,15174.607902607057,63.2376932397602,50.1616765821744
"Egypt, Arab Rep.",EGY,50.87476357386307,,41.556,19094.14494441113,,15122.294176942589,33.69150421718916,0.665263620234986,123884.0,31.9946550599489,62.8890495466693,27.7027027027027,15091.541733541451,42.8004363938404,24.07773225213473
El Salvador,SLV,36.99907141098935,,59.899,13264.027090968028,,10073.595867340093,1.8141264032595077,1.18611916982816,-23102.0,24.8061237642969,67.0452603762618,31.6666666666667,9826.059210606732,75.0674905102199,31.1743630629028
Equatorial Guinea,GNQ,63.16712455319138,,55.856,17566.760028407287,,64915.17688923952,2.5026830705703134,0.982185856511218,3891.0,37.2854609193632,59.0266452102267,32.0,24503.8196289313,71.3574028749806,22.847726072856137
Eritrea,ERI,66.1410857177334,,73.679,,,,,,-12696.0,38.1370165145804,57.6601077666243,,,34.5365524291992,48.0970030474014
Estonia,EST,24.79594855037968,,60.475,49968.7108278373,92.238,28257.943202078277,3.989843894780634,3.3740022182460097,-7742.0,15.6376190147191,63.065048884786,29.7029702970297,36448.14774274426,70.6981161541961,7.09812469476047
Eswatini,SWZ,53.46130233805898,,33.464,11799.202879320084,,24349.626208638565,1.355020241241874,1.4440675502379,-6754.0,33.3522553319202,62.3857891096992,21.6216216216216,15136.474658030113,26.2498461258639,28.59353861139674
Ethiopia,ETH,67.6829814187754,,66.168,3287.534921588928,,8096.79832502962,25.538781789877845,0.650506448320295,30069.0,39.059915806682,57.7100997092093,41.3135593220339,2860.2108194093084,23.6222839355469,84.4685847333756
Euro area,EMU,22.35419538077753,,53.64512144177823,66098.01088642754,,75126.98202910672,3.3470330167760807,1.7439748076703756,454808.0,14.170524969498382,63.39089519206193,33.98812243033348,75902.14875115924,77.40225828665335,9.461809528878446
Europe & Central Asia,ECS,26.97808219747079,,55.44061241807636,52469.95706164165,90.9,54854.47874195472,3.867805979797467,2.5134106964004586,1256850.0,17.3943604133947,64.4758970124395,31.45025295109612,56665.38933336423,73.9701976866534,12.95565336419956
Europe & Central Asia (IDA & IBRD countries),TEC,30.61306831729612,9.5,55.74682007682135,38154.32916146779,88.9,26930.474346027822,6.349945712819661,5.188290938947423,289192.0,20.05999778834777,65.52756349681702,25.547945205479447,23647.620245879098,69.06970127056694,16.811200836081408
Europe & Central Asia (excluding high income),ECA,34.9560739294348,10.0,52.98353976684095,29316.460381090437,85.8,26910.86832158849,5.604309785199661,4.602917125072709,738424.0,22.99198552360369,65.77393427527052,27.117411850236287,24968.41447590008,68.27318867123073,28.08521561947812
European Union,EUU,22.67067080499022,,54.1666531834164,63610.22739298573,,65935.52363197094,3.3936971912854546,1.9009488810633524,194612.0,14.412810429926042,63.57469690578024,32.55960840044212,69784.75000939149,75.03000999641988,10.004438676410984
Faroe Islands,FRO,32.051432597463595,,,81908.77817850176,,,1.995485477610586,,488.0,19.9658841686297,62.2965911244686,,,39.4132325882965,
Fiji,FJI,40.79099232285507,,54.152,15450.299326538776,,15542.243483107435,6.107273570704933,1.3128793789726,-3278.0,27.0932746472807,66.4197488328826,9.09090909090909,15772.734299719628,59.0766602292457,33.1103450908952
Finland,FIN,23.80557041524535,12.0,54.826,65378.38418597206,,100331.9609072412,0.7224825565549224,2.29979173712597,26894.0,14.6331861128204,61.4695769443402,46.0,81654.29021556568,74.2637190463636,9.459328902355438
Fragile and conflict affected situations,FCS,68.25459418847592,,61.004619002330415,6394.565913309452,37.0,7930.722271750122,7.588406328945048,6.511746167547594,820786.0,38.9250823901979,57.029248351949946,21.64061127700685,5244.391357132586,46.15382529850637,70.55216745545562
France,FRA,26.90395035962781,,51.544,62556.91810454,88.6538,74576.18013645685,2.087599652151482,2.05257687860637,90527.0,16.5051210259256,61.3483170751607,36.0485268630849,86038.65339033093,78.7999750964116,8.573925838358555
French Polynesia,PYF,27.454530617241137,,46.667,,,,1.8496026986019984,,-1261.0,19.1014046872588,69.5745130080392,,,61.7191984724331,14.96555159740951
Gabon,GAB,61.38777831014869,,41.005,21510.17253073436,,64391.45535415446,4.197913001464698,1.538206793748,1105.0,36.4845488383689,59.4328997619687,25.5102040816327,18749.809844367875,91.8632094677575,29.8676002449887
"Gambia, The",GMB,71.01699347073787,9.0,44.428,3475.612457013406,,3089.4286713654897,5.796893629072514,0.574440350261863,-2989.0,40.247990253579,56.6737711674419,,2714.816167667165,64.2994103409645,63.88476404690678
Georgia,GEO,32.72120328121213,9.0,56.908,28285.073280298224,,16641.334512036574,4.85867385757966,1.86402941794564,1745.0,20.7987693261233,63.5635441096524,22.6666666666667,21366.5253609181,61.0789605093733,42.9161269571572
Germany,DEU,22.116743198853577,,58.849,73551.9347696836,93.5,76867.27950142421,3.1102774214086963,1.89190377205494,36954.0,13.9101604189277,62.8942524078782,35.3260869565217,78563.61065117116,82.0211432579125,4.37006779408582
Ghana,GHA,59.22942821564905,,57.391,8019.99702389611,,9915.211088895028,24.696358717212405,0.383994182354107,-13114.0,35.8181308043952,60.4735365902524,14.5454545454545,5173.895410149723,58.3654868038581,60.34890109261849
Gibraltar,GIB,27.26130159852323,13.0,,,,,,,598.0,17.6472831752651,64.7372168120217,,,100.0,
Greece,GRC,21.03633581864941,,47.089,44327.209780827565,86.2697,54350.55212460408,3.20936406384638,3.1279753655014897,-122772.0,13.2194094109899,62.840827158816,23.0,48679.25700947942,78.9967856500534,23.35640471286451
Greenland,GRL,30.42012915176619,,,,,,,,-284.0,20.8033739557124,68.3879690899811,,,88.3195347935238,
Grenada,GRD,28.45582266625039,12.0,,20177.80949273856,,,-1.2571468532322996,,-192.0,19.4411620416782,68.3194334833522,31.25,,36.5628000454229,
Guam,GUM,42.30687111801242,,58.995,,,,,,-504.0,25.9830012457011,61.4148542410462,,,94.1726346571831,11.89020228767983
Guatemala,GTM,49.670232397795374,16.0,58.144,14368.660568181482,,11061.337108523969,3.658723289667705,0.367622067360881,-7725.0,31.5771277741567,63.5735372758947,20.0,14989.553383626526,55.9547027274763,36.374150317586256
Guinea,GIN,73.50542842777297,,50.083,4565.300788845597,,8577.164500355902,6.8144940428277465,2.05370337042453,-12024.0,40.9011571194986,55.6437265726432,29.6296296296296,3374.0091251277145,38.0713036688655,79.4719163463395
Guinea-Bissau,GNB,66.84665936987678,,63.037,3119.371570474374,,3435.8322095672625,0.0751007093149382,,-1712.0,38.7859142926711,58.022229066501,9.80392156862745,3307.5154479637613,46.113204421822,75.16298704815091
Guyana,GUY,45.48918470467223,,48.591,80155.03939276996,,245233.044779778,1.3588424208742111,0.868162254451279,-5407.0,29.1605627091765,64.1045186030576,39.4366197183099,17337.22606065575,26.477717988557,25.81946439869821
Haiti,HTI,48.65155801059292,,54.623,3193.67136419915,,7814.605370584254,24.41722343971871,0.068443100204951,-31747.0,31.1886406665943,64.1061410872761,,3821.71769289384,55.0372652481002,75.9837601216748
Heavily indebted poor countries (HIPC),HPC,74.77437510981497,,64.23099426224992,3611.76258813976,,7667.014318483935,5.796893629072514,1.2825684809931304,-831646.0,41.484615715100695,55.479721643024185,27.272727272727263,3809.609501352735,37.86806789232321,76.57256442113408
High income,HIC,24.21859593683343,,58.57026316145478,67051.67792734163,93.0,69737.55980797907,3.1145213235565024,2.830305144823303,3310292.0,15.676190737467936,64.7279092927914,30.912040374909868,,80.13222521549741,8.142956290384237
Honduras,HND,47.1377788786992,,53.815,7486.018696164448,,7516.098628310865,5.100944747185963,1.57536270602411,-4821.0,30.6212062800353,64.9610715830154,27.34375,8330.22930960826,58.7850728104829,34.13225741327922
"Hong Kong SAR, China",HKG,15.724380079324073,9.0,55.139,75195.9865970615,,42747.16617345012,3.824282848867071,,-19272.0,10.5078221116522,66.8250300290246,,95493.10490828066,100.0,5.844461626213436
Hungary,HUN,22.291283427965368,13.0,57.931,48552.47080925294,93.779,23762.632418339657,7.5722301966088,2.15630980446665,16223.0,14.4013810473594,64.6054217208328,14.572864321608,30633.09730725633,70.491825943218,7.996618716521143
IBRD only,IBD,32.10755283697544,10.0,57.30638055158326,21126.94560765751,79.9,20573.909110047385,4.369681257648608,2.1789144226935475,-791929.0,21.79427410596579,67.87896359372597,25.96627914054416,19863.765613472828,58.32595212265944,43.61771554834862
IDA & IBRD total,IBT,40.410807772415446,,58.02249290221114,16790.149404238873,67.7,18475.94811587617,4.85867385757966,2.1365610451672667,-3646904.0,26.328044333661627,65.15099733875894,25.01115075825156,17049.0824829622,53.36734236959126,49.34918396290711
IDA blend,IDB,66.03036750674426,,62.720060592789245,7631.622851956166,41.2,5126.829233811331,3.0524123553794738,1.4504444591671997,-1548607.0,38.31286595356005,58.02309959075536,20.13239875389407,6666.708109308596,48.695835909961936,61.578694209271305
IDA only,IDX,64.74624179746498,,59.08764705825962,4697.561422031045,33.9,7612.058240865117,5.796893629072514,1.508006426254889,-1306368.0,37.71711981143838,58.2537590015712,24.611104084987986,4473.41728478273,36.41359445801628,70.65096902835931
IDA total,IDA,65.1916138115312,,60.38415776931906,5710.144628610541,36.4,6423.18311158661,5.263335659869682,1.4860843730132272,-2854975.0,37.92427760682671,58.173552195934136,23.513126491646776,5458.010283254984,40.68447744275675,67.28755386692417
Iceland,ISL,26.675240208096167,,72.448,84256.84545731115,,104864.9106486617,6.019729459773757,,3543.0,17.7634212897707,66.5917632509777,46.031746031746,83853.02587236326,94.1819039916522,8.461046164348497
India,IND,36.08977612403174,8.0,53.317,11159.985647609126,,6188.878655588257,3.082273992184952,2.2712033218142,-630830.0,24.6239027058366,68.2295801537644,13.6531365313653,9061.786683641772,35.3788972368389,72.0646133231289
Indonesia,IDN,36.11290033902687,9.0,65.685,16448.275517955855,72.7808,14903.646410299223,0.8916539691441443,0.779216788275608,-38469.0,24.5977969421876,68.1136017534969,21.0344827586207,8214.62503294235,58.7509635387997,50.3095599926267
"Iran, Islamic Rep.",IRN,32.37224099842811,9.0,37.905,19873.88608538052,,20572.31257687569,28.370610515047048,2.01043175751636,190156.0,22.4405719317898,69.3204153919387,4.82758620689655,19667.82258473755,77.0201263427734,39.76320726663643
Iraq,IRQ,60.964582259812914,,35.201,14464.31869281728,,29487.395626756497,4.369681257648608,2.35714058035714,-17735.0,36.5813485791184,60.0042634971558,28.8753799392097,16288.524808348157,69.8861494108913,27.0719908591808
Ireland,IRL,28.306322291432007,,62.218,133437.47011701888,,372554.9005379979,4.536908603986674,0.239096332495524,39059.0,18.5554853052345,65.5524363144366,25.2873563218391,137197.99062937518,64.3470379255585,9.715676473835492
Isle of Man,IMN,22.71174863387978,,,,,,,,177.0,14.2234183494632,62.6237961989294,,,52.1633405796294,
Israel,ISR,45.65314643976264,,63.14,57235.77632441356,88.1824,109819.878842723,5.515360787459869,8.77671668977531,10612.0,27.4092600836836,60.0380461490392,25.0,75885.5952962538,91.536188843818,7.789883831008413
Italy,ITA,18.733077608737307,12.0,46.365,62014.26751536892,89.2207,68260.72252775195,1.95492496299498,1.60924561245844,95246.0,11.892304596608,63.4829186800159,32.25,81046.26304903018,69.6047535143071,14.48550322714719
Jamaica,JAM,25.58887608627452,,67.255,12890.266005147236,,10913.08387036231,4.862369916570515,1.27385736005958,-10506.0,18.7023871371085,73.0880097211338,27.4193548387097,10027.320492471492,58.9301585439922,31.66255467446551
Japan,JPN,19.454734174553504,9.0,61.717,52039.17165516113,,,2.888053638752467,1.37139689580634,153357.0,11.4361015985054,58.7831280041029,15.6989247311828,,92.1901718034531,7.63302185798352
Jordan,JOR,47.32169450026539,,33.328,10821.490976531695,,27673.384821261265,1.8951010218344493,4.80018703722722,-156369.0,30.6684370194919,64.808399224574,19.5652173913043,13103.25468387834,92.9501393764286,8.01078718828468
Kazakhstan,KAZ,47.39653096466414,9.0,67.176,40890.93176944082,93.3917,42470.06579758106,8.993316348576897,0.42842846956594,-7368.0,29.3732798104715,61.9734854865864,19.3877551020408,20435.72782661037,62.072531584162,24.87549534714526
Kenya,KEN,61.19172800065561,,63.719,6644.130932438946,34.9762,6390.521640403899,3.0524123553794738,0.9995465852646592,-19781.0,36.8360577038471,60.1977733059809,23.2758620689655,6891.279040814153,31.8937831721599,63.9701600622944
Kiribati,KIR,56.811403668943015,9.0,,3702.3259470311536,,,2.017856124601124,,-471.0,34.6938699653578,61.0695222944141,11.1111111111111,,62.4620431275642,
"Korea, Dem. People's Rep.",PRK,27.59834753764585,12.0,79.255,,,,,,-2473.0,18.9471019146775,68.6530284760195,17.6128093158661,,63.8589748211522,56.84020386782071
"Korea, Rep.",KOR,15.063245952325428,9.0,62.67,61051.34925024983,97.8956,96003.1865804024,4.066397364758075,2.56205259386748,75963.0,10.568126821068,70.1583600473263,20.0,53197.19747482016,81.1682528469686,17.850535753048142
Kosovo,XKX,29.922467132806297,,,17864.416014511753,,,2.2486296093198206,1.47659639574127,-22178.0,20.7108304299052,69.215065379068,,,50.3214443938994,
Kuwait,KWT,23.156651409243945,,71.977,52443.59692236262,,84701.62750834493,-0.7327189451814746,4.84093247384389,61624.0,18.2188090706114,78.6763521992823,,37716.22832181299,100.0,2.339894609205063
Kyrgyz Republic,KGZ,52.183591045387686,10.0,55.468,8012.454644421939,,3847.596407921259,4.740064125558519,2.96620373701758,3645.0,32.3415612198649,61.976494880538,21.1111111111111,3144.2632412003527,34.7219977865937,29.490255756495657
Lao PDR,LAO,46.36223274201956,9.0,65.215,9775.828173810234,,26728.61591590119,14.0488821191652,,-10284.0,30.1984061662183,65.1358094699503,21.9512195121951,10173.575748792777,39.5552154401406,76.63806153082339
Late-demographic dividend,LTE,25.392232556029555,,61.454635469368256,28321.950614319943,,28256.311207285944,3.733256833059542,2.1701628881110877,-296677.0,17.46087480131328,68.76463046277489,24.266841562822076,25916.13588555144,67.25802266721914,31.96944925760812
Latin America & Caribbean,LCN,33.2717510018661,,59.10497776579513,23104.5519806078,81.7,21739.51836751689,4.111982558019044,1.1277314672227905,-378373.0,22.50925273062183,67.65274363961605,36.4648033126294,18283.82109723175,81.2717000968592,31.597836427785108
Latin America & Caribbean (excluding high income),LAC,33.432068602905105,,59.803559072797,21961.190021174185,81.4,20398.185738476717,4.883721640382007,1.0888981740165935,-346807.0,22.6607850236294,67.78158055529067,37.40434649525558,17510.392424277466,80.77023107709574,31.94616514267044
Latin America & the Caribbean (IDA & IBRD countries),TLA,33.540668183808734,,59.34601478036124,22984.6879888508,81.8,21781.293157695523,4.280184465654131,1.1277314672227905,-369248.0,22.694382103535577,67.66228260198059,33.97913561847988,18218.731517177595,81.27200967384054,31.892825281324768
Latvia,LVA,24.52358520728978,,56.64,43394.27328223139,92.7076,27007.54833505522,2.056965844804239,3.25799154535171,-2225.0,15.4132909230147,62.850868769571,32.0,31922.81169525357,68.4839492628509,8.706996618046674
Least developed countries: UN classification,LDC,67.18580825921305,,60.610313889348696,4463.9956422524365,31.4,7445.204484394629,5.743631112014334,1.5462026197790308,-1748381.0,38.65720169294907,57.53774857928258,27.04374057315234,4290.692785486061,36.1654678544613,72.99428772964811
Lebanon,LBN,41.12517227061804,,,,,,,2.58828538225203,-17267.0,26.1864378535752,63.6749744206881,6.25,,90.703695784554,
Lesotho,LSO,56.01570651913572,,48.039,3001.163119513338,,2822.7794385049865,3.5974940441971626,1.56745014441231,-5107.0,34.5192835270474,61.6243105386382,25.0,4740.405422211517,43.6780334209246,32.7617441449283
Liberia,LBR,69.14950180608928,,74.379,1871.0440616426235,,3764.587606171584,4.658681982538496,0.711206896551724,-7779.0,39.5295891528265,57.1654126617704,10.958904109589,1090.375468059333,55.5387986654968,77.13028198304754
Libya,LBY,40.569910639917325,,39.054,14303.808773698796,,67325.71304950614,8.50939917382847,,3448.0,27.4124264346555,67.5683777167474,16.4705882352941,17761.75046824483,87.8854066107749,22.03211300965435
Liechtenstein,LIE,21.93786363463513,,,,,,,,206.0,14.2626034612491,65.0112866817156,28.0,,14.657584904886,
