Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
Afghanistan,AFG,42.7,98.458695491197,9.0,43.159,1765.538028306152,4.0,3015.389251885906,3.8146303154521055,652230.0,388483653.0,5154249863.0,1.94583569418812,-167460.0,48.4673299618618,49.2260551369721,27.710843373494,15.2,3617.610978692,22.2614799010924,90.043576046337
Africa Eastern and Southern,AFE,27.41495375633197,81.91082572468292,7.0,65.0670511867545,3210.3482316960194,5.3,10459.287656941888,5.883022034869526,12344957.103,197095168523.0,194315178933.0,1.5675898183468242,-413050.0,43.70047621213415,53.35128188024701,22.64224473889321,62.876386812677445,7165.2193054263325,32.59036098202145,71.76294060663132
Africa Western and Central,AFW,41.95199031189824,83.82842273885196,9.0,71.22384184731392,4346.833632863663,7.3,8710.742375124424,5.425011295220692,9045780.0,161312632316.0,118567676582.0,0.8245790481288906,-310519.0,44.25448525292041,52.79174356338113,11.203007518796998,80.68780622159656,5800.402891564862,44.72601984445844,74.14576725694047
Albania,ALB,99.6,32.19770473078959,8.0,47.426,9210.346289496843,45.0,13234.141982789011,4.127443891207989,27400.0,1537369764.0,4533452347.0,1.55859189302349,-51907.0,21.6960540631808,67.3838908889083,16.4285714285714,37.0,10553.680044389666,51.8815774292716,55.1330239126757
Algeria,DZA,98.9,40.58975639732942,10.0,39.174,14201.36599069689,12.5,19961.970518766884,15.556918121837882,2381740.0,57052188363.0,40166988784.0,3.1899815466736703,-10788.0,27.4582315570484,67.6481822386726,7.7120822622108,0.3,12869.25759225604,67.1235057867459,29.453632304158848
American Samoa,ASM,,56.47680633064636,,,,,,-15.36488955323037,200.0,26937524.0,96749967.0,,-1261.0,34.6324814181084,61.3216002607349,,0.0,,86.3190673549669,
Andorra,AND,100.0,20.705850088274115,10.0,,43853.17123853543,81.0,,0.3743137581101194,470.0,,,,-6194.0,14.9679082100463,72.2883057021783,35.7142857142857,18.7,,88.7604726056609,
Angola,AGO,35.0,86.59165855195032,6.0,64.438,7411.654608836238,2.8,52725.65481097119,28.670799911778147,1246700.0,52194949816.0,18126928164.0,4.1775845224338,122418.0,45.140169544094,52.1299279990298,38.6363636363636,53.1,9128.369661514347,60.1310289535053,75.4921547412175
Antigua and Barbuda,ATG,98.7,34.3822626338021,11.0,,24071.029795648185,47.0,,1.607416905644925,440.0,94804508.0,356195653.0,,291.0,23.7551350496071,69.0912500512772,10.5263157894737,0.0,,26.0170447850587,
Arab World,ARB,86.92150259351104,56.08880803368378,9.0,42.97370674499906,14676.781859890834,,35916.73842896439,12.006950909995282,11232823.0,870478504346.0,642160199420.0,4.94806777517088,156222.0,34.624463644085466,61.731501805684495,11.919671777153958,4.835621591525569,19932.470304244867,55.59209773194616,24.26466786521876
Argentina,ARG,98.8,40.17782755640138,13.0,55.544,17847.61103731781,45.0,36749.77947392457,20.91512427204698,2736690.0,66188210926.99999,54342766314.0,0.814878118220695,-5003.0,25.680586139157,63.9173106797385,38.5214007782101,8.8,25339.57994652509,90.9930051940977,19.04902381148509
Armenia,ARM,99.8,27.58971754509816,10.0,49.862,7095.212679790087,25.0,12285.586253582733,7.768715480676519,28470.0,1029602639.0,3746418066.0,4.26564605593771,-30009.0,19.3046722059256,69.9705705545878,9.16030534351145,9.4,8031.27568914162,64.3304164043132,46.669368706310905
Aruba,ABW,93.4,29.840402304517472,,,33729.51191050278,62.0,,-1.2234065506842455,180.0,102089646.0,1005756748.0,,501.0,20.8013904218712,69.7093798538659,,5.5,,64.1612965549477,
Australia,AUS,100.0,28.291286440115154,11.0,62.066,39504.36108278397,76.0,113664.22327245944,1.1651877881097477,7682300.0,209673646125.0,196917356881.0,1.85259869583961,166752.0,19.0688510244334,67.4018595917306,24.6666666666667,8.2,96250.77649456909,86.2198600512143,10.637430686935222
Austria,AUT,100.0,21.95048093167363,9.0,56.952,41735.45747987438,75.17,91992.6507351836,0.8913386949096491,82520.0,152204785468.0,158879352103.0,0.826388366920392,22570.0,14.8209257483914,67.5198292810067,27.8688524590164,31.1,78748.32949128446,67.1047429254747,11.33397239547268
Azerbaijan,AZE,99.9,31.073995562890406,9.0,57.437,14930.40999284228,46.0,44328.8537187054,13.827665836528212,82656.0,21359739700.0,6600008400.0,2.79100435652891,1373.0,22.3113628018737,71.8007526197132,16.0,4.4,7570.805694491722,53.2848367714869,55.969865303325406
"Bahamas, The",BHS,100.0,34.52167956157318,12.0,63.185,29624.97538509601,43.0,47931.04625122844,-0.3925655656247926,10010.0,672235624.0,2836049014.0,,1898.0,23.3127198263839,67.5305290800117,12.1951219512195,1.3,58917.98886798815,82.4198104431593,13.701968977097891
Bahrain,BHR,100.0,26.31001602353621,9.0,70.934,49254.5770084238,55.0,44669.63154974512,12.006950909995282,762.0,4541478605.0,10136496475.0,3.27782374844849,-19329.0,20.3817616242075,77.4677641101048,2.5,0.0,36049.64994627587,100.0,1.06144346386962
Bangladesh,BGD,55.3,55.151008503713406,5.0,56.597,2833.6954436886417,3.7,3020.602158071418,7.144663028108411,130170.0,14081069068.0,25891491862.0,1.18438401700177,-1113727.0,34.0504147772873,61.7403305619908,18.5507246376812,40.3,4221.878274252409,27.7254372588696,62.1114634809614
