Country Name,Country Code,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Africa Eastern and Southern,AFE,"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,,117.181518670696,120.27122936557399,158.971893580788,159.768836639318,170.354646733847,158.2008710352445,196.0480064854125,213.369558612747,187.18009078372398,181.2657335473715,278.140572864757,373.766278513585,299.845833419107,277.281338325281,297.12335414486654,404.294617262273,516.999840213842,,
Africa Eastern and Southern,AFE,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,,,,,,,,,,,,101.3318854018346,103.69333892012652,,,,,,,
Africa Eastern and Southern,AFE,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,85.31112801404,94.38514891719643,93.35022014624423,78.1458267875116,79.59477906106244,84.61047280255059,76.38747055477558,79.27227834774207,75.4637741628069,73.98575314877783,65.79692989731952,66.03938764450703,65.7437053602284,62.14137428696868,60.53281003294281,55.777329636275475,49.5995485828764,44.40717068036301,46.679436872760355,
Africa Eastern and Southern,AFE,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,39.18267195300835,41.71613333527172,42.99902965771254,39.83125006698316,41.44821942683356,40.78739070239834,39.277849044692594,39.64481294934182,37.60451674406764,36.926514371651976,38.578797002490134,38.401461965463675,36.56715486256351,36.22160846488501,36.0543375831147,36.35339704197815,34.429895768253026,31.745596576908127,32.979628839584166,
Africa Eastern and Southern,AFE,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,8.558038022397785,8.898163802140328,8.450774806349996,12.566644659515655,8.954218023929492,5.537537916456762,8.971206409957878,9.158708431679049,5.748831335534543,5.525819233925173,5.098561643636867,6.446877222555841,6.221375289331178,4.689806467763299,4.102850754611558,5.191629420928505,6.8247270928206705,10.88347757260175,7.399185580806266,4.489788542434479
Africa Eastern and Southern,AFE,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,7.623689358782684,7.652254305265288,8.245764766116736,10.961412407555954,8.281432391062538,5.883022034869526,9.409031247640598,5.618359899949894,5.905802962929371,5.403535382974994,5.435116670828499,6.858416398297237,6.075072097211738,4.321758677700785,4.383673048463578,5.375289803010666,6.088152811843777,9.0101344503435,6.921322384723851,6.077633028588373
Africa Eastern and Southern,AFE,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,7.9,8.09616098799755,8,7.868441666666699,8.121353813930686,9.2686364166465,8.6199031390576,7.85583333333337,7.3943080712415306,8.14055109851998,7.5667509541707005,8.80995110828735,8.691920425854645,9.116106372861314,9.0224385164423,8.140171290501051,6.5468201754386,7.382209649075425,7.62650238344657,
Africa Eastern and Southern,AFE,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Listed domestic companies, total",CM.MKT.LDOM.NO,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Monetary Sector credit to private sector (% GDP),FM.AST.PRVT.GD.ZS,39.25509060077261,41.76051623364957,43.0382358871179,39.86985042764908,41.4896536032702,40.85436486811705,39.30881462489498,39.74627891574821,37.70383453035141,37.00642164931088,38.623516833243954,38.60896551584651,36.77516659489029,36.415639127216544,36.29260640915599,36.60906576530495,34.648490207642716,31.94269800372228,33.26296978004979,
Africa Eastern and Southern,AFE,Net domestic credit (current LCU),FM.AST.DOMS.CN,,,,,,,,,,,,,,,,,,,,
