Country Name,Country Code,Access to electricity (% of population),"Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect,cluster
Afghanistan,AFG,-0.3501700431887166,-0.3048389875659698,-1.1093789864184491,-0.8573957898452126,-1.352969777636522,-0.7319222814762637,-0.0695389447001546,-0.06827260198266,-0.373393999227579,-0.5082224883073657,-0.9507251539921692,-1.728501542163729,0.5239899716178734,-0.5480323954413208,-1.5901079243905782,1.7966954736008112,-0.6165601942666423,-0.7660652251456468,-0.112307878223907,-1.025269347188503,0.4282739242500529,0.7823181993237127,-0.5634732499394829,0.8071112307395363,0
Angola,AGO,-1.3892541139363932,-1.6204598812717337,0.6259329968566357,-0.5650817345403344,-0.8725053368684565,0.4441680758746125,-0.4686289388867735,0.2337539206140724,-0.2455652745458842,0.7743039881656419,0.2444326331216943,-1.6349615169022391,1.3037041009328314,0.4759128102704795,0.1758192448280703,1.0774097139335514,-0.6867578512943286,0.0602208819342237,-0.1123700977044741,-0.9247667718099272,-0.4465960418491209,0.7398289235507628,-0.0615066966409881,1.039118477928873,0
Albania,ALB,0.6536908387200556,-0.3048389875659698,-0.8541712767423091,-0.3879659901080537,0.3478883300023933,-0.4616073279671882,-0.1932911758654694,-0.3857238310002998,-0.3678538087425468,-0.4063130175902415,-0.0694411282382972,0.7276559059250406,-0.0750121294442122,0.1763914235656671,-0.2021291975614588,0.7415092311684301,-0.2421868661625485,-0.3311786208702912,-0.1100402191116422,0.169380082931772,-0.6338627157539874,0.7977678529877833,-0.1304043461743142,-2.2740753746375053,1
United Arab Emirates,ARE,0.6536908387200556,1.0107819061397942,1.7107959437613427,2.766677002619183,1.522823206989802,1.3484278314687557,-1.4360959856262436,-0.3635622468738183,0.271776114361332,-0.3050742460036855,1.1339488371504007,2.6260633672534754,0.0778697106177594,-1.1610063961395412,1.1169997054120562,-1.3805319131999223,0.9343293139850922,0.4002215772291705,-0.1105379979411638,0.9696055742186864,1.1471590891308363,-1.3111094593192194,0.5733326224440849,0.4158783235161115,1
Argentina,ARG,0.6431238820683843,1.8878625019436368,-0.1185135003095132,0.0329325354264686,0.7375435927332977,-0.0162782530645311,1.712361749055467,0.9907584766116928,-0.1609369621396423,-0.5959868247443628,0.0166403364124492,0.0974554770541645,-0.1361648654689994,-0.8371053616796861,1.4409590650509756,-0.6248613173549441,1.011723800083535,0.8034800648299548,-0.1103305900955298,0.8406592865231647,-1.2556012367319624,0.666445796843183,0.7997095494122413,0.4977642808419446,1
Armenia,ARM,0.6536908387200556,1.0107819061397942,-0.4904856425859208,-0.479695740561414,0.4248465644450686,-0.4699914100247222,-0.1606299552785642,-0.385180206630393,-0.3699036197479634,1.4631864498813023,-0.051952308101466,0.7993669264324421,-0.933484507685319,-0.7918288729917493,0.2200133171035124,0.294112308327168,-0.3975757956160105,0.0009166042127076,-0.1104550348029102,-0.4108782116980758,-1.4434180816107256,0.8595664676440659,-0.3863086983991866,1.7078567613237,1
Australia,AUS,0.6536908387200556,0.5722416082378728,0.4164266349939338,1.37564394161946,1.3151289896723404,2.2446674332101644,-0.2965899777674685,3.503425878532102,0.3295388202677834,0.0736947734777673,0.7025535198870425,0.4018024743339458,0.4345940040956937,-0.8371053616796861,1.232288107664605,-1.0215896460226412,1.3788976411087035,0.9062714440223116,-0.1098189840762993,0.9961533393324704,2.0214788842561133,-1.2415864306695394,-2.9761099552903234,-2.275349156195907,1
Austria,AUT,0.6536908387200556,0.1337013103359515,0.0477188747042004,1.5315571105938133,1.2934346564079655,1.2129506016533282,-0.0809786074744153,-0.3577195550477171,0.213596329293205,-0.6856373878073561,0.380377956513283,0.5509757735969348,0.771435304166659,0.0475275711461548,0.3586010680706554,-1.021116263090845,1.2391076003262456,0.8113870939985977,-0.1098466384557172,-2.49715329585415,0.5124676822991536,-0.4691037474660081,0.7012847985565211,-0.7851157172627736,1
Azerbaijan,AZE,0.6536908387200556,-0.3048389875659698,0.3537337604293462,-0.2108833334106516,1.0507511582002182,0.0630251433601883,-0.9007513614422388,-0.3576469024450099,-0.3264533158966285,2.207876748759001,0.0020823441430982,1.056806530931426,-0.3985298297043847,-1.0843846460522637,-0.2021690151436692,0.6995775577639604,0.081790052389071,0.2499880230249568,-0.1108560233044692,0.3969323553356339,-1.4045594240496022,-0.2412213559209663,-2.977241839925164,-0.4029812497422192,1
Burundi,BDI,-2.590364853343029,0.1337013103359515,1.856270197423898,-0.9363469811348932,-1.5718713350752471,-0.7248458638558668,0.1921429507505367,-0.386597694473421,-0.3752074900573927,0.1824490752500948,-0.7845995974810402,-1.8221206938898664,1.2647887234625166,2.01183061883818,-2.03306898171866,1.8745651998758608,-0.7827467640548736,-1.189091579796295,-0.1124572232646755,-0.8811512946055599,-0.2517524791765094,-0.0056106388259974,0.0073928170604185,0.0064500376130498,0
