Country Name,"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (annual % growth)","Agriculture, forestry, and fishing, value added (constant 2015 US$)","Agriculture, forestry, and fishing, value added (current US$)","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)","Communications, computer, etc. (% of service exports, BoP)","Communications, computer, etc. (% of service imports, BoP)",Exports of goods and services (% of GDP),Exports of goods and services (current US$),"Exports of goods, services and primary income (BoP, current US$)",External balance on goods and services (% of GDP),Final consumption expenditure (current US$),"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net inflows (BoP, current US$)","Foreign direct investment, net outflows (% of GDP)","Foreign direct investment, net outflows (BoP, current US$)",GDP (constant 2015 US$),GDP (current US$),GDP growth (annual %),GDP per capita (constant 2015 US$),GDP per capita (current US$),GDP per capita growth (annual %),"GDP per capita, PPP (constant 2021 international $)","GDP per capita, PPP (current international $)","GDP, PPP (constant 2021 international $)","GDP, PPP (current international $)",GNI (current US$),"GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)",Gross capital formation (% of GDP),Gross domestic savings (% of GDP),Gross domestic savings (current US$),Gross value added at basic prices (GVA) (constant 2015 US$),Gross value added at basic prices (GVA) (current US$),Households and NPISHs Final consumption expenditure (current US$),Households and NPISHs final consumption expenditure (% of GDP),Imports of goods and services (% of GDP),Imports of goods and services (current US$),"Imports of goods, services and primary income (BoP, current US$)","Industry (including construction), value added (% of GDP)","Industry (including construction), value added (annual % growth)","Industry (including construction), value added (constant 2015 US$)","Industry (including construction), value added (current US$)","Industry (including construction), value added per worker (constant 2015 US$)","Insurance and financial services (% of service imports, BoP)","Manufacturing, value added (% of GDP)","Manufacturing, value added (current US$)","Personal remittances, paid (current US$)","Personal remittances, received (% of GDP)","Personal remittances, received (current US$)","Services, value added (% of GDP)","Services, value added (annual % growth)","Services, value added (constant 2015 US$)","Services, value added (current US$)","Services, value added per worker (constant 2015 US$)",Trade (% of GDP),Trade in services (% of GDP),"Transport services (% of service exports, BoP)","Transport services (% of service imports, BoP)","Travel services (% of service exports, BoP)","Travel services (% of service imports, BoP)"
Afghanistan,1.8545878560712943,4.265531631860866,-0.09472785945988497,-0.07000045413360614,-0.6135372437278848,-0.5598354568441292,4.601054394354066,0.0,3.994735911842805e-17,-0.2488971616962545,0.0,0.0,-0.18905851788685868,-0.07600160842708484,-0.15117889377530885,-0.11150414387453433,-0.193063908205069,-0.222593037731191,3.8437577881025113,-0.6700019763493035,-0.6358278237212968,3.637538738719909,-0.8613239613954552,-0.8372899750673715,-0.2924445807013981,-0.2980243302499854,-0.2286432050022602,-0.6971250095495203,-0.8524744347381593,-0.22229221467788984,-0.29139500787721684,0.0,-2.09163088344273e-16,3.4856920047724656e-17,-0.2527173829970153,-0.19330097184038142,-2.7502876062570085e-17,-4.929126982596961e-16,2.824138062376903e-16,0.0,-0.25582579675093003,-0.43969867262944995,0.759193440268108,-0.2339582219028108,-0.23666692722364172,-0.7371679669113945,-1.0668628152206057,0.16361117122139263,-0.15547307191468782,-0.08278820375434742,-0.563963061116016,-0.15370945112381057,-0.8793604013093095,1.8193979016349942,-0.19081635325550375,-0.2476426895749424,-0.7762997694592249,2.9679543220289856e-16,-0.1287201126890159,-1.0757259348831207,2.080197937239299,-1.8087232296431264,-1.3915132564702695
Africa Eastern and Southern,0.1743174215865799,0.0002622118032945097,-0.09420146399745659,0.6045995335842259,-0.6386077785602522,-0.3832451823919697,-0.39558773494970184,-0.4106149954043805,-0.2027781739980154,-0.24870504022242915,0.11584115643184316,-0.2815086747227704,-0.14896317838237152,-0.07580471975406368,-0.1369481654168575,-0.11148594379017997,-0.19232430666610187,-0.22181404242017771,0.1666843067761845,-0.6240939128327195,-0.5919335179953941,-0.06616520621426655,-0.8018302062992659,-0.7539195084242838,1.319256850081067,-0.29678049000927365,-0.2278718871480208,-0.642438442724369,-0.7660837043206807,-0.22138714878809052,-0.29010588468351506,-0.16221555594557813,0.19063343610961161,-0.2114091452690032,-0.2517213285515744,-0.1919844864500841,-0.22661314021020565,-0.08898605940046588,-0.492494020556422,-0.21561919889753217,-0.25557353740034366,-0.010364254899487219,-0.0354767275429376,-0.23375802988905034,-0.23646185021738805,-0.5576751193887508,-0.6212128275999641,-0.07849967028613687,-0.15533234323234305,-0.0804991175512576,-0.6023050949324393,-0.1504618360060426,-0.16222060462092802,0.08732433949238341,-0.19043014718014625,-0.24733891096474953,-0.6287941555995469,-0.42645960007155026,-0.5016472633334311,0.05498269119285824,0.024462372904596706,0.5402430087554626,-0.657763161591462
Africa Western and Central,1.2897165682410074,0.23024469169694814,-0.09405403521549047,-0.06913234159524373,-0.5846061839858913,0.3304815479217501,0.4378025674683992,0.0,3.994735911842805e-17,-0.24877774236888547,0.0,0.0,-0.13011143034575923,-0.07580818694370711,-0.13750101717064483,-0.11149174665505235,-0.1924879743719774,-0.22204505122940707,1.1046253239278994,-0.6142800703787753,-0.5898807203724508,0.9209590947222549,-0.73410901762696,-0.6977118506147885,-0.2909698033025909,-0.29688949319476293,-0.22811504890346287,-0.6353278175557664,-0.7079150474178738,-0.22162125433902582,-0.2902320909382716,0.0,-2.09163088344273e-16,3.4856920047724656e-17,0.5982476104067408,-0.19233811362847755,-2.7502876062570085e-17,-4.929126982596961e-16,2.824138062376903e-16,0.0,-0.25568224032193415,-0.19657504563215136,0.40682251903694155,-0.23380252607065638,-0.2365339686576126,-0.5858578181529647,-0.5840028223953709,-0.4540424157876718,-0.15539428790386045,-0.08147652630247734,0.07205286064571623,-0.1426558298331366,-0.7101186615753952,0.8202007884026433,0.09602733975558424,-0.24745426478987012,-0.6940038332645067,2.9679543220289856e-16,-0.5779502916476918,0.5188139963150082,0.06553235773674754,-0.34870671439127904,-0.08576562518560911
Albania,0.43854943872384267,-0.14260144549096265,-0.09474157629551617,-0.07001330017046921,-0.47055825189042594,-0.7408950182950286,-1.5168639778054416,-0.49876507947370224,-0.20302436357181003,-0.24889594401716095,-1.100741246246576,-0.2821446438314275,0.011424081929248838,-0.0759878333032695,0.026238008477314476,-0.11150032258534805,-0.19306731381342046,-0.22259312561914954,0.4848467886048882,-0.5226997730725679,-0.4632421622581301,0.9537305151960914,-0.4824162013246191,-0.45980029483519436,-0.29247574410422295,-0.29803900715589854,-0.2286434701710606,-0.4604085105956292,-0.43537250654619386,-0.22229194453010662,-0.29141108660680154,1.0000734873195847,-0.6486514757308538,-0.21159175283611698,-0.25272398373619853,-0.19330398063295764,-0.226997770873672,1.201019971887072,0.22236809037367075,-0.2159010804530772,-0.2558233128740186,0.06745131119264809,0.26640130894729724,-0.23395857177140034,-0.23666619645398027,-0.4629539725205967,-0.48136121521501685,-1.0557111771378938,-0.15547465441239267,-0.08318188414049336,1.8166889781676678,-0.1529077582135031,-1.1639676027645323,0.3350250810843214,-0.1908181196148378,-0.2476430358821535,-0.49090967307022626,-0.16550902847200966,0.6806289589327204,-0.8259973969482852,-1.4504679134068579,1.3680233397023254,4.951719824831118
Algeria,-0.2956186487419927,2.1195456193337643,-0.09468020435953967,-0.0699388594603568,-0.09586910274048774,1.1411944048156402,-0.9186555475602118,-0.1900224049323204,-0.2029656347482548,-0.24884727729986436,0.396143592261278,-0.28206563322810196,-0.16268145888197974,-0.07597285934069349,-0.14337395977184084,-0.1115020687799046,-0.1929189166657344,-0.2224426899145187,0.21707344958032965,-0.47921682264885934,-0.4622428827519548,0.1470354478419544,-0.33524334477928486,-0.17659012578903974,-0.292097422458694,-0.2976710520824015,-0.2284892814419437,-0.449566533544306,-0.11438269179284967,-0.22209705892763365,-0.2910164299724959,2.7947400864667604,1.6207019376104648,-0.21151418305738148,-0.2525147675426025,-0.19304464301073834,-0.226957946734271,-1.8098013980390453,-0.4524424489777467,-0.21584700875066504,-0.255773225570419,1.359306077280699,-0.3192392460628407,-0.23389533377212446,-0.23660215904010534,-0.28099080371329976,-0.9807657226432637,-0.6945423290198104,-0.15545579569385778,-0.08336530427687296,-0.7562426615541277,-0.15370454957346122,-0.8009253542751581,0.4904970164458647,-0.11854480881222058,-0.2475920885985637,-0.4153515813044228,-0.3542395798362181,-0.5897963349989104,0.5232802779715036,-0.6674869540603856,-1.5094669424820824,-1.7988660344826854
American Samoa,0.0,-4.5245751905264035e-17,1.1081569417098674e-17,2.862760218286902e-17,1.1550955073116984e-16,0.0,0.0,1.5957281128778302,-0.20302757220463166,0.0,0.08477196987273068,0.0,0.0,-1.0433712879255868e-17,-0.15128933051775872,-0.11150414626872718,-0.19307705983540538,-0.22260583861657046,-0.7469035979820176,-0.08220341293007714,-0.09883815589657113,-0.4283822021411943,-1.6585516791403607e-16,-1.9896216855581534e-16,0.0,0.0,-3.5165730043414737e-17,0.0,0.0,4.0800730905867543e-17,0.0,0.0,-2.09163088344273e-16,3.4856920047724656e-17,-4.8064572029274194e-17,0.0,-0.2270061139555996,-0.26360522509129847,1.5792274471006484,-0.21590815106048825,0.0,0.0,0.0,0.0,3.3491262691905296e-17,-9.711922850888973e-17,0.0,0.0,-2.64476573495027e-17,0.0,0.0,0.0,0.0,-5.167966683580256e-17,0.0,-4.9620503322488013e-17,0.0,1.6726318089938603,1.5069872862159474e-16,2.897750850274547e-16,-5.283456449741e-16,0.0,3.574406662186833e-16
Andorra,-1.062543883600673,-0.5336896108753953,-0.09475102495521508,-0.07002699979580992,1.1550955073116984e-16,0.0,0.0,0.0,3.994735911842805e-17,0.0,0.0,0.0,0.0,-1.0433712879255868e-17,-0.15128933051775872,-0.11150414626872718,-0.19307468419882967,-0.22260255260650594,-0.9509876954755508,1.0713703812727149,1.3610468409187817,-0.8405339653952263,1.629661420549331,1.4024035841517979,-0.29249756990027803,-0.2980560066888567,-3.5165730043414737e-17,0.0,0.0,4.0800730905867543e-17,0.0,0.0,-2.09163088344273e-16,3.4856920047724656e-17,-0.252733092506536,-0.19331815790681364,-2.7502876062570085e-17,-4.929126982596961e-16,2.824138062376903e-16,0.0,0.0,-1.0774098405764938,-0.6929660565230166,-0.23396106875872869,-0.23666925719534224,-9.711922850888973e-17,0.0,-1.3883839707828283,-0.15547560996104762,0.0,0.0,0.0,1.825045780674421,-0.7922314801107712,-0.19082008447485532,-0.24764492264364524,0.0,2.9679543220289856e-16,1.5069872862159474e-16,2.897750850274547e-16,-5.283456449741e-16,0.0,3.574406662186833e-16
Angola,-0.05773842591504112,0.26617544968373313,-0.09469743960551694,-0.06996504160476374,-0.5100745751922147,-1.3820993467324245,-0.4980532375369336,0.5219597279763186,-0.20297508785205626,-0.2488583832305013,0.31495004480295635,-0.28210264636146304,-0.14596639698409863,-0.07597864620897506,-0.15083069921811115,-0.11150408083950646,-0.19299690690594246,-0.22251749482177016,0.3599795918152043,-0.5209363472546987,-0.48932556323129406,-0.06687088143653545,-0.4798161410674009,-0.5279142787722853,-0.29230364543283865,-0.29792918735918,-0.22857286938616392,-0.5031740867425154,-0.5413422726451865,-0.22220099162341445,-0.291303801170114,2.2739471906731454,1.3083203672763197,-0.21155495334010485,-0.25262435719323867,-0.19316503601403073,-0.2269793756484922,-1.740647282903254,0.32916869019315875,-0.21585438615156233,-0.25577973322352254,1.2662462251616406,0.13681631725499951,-0.23392917593033175,-0.23663396353966396,0.5730163428172743,-0.6291606829997655,-1.1665682304946088,-0.15546895455369242,-0.08269758289493598,-0.7748191331347054,-0.15378089307204437,-0.7552748837190535,0.8981889133640624,-0.19078775954747915,-0.24761688394136233,-0.5794114544359537,0.43894452745770784,0.02662692513876344,-1.2134727481769358,-0.9260174186060706,2.1735004987599504,-2.1239083670043737
Antigua and Barbuda,-0.9925310515179886,-0.3975115474953402,-0.09475099071921889,-0.07002700005718163,1.1550955073116984e-16,-1.5726585105028932,1.8246888221526798,0.0,3.994735911842805e-17,-0.24889844802894573,0.0,0.0,-0.08157567207455142,-0.07600131061702199,-0.09430424841694238,-0.11150400831121829,-0.19307622531234195,-0.2226050628778326,-2.1472831385571425,0.18581150051751194,0.09919410089192779,-2.321138531235688,0.3167500622837787,0.5073377194711814,-0.2924995132240413,-0.2980570996599652,-0.22865565069093916,0.2238407077545496,0.5830462339284279,-0.222306989626509,-0.2914303919078721,0.0,-2.09163088344273e-16,3.4856920047724656e-17,-0.2527351486857654,-0.1933223666525255,-2.7502876062570085e-17,-4.929126982596961e-16,2.824138062376903e-16,0.0,-0.25582906909460346,-0.7841386080939312,-0.4248599625103507,-0.23396121788380136,-0.2366695728434102,-9.711922850888973e-17,-0.006045152424922317,-1.6484958901446483,-0.15547578825674052,-0.08336265143459094,-0.40146812931294673,-0.15376683424105972,1.4257803311911896,-1.8934866551224063,-0.19082129414610902,-0.24764636260338957,0.0,2.9679543220289856e-16,2.964842765838067,-0.24770876435913664,-1.0772509613458523,1.613596524876249,-0.8519730542945811
Arab World,-0.4838312232362939,0.3982117964706788,-0.09403554015602596,-0.06920264707390682,-0.3271824883295336,0.0,0.0,0.33760198714589906,-0.20194857052662865,0.0,0.6107351706966183,1.0963257418477734,-0.15511786482579493,-0.07556782793001786,-0.09398718798847853,-0.11132106465114928,1.9361153347533964,1.7724015139111373,0.11796591910935159,-0.4072260635436218,-0.42099497281781717,-0.06692321869729193,-0.2873572015162488,-0.15131725604309335,4.066711434594627,3.72806072702666,1.8277376729460066,-0.39596371162729715,-0.07789229623031277,-0.21976818239935655,-0.2870735117925178,0.4465771546647679,0.9019950683599076,-0.21088371177193882,2.942609595608531,-0.18970236980474714,-0.22622190050236135,-0.9743481772861797,-0.055020951424462006,-0.2149181734047569,-0.25489297434560004,1.8695579781461804,-0.041719878918567085,-0.2330068817963901,0.6991278871057488,0.12732393847228576,0.0,-0.3699504764346704,-0.15517010303645853,-0.03011246174301006,-0.31355292998216816,-0.13763800528997744,-0.943006781429851,0.14324939459754818,-0.18977913001056157,0.3991224537408691,-0.17902973551840398,0.15743118668884992,-0.20193344508472022,2.897750850274547e-16,-5.283456449741e-16,0.0,3.574406662186833e-16
