Country Name,Commercial service exports (current US$),Commercial service imports (current US$),"Computer, communications and other services (% of commercial service exports)","Computer, communications and other services (% of commercial service imports)",Insurance and financial services (% of commercial service imports),Merchandise exports (current US$),Merchandise exports by the reporting economy (current US$),"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",Merchandise exports to economies in the Arab World (% of total merchandise exports),Merchandise exports to high-income economies (% of total merchandise exports),Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),Merchandise imports (current US$),Merchandise imports by the reporting economy (current US$),"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",Merchandise imports from economies in the Arab World (% of total merchandise imports),Merchandise imports from high-income economies (% of total merchandise imports),Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),Merchandise trade (% of GDP),Transport services (% of commercial service exports),Transport services (% of commercial service imports),Travel services (% of commercial service exports),Travel services (% of commercial service imports)
Afghanistan,-0.13264295508591767,-0.18009325027249545,1.5229628023139195,-1.9021045156449001,-1.03591997030311,-0.19837355986727717,-0.3062957509964425,-0.11416586188820775,-0.14211116341751862,-2.3605578864687686,-0.6435743338455303,-0.019201886948906226,0.0,0.07016610321471087,7.369617602216608,-0.5274277817068748,-0.439942727561232,3.061821967352369,-0.16274045575575874,-0.3023966273942072,-0.12782417215814412,-0.526166231199716,-2.500368311046433,0.36537328930892693,3.124569262354462,-0.6354108546438785,5.910280673441666,2.2762690202112914,-0.42246759450446464,3.1337780622001254,0.23173607969658874,-0.5086076986979576,0.08670870060306002,3.296430512008552,-1.213628491247374,-1.0324531389886678
Africa Eastern and Southern,-0.13256377553722642,-0.18000142486396417,-0.6937961718424159,-0.03702276800415954,-0.251023800229396,-0.19818983364697976,-0.20703495600147084,-0.11350366874369618,0.12647969042982063,-0.728258474950473,0.41679399072272616,-0.417857112579906,-0.4345877777589452,-0.22802445084748496,0.13068714835068693,1.027433785100763,0.7225332417823457,0.16787094445603915,-0.16244349976911837,-0.18996329273727686,-0.126369856457982,0.6535240646054118,-0.6998290357665837,0.22469825024328552,-0.38248153552038,-0.39023911733161676,-0.1901160047817272,0.3773954891165878,1.04420816914398,0.853225982985936,0.07501838901384687,-0.4208235147735221,-0.2656896192246248,0.6516163920992791,0.8148000723476676,-0.5732985120661267
Africa Western and Central,-0.13259960864022038,-0.17996657812003053,-0.33974750868512305,0.41874528703471464,-0.4579289369038317,-0.1982450211250038,-0.23681102430702014,-0.11386678449196992,-0.44970624363240536,-0.7362322028741034,0.16507008069987578,-0.35035672451999234,-0.36108868333314975,-0.357129464812984,0.6912071792659237,0.9480831144889463,0.8005311211755402,0.10738388090296648,-0.1625832580911025,-0.23689847259090321,-0.12617358621055744,0.048054359005031626,-0.3204536166050531,0.32362616130002864,-0.18574714689635846,-0.31279205739135496,-0.04822482578640983,0.2643829910156776,0.2572395170935151,1.028614332838368,-0.5006753273032716,-0.8905746929133561,1.0168725490883042,0.09336569841483597,-0.5542422378714588,-0.3896227145279525
Albania,-0.1326372802536417,-0.18009136582210472,-0.16640788957835764,-1.781970142332243,-0.8557541741265036,-0.19837185448902164,-0.3052221988263786,-0.11416586188820924,-0.5282168582112896,0.811729943755643,-0.7242148445205907,1.6766331393846123,-0.508346452141566,-0.3564720952611287,-0.5186563341030522,-0.5255029290104462,-0.9127706276853146,-0.12507372629255545,-0.1627415346353789,-0.3025151700325974,-0.12663459176323255,-0.492813777498062,0.4211520075547313,-0.7130579783531501,2.110661084862381,-0.4427340947660667,-0.0032450599774485897,-0.4086062054636294,-0.48969835014619434,-0.5197127730101274,-0.06126779837678294,-0.10465516961665354,-0.9459038615557435,-1.500945651682655,0.9145671216312823,4.1691824394339
Algeria,-0.13263846384157052,-0.18007959067275622,1.4768225577883298,1.258334886705272,-0.8961735159705964,-0.19834183909505973,-0.28886100998411784,-0.11416586188820775,-0.004987974325197497,0.49626670094866365,-0.3107759222103366,0.2497910521097718,0.060379409257968454,0.47547833915332405,-0.49357621201444624,-0.5041301494505205,0.10662528062394487,-0.6756173606930131,-0.16269404554209813,-0.28452562386327424,-0.08028482183932495,-0.11281246314799016,0.17456319645915516,0.06843914593791507,0.43625246991987954,-0.14997581047121672,0.42749643336832727,-0.22255853300328077,-0.45838451719620615,0.7935818171835253,-0.8710954685687892,-0.4898592722500581,0.08380153966666323,0.2823352871975124,-1.6896577524433196,-1.3791040365836569
American Samoa,0.0,5.15990684636956e-17,0.0,-4.813682168218321e-16,0.0,-0.19837403041170945,-0.3067204196759604,-0.11416586188820775,-0.5401719043833603,0.2414904843662764,-0.7061312375653286,-0.26259070920886796,0.34101092865215465,-0.35551191766171464,0.627486903117261,0.1484427205143931,0.6724957730839636,-0.8906056099238937,-0.1627478914431409,-0.30567037033645816,-0.12782417215814412,-0.7772593512119528,0.04382624308276651,0.12521002719902258,-0.6861805490383965,-0.6033271599260559,-0.637375336754216,-0.5234180195086308,0.9199454953670373,-0.2757141128141865,0.16517395908015067,2.916578240006813,0.0,-4.969718693565033e-16,3.1603218074318165e-16,0.0
Andorra,-0.1326399763224739,-0.18009424603049295,-1.2166724231522381,0.7901368674100046,-0.7748856651400492,0.0,6.178213671622597e-17,2.0579099239639636e-17,-1.3235410755619998e-16,0.0,9.861525919602874e-17,0.0,0.0,1.1151273430981927e-16,-8.551967139813497e-17,1.159409522491695e-16,0.0,-1.7675786966959614e-16,-0.16274687754149786,0.0,0.0,1.0791251667921952e-16,0.0,2.872957130008553e-16,0.0,-2.509404064243826e-16,-7.831766527177669e-17,0.0,0.0,-2.5156206522538635e-16,0.0,-1.9633109628286819e-16,-1.357427224913974,-1.0713456214972363,1.9752856241172307,0.6420511885321806
Angola,-0.13264304252973144,-0.18008194330324903,-1.2426677237303916,0.8657082673407798,-0.2118529548581609,-0.19834172859538876,-0.28925484628398185,-0.11383719934574077,-0.3223089267764992,-1.6384423709223273,2.7198077706871917,-0.4751533531921667,-0.4266682397661032,-0.3891394076529128,0.43462569236228693,-0.4169780790288493,3.1173941667007186,-0.9331686756099986,-0.16273164694886,-0.2986805413982736,-0.10629777543195791,-0.2559624195777532,0.03907460473482698,0.037300447566165226,-0.2558430390960599,-0.010339591561251494,-0.3401509843025677,-0.06796580257816089,0.11718384798904026,0.6576650609161626,-0.6031307026577467,0.05882605620839106,-0.9664151171562019,0.46816127436310695,1.9049169608532115,-1.450366325124492
Antigua and Barbuda,-0.13264183873261662,-0.18009424981498443,-1.4217246558772876,1.1578258987717955,0.21668362460386867,-0.1983743204733458,-0.30579291189242525,-0.11416586188820775,6.403751595116863,-2.34346433301707,-0.848858133537301,-0.47475884672414626,-0.498418660654123,11.231272426842231,-0.5273566565264227,-0.5215038543494125,4.1047228407431,-1.011931780656959,-0.16274790492913616,-0.3054729216089755,0.0006806893400728151,-0.764666361022445,1.0057071609443344,-0.7825299617534008,-0.6298042938960086,0.6921287800626384,-0.6405071898638157,-0.4702531105856856,-0.47917123956548796,-0.8115427218818927,-0.49175827061995364,-0.4489292066420591,-0.5863831205939067,-0.8753324938277426,1.6680058695158293,-0.4720365079234084
Arab World,0.0,-0.17951053331460157,0.0,-0.5163437265853025,0.4354851728525794,-0.1973681865028189,0.11126169518412213,-0.11286090554450319,0.49892426647132954,-0.19132424917681792,0.10502874443654311,-0.20736835270995457,-0.3879368373152403,0.3477241191673762,0.7513304916654906,-0.2659298472680678,1.0470895939119573,-0.7325112984123424,0.9153878331458956,0.09547896374307613,-0.10805937135327712,0.924288930341443,-0.18617343611043466,0.09162615402387413,0.20497279130995336,-0.178528706989446,0.6290720976663818,0.3405557016311086,-0.1886846862126514,1.25087721484768,-0.8381816388002876,0.2077218221313259,0.0,0.11742361973361484,3.1603218074318165e-16,0.25787919671849013
