Country Name,Commercial service exports (current US$),Commercial service imports (current US$),"Computer, communications and other services (% of commercial service exports)","Computer, communications and other services (% of commercial service imports)",Insurance and financial services (% of commercial service imports),Merchandise exports (current US$),Merchandise exports by the reporting economy (current US$),"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",Merchandise exports to economies in the Arab World (% of total merchandise exports),Merchandise exports to high-income economies (% of total merchandise exports),Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),Merchandise imports (current US$),Merchandise imports by the reporting economy (current US$),"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",Merchandise imports from economies in the Arab World (% of total merchandise imports),Merchandise imports from high-income economies (% of total merchandise imports),Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),Merchandise trade (% of GDP),Transport services (% of commercial service exports),Transport services (% of commercial service imports),Travel services (% of commercial service exports),Travel services (% of commercial service imports)
Bulgaria,-0.10286747499608372,-0.07924073701917009,-0.5024777050523257,0.1330913124907845,0.05607302243825152,-0.20560491218593338,-0.29088591869458796,-0.2523583312786803,-0.24124913973046094,0.46817228339753003,-0.6704939491582045,1.888033044153062,-0.4735626036690599,-0.014962192973775521,-0.42016863888874145,-0.47275315241011073,-0.5983946907211478,-0.12183210990844705,-0.14577860771117546,-0.19772094796827644,-0.2970587437764677,-0.6539511591639464,0.8114745441132104,-1.0263472661670978,1.5746030124874673,-0.4326001378764279,-0.41504044644689847,-0.4347717715753194,-0.42912938444825965,-0.9231319516824801,-0.2180317824341109,0.5734845743181086,-0.092694101587102,-0.9983444328102173,0.5664075303099645,1.1415695714093848
Burkina Faso,-0.10289487484940878,-0.07926725299869128,-0.2781696219394997,-1.0134807147421778,1.2121679160340526,-0.2056217104458846,-0.3024087231522568,-0.2581899644654184,-0.2360549397111262,0.22685804298230375,-0.4051158346410348,-0.4860502964394413,-0.4921409854618421,-0.4814473074552997,-0.4272525186847252,0.9609993660685653,-0.6285028328015205,0.1682736434542883,-0.14582000117276842,-0.19776286481196284,-0.2494179223842867,-0.4817332826250296,-1.0041670664150908,-0.07912724389239577,-0.369846793654535,-0.44039663465260315,-0.14478156261747846,0.23625865766371468,1.7751319757589639,0.4878807888425381,0.7620373427871417,-0.8682673275906837,0.2874198962286575,1.322843141036271,0.20060311870634293,-1.1084163863301368
Burundi,-0.10289544449646258,-0.07926955268508733,-1.644463395835588,-1.899482017278629,-0.9017848282847842,-0.20562261801823764,-0.3031167166830891,-0.2581899644654194,0.23341224103782846,-0.09604383576820842,-0.5892118312505696,0.0,0.0,0.49115397471201816,0.7496213320924067,0.40095389742232646,0.5976592175999291,-0.2898626705604255,-0.14582280543699927,-0.19776657605005935,-0.2972871214278101,1.3287621606446374,-0.5795121881587421,-0.45152028080722895,1.3472304932166062e-16,-1.095446353038879e-16,-0.3484685870808628,0.41316210544973125,1.6937919233157273,-0.0689162427693869,0.6960942135641415,-0.9564993719932746,-0.014561854501408147,1.1118402234064706,0.8796701240473218,1.5229953801509608
Cabo Verde,-0.10289355079123141,-0.07926865261807488,-1.3131648816616055,-1.5094069507660361,-0.4046701372418602,-0.2056226528829619,-0.3031347376841264,-0.2581899644654184,0.0,1.5947255207699704,-0.7692851761289882,0.0,-0.5132132183263707,0.0,-0.43697404679386054,-0.5339615934965193,-1.0848777520560062,-1.054655461331795,-0.1458222189866458,-0.19776588604498085,-0.2972774556264368,-0.6884700224421971,1.1992827481172181,-0.9097682921128609,-0.49069310591161447,0.01323621168954098,-0.4688751405778101,-0.47714442297032167,-0.28476587355294053,-0.5410500987690896,-0.9079408043027999,-0.537401018785689,0.5800025978972299,0.23974942678059372,0.8243063974856345,1.932519958122458
Cambodia,-0.10288835311778172,-0.0792656335507712,-1.2777333324268607,-0.7224306999449396,-0.3864793464395185,-0.20561811937928717,-0.2993437557050774,-0.24941327464427682,-0.5531028489387747,1.396538476746325,-0.48889091825205117,-0.48635975890618166,-0.4509280806857668,-0.5873740491973037,-0.4550712054811484,-0.5324740699867619,-1.0517823711899448,-0.8561593544727317,-0.14581243653628734,-0.19775955614303906,-0.29725249518690766,-0.7413939566169088,-1.129180148403554,3.613184786690385,-0.5487691061208567,-0.636006919390926,-0.5933119161701915,-0.2648991555467248,-0.4497575751916059,-1.3020133582570634,2.1590854180039574,0.682489298632471,-0.540625362499877,1.575965031979742,1.5495319908331466,-1.0167914716974427
Cameroon,-0.10289079531015442,-0.07925919747162395,-0.14453382723604694,0.6877122324375791,0.015110795170818005,-0.20561882103186263,-0.3018257102578534,-0.25265921794124757,-0.4515102151213829,-0.1028814701103831,0.2753338692085025,-0.36335323835085637,-0.46882695951060704,-0.43443958293537677,-0.3590891385182975,0.7157775588578038,0.22271034780499227,-0.032326167027402194,-0.1458150879795792,-0.19775966816261187,-0.2970561426371441,-0.021924446541445333,-0.31142352232393217,0.5095897540543336,-0.3656901016783681,-0.021291661979807867,-0.022736105912654687,0.03479174951947923,0.2015821254873015,1.2398333132455046,-0.5136540048144509,-0.8893435356309481,1.5589059367355047,-0.5215595307487635,-0.8537476378527372,-0.26342565400088386
Canada,-0.1026209174860906,-0.07878340450853764,1.4590330429585507,0.47300657760885206,0.35229561777747276,-0.20527829944918843,-0.06055757024813303,-0.14911979240170806,-0.4260959838955522,1.1669873089186253,-0.4622357614849223,-0.45631617126026397,-0.21478108788304603,-0.4438122827557964,-0.3735142731057212,-0.5080817694997019,-0.37769730351301184,1.969214532966782e-16,-0.14519336464313792,-0.19709779937021984,-0.1690807772607113,-0.4815915464485486,0.5681743305613545,-0.13213175244834946,-0.40901359377766383,0.23600427276998756,-0.1652740678330855,-0.36063923621261895,-0.3820653576358579,0.6136087258394826,4.169178551969204e-16,-0.3292541276065259,-0.5089441409583373,-1.0635001996504332,-1.0032215330989611,0.6066601602901538
Caribbean small states,-0.10286484766345298,-0.07924720037608705,-0.6367547665297985,0.15728644544875606,-0.03201676138508812,-0.20560852504298346,-0.29365173503060393,-0.20280340699200344,-0.5079699368440227,0.5853134483402561,-0.7136954865457883,-0.05378212563388732,1.1980251505032067,-0.5607761930967796,-0.34995456388166857,-0.4603953569318973,-0.5753680685720206,-0.27224178835906093,-0.14579202921014414,-0.19773674775275374,0.497748609260068,-0.7447520085329408,0.4407301180805242,-0.8396520959001447,-0.532351383375593,1.0324983816328517,-0.5908887209226649,-0.30046583293507284,-0.07027958007713822,-0.4425709658778462,-0.24271589987590905,0.11591933287589284,-0.04236289578701052,-0.22283614613766897,0.2580435452660394,0.07860399030741198
Cayman Islands,0.0,-1.1561293259414745e-17,2.046138096762526e-16,5.001938922180009e-16,0.0,-0.20562266050962033,0.0,3.623928752544021e-17,0.0,0.0,-1.4663377404305856e-16,0.0,0.0,0.0,0.0,0.0,1.4745293383821513e-16,1.969214532966782e-16,-0.14582178535723136,-3.0983777153110993e-17,0.0,-1.1933979037477711e-16,-7.664343758013458e-16,0.0,1.3472304932166062e-16,-1.095446353038879e-16,0.0,0.0,0.0,0.0,4.169178551969204e-16,-1.075392869785477,2.640558748028025e-16,-4.972190527983159e-16,3.2312067772659087e-16,0.0
Central African Republic,0.0,-1.1561293259414745e-17,2.046138096762526e-16,5.001938922180009e-16,0.0,-0.20562256027353812,-0.3030998713407571,-0.25818996446550135,-0.23303970382054157,0.823344438634977,-0.014711245019874917,-0.4444155381343308,-0.2531834871051343,-0.5041091323738159,-0.43155123755307506,-0.31649637341418096,-0.06112412408070778,-0.8767614867662175,-0.14582305759154862,-0.19776685691982157,-0.29728712142780644,-0.25254886707797186,-0.09473808622764344,-0.1637073782566504,-0.47592217637454054,-0.3054913153816514,0.1519227804994674,-0.2999000878964612,0.7915194271706204,0.22200554180866688,-0.03538640416937886,-1.1866385706807892,2.640558748028025e-16,-4.972190527983159e-16,3.2312067772659087e-16,0.0
