Indicator Name,total_values,null_values,coverage_percent
"Industry (including construction), value added (current LCU)",5320,1376,74.13533834586467
Gross savings (% of GNI),5320,1377,74.11654135338345
Exports of goods and services (constant 2015 US$),5320,1381,74.04135338345864
Exports of goods and services (annual % growth),5320,1388,73.90977443609023
"Services, value added (current LCU)",5320,1399,73.703007518797
"Agriculture, forestry, and fishing, value added (current LCU)",5320,1408,73.53383458646617
Gross savings (% of GDP),5320,1432,73.0827067669173
Gross national expenditure (constant 2015 US$),5320,1446,72.81954887218045
Gross capital formation (constant 2015 US$),5320,1465,72.4624060150376
Gross capital formation (annual % growth),5320,1470,72.36842105263158
Gross value added at basic prices (GVA) (current LCU),5320,1477,72.23684210526316
"PPP conversion factor, private consumption (LCU per international $)",5320,1480,72.18045112781955
Adjusted savings: net forest depletion (% of GNI),5320,1486,72.06766917293233
Adjusted savings: natural resources depletion (% of GNI),5320,1511,71.59774436090225
Adjusted net national income (current US$),5320,1515,71.52255639097744
Adjusted net national income per capita (current US$),5320,1515,71.52255639097744
"Industry (including construction), value added (constant LCU)",5320,1536,71.12781954887218
General government final consumption expenditure (annual % growth),5320,1544,70.97744360902256
General government final consumption expenditure (constant 2015 US$),5320,1546,70.93984962406014
Net secondary income (Net current transfers from abroad) (current US$),5320,1554,70.78947368421052
Net secondary income (Net current transfers from abroad) (current LCU),5320,1554,70.78947368421052
"Services, value added (constant LCU)",5320,1560,70.67669172932331
"Agriculture, forestry, and fishing, value added (constant LCU)",5320,1560,70.67669172932331
"Manufacturing, value added (current LCU)",5320,1563,70.6203007518797
Adjusted savings: particulate emission damage (% of GNI),5320,1572,70.45112781954887
Gross fixed capital formation (constant 2015 US$),5320,1597,69.9812030075188
Gross fixed capital formation (annual % growth),5320,1600,69.92481203007519
Taxes less subsidies on products (current LCU),5320,1614,69.66165413533835
Taxes less subsidies on products (current US$),5320,1618,69.58646616541354
Gross value added at basic prices (GVA) (constant LCU),5320,1626,69.43609022556392
Adjusted savings: mineral depletion (current US$),5320,1634,69.28571428571429
"Primary income payments (BoP, current US$)",5320,1635,69.26691729323308
"Service imports (BoP, current US$)",5320,1635,69.26691729323308
"Goods exports (BoP, current US$)",5320,1635,69.26691729323308
"Service exports (BoP, current US$)",5320,1635,69.26691729323308
"Exports of goods and services (BoP, current US$)",5320,1635,69.26691729323308
"Goods imports (BoP, current US$)",5320,1635,69.26691729323308
"Imports of goods and services (BoP, current US$)",5320,1635,69.26691729323308
"Primary income receipts (BoP, current US$)",5320,1636,69.24812030075188
"Net primary income (BoP, current US$)",5320,1674,68.53383458646617
"Net trade in goods and services (BoP, current US$)",5320,1674,68.53383458646617
"Net trade in goods (BoP, current US$)",5320,1674,68.53383458646617
"Current account balance (BoP, current US$)",5320,1674,68.53383458646617
"Net secondary income (BoP, current US$)",5320,1674,68.53383458646617
"Net errors and omissions (BoP, current US$)",5320,1681,68.40225563909775
"Net financial account (BoP, current US$)",5320,1681,68.40225563909775
"Foreign direct investment, net (BoP, current US$)",5320,1695,68.1390977443609
Current account balance (% of GDP),5320,1697,68.1015037593985
"Secondary income receipts (BoP, current US$)",5320,1711,67.83834586466165
"Secondary income, other sectors, payments (BoP, current US$)",5320,1725,67.57518796992481
"Reserves and related items (BoP, current US$)",5320,1729,67.5
"Manufacturing, value added (constant LCU)",5320,1743,67.23684210526316
External balance on goods and services (current LCU),5320,1748,67.14285714285714
Exports of goods and services (current LCU),5320,1748,67.14285714285714
Imports of goods and services (current LCU),5320,1748,67.14285714285714
External balance on goods and services (current US$),5320,1752,67.06766917293233
Adjusted savings: carbon dioxide damage (current US$),5320,1770,66.72932330827068
Taxes less subsidies on products (constant LCU),5320,1794,66.2781954887218
"Net bilateral aid flows from DAC donors, Total (current US$)",5320,1815,65.88345864661655
Adjusted savings: energy depletion (current US$),5320,1817,65.84586466165413
Adjusted savings: gross savings (% of GNI),5320,1832,65.56390977443608
Net official development assistance received (current US$),5320,1836,65.48872180451127
Net official development assistance received (constant 2023 US$),5320,1836,65.48872180451127
Net ODA received per capita (current US$),5320,1836,65.48872180451127
Adjusted savings: net national savings (% of GNI),5320,1839,65.43233082706767
GNI per capita (constant 2015 US$),5320,1842,65.37593984962406
GNI (constant 2015 US$),5320,1842,65.37593984962406
"Net bilateral aid flows from DAC donors, Japan (current US$)",5320,1845,65.31954887218045
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",5320,1846,65.30075187969925
Final consumption expenditure (% of GDP),5320,1860,65.0375939849624
Final consumption expenditure (current LCU),5320,1860,65.0375939849624
Gross domestic savings (current LCU),5320,1860,65.0375939849624
"Total reserves (includes gold, current US$)",5320,1870,64.84962406015038
Total reserves minus gold (current US$),5320,1870,64.84962406015038
Households and NPISHs Final consumption expenditure (current LCU),5320,1880,64.66165413533835
"Portfolio equity, net inflows (BoP, current US$)",5320,1883,64.60526315789474
Net official development assistance and official aid received (constant 2023 US$),5320,1887,64.53007518796993
Adjusted savings: consumption of fixed capital (current US$),5320,1887,64.53007518796993
GNI per capita growth (annual %),5320,1890,64.47368421052632
Net official development assistance and official aid received (current US$),5320,1893,64.4172932330827
Gross capital formation (current LCU),5320,1901,64.26691729323308
Net ODA received (% of GNI),5320,1903,64.22932330827068
"GNI per capita, PPP (constant 2021 international $)",5320,1912,64.06015037593986
"GNI, PPP (constant 2021 international $)",5320,1912,64.06015037593986
Households and NPISHs final consumption expenditure: linked series (current LCU),5320,1913,64.04135338345864
General government final consumption expenditure (current LCU),5320,1916,63.984962406015036
