Country Name,Country Code,Access to electricity (% of population),"Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,AFG,-0.9183545802754489,-0.08757186578445214,-1.0879207787630745,-0.789929507824787,-0.9856439224381456,-0.7289171966512916,-0.3994707601605907,-0.06336433672432536,-0.4142314825180343,0.0811215726380728,-0.3510067208387762,-1.9526560808765712,0.8173776945177487,-0.5828010668362644,-1.5923056180570936,1.9685426376640318,-0.4060164942019894,-0.8942919934507554,-0.11277640708392632,0.04726392583731272,1.1800993040615122,-2.6212861701238332,-0.6300458446261462,0.017568687608964295
Angola,AGO,-1.3774153328834229,-1.6169519503771985,0.7185009618880117,-0.4937189753825937,-1.031826877248597,0.5073630652653327,-1.3453329591810765,0.23794171100702802,-0.19046438173777597,1.883574433862392,0.6121578764660544,-1.5014541680452929,1.8622390770005328,0.609720238412861,0.081707618472704,1.4359565793427447,-0.7227048056318622,-0.0756711721353589,-0.11259061937308405,-1.1877059635349265,-0.3537507402444998,0.6523719964213103,-0.034478568965817906,1.2179870931476509
Albania,ALB,0.7057707030893137,-0.5973652273153677,-0.7203022354393916,-0.4285035118203864,0.4053866764526474,-0.47017089180746,-0.02967256599542585,-0.38005829571970196,-0.4103135207198967,-0.31082081757934654,-0.29900551777205253,0.5087786210793624,-0.1863002486462835,0.09023835475639277,-0.30757147584093936,0.6904923601133397,0.233858247004724,0.342453415451245,-0.11050287708676063,-0.6745032083910546,-1.01932906300018,0.6297746746930657,-0.18868746143789092,0.41299896584641876
United Arab Emirates,ARE,0.7184344479888441,-1.6169519503771985,1.5375779265602945,3.5671772138504583,1.247763772195279,1.5165631831202124,-1.4165546936985927,-0.35794957736210337,0.22230404026683825,2.3973913431909173,0.9526276874001783,2.517738180065108,0.3737536313185655,-1.1186188587838166,1.138494940522125,-1.4006716457762545,1.0498019382387693,0.5713173345363127,-0.11081665725586098,0.8440198532322637,0.08038512053066606,-1.3476416996669782,0.6302184543571852,0.4883190188440291
Argentina,ARG,0.6487838510414273,1.9516015803392097,-0.043786666566992025,-0.024833745332749277,0.13937285674444788,0.06266551198350534,0.9708292201816006,0.9931404562073565,-0.10660791443229496,-0.7443588922989746,-0.04452226855507901,0.08606354823789675,1.8516344237458269,-0.8409084178353902,1.4783124874297977,-0.6925828557308759,0.7886526902116527,0.7209591277842416,-0.11065976717131082,-0.14958165622496927,-0.8559429557327399,0.7088713296674675,0.8641915731557783,0.017568687608964295
Armenia,ARM,0.696272894414666,0.42222149574646334,-0.5120466666781006,-0.5154952432849316,-0.5515241472199034,-0.5225573742575043,-0.03538209349396025,-0.37951596814880256,-0.4126196996344697,1.5037542227943694,-0.17517928799885926,0.900934594513526,-0.8567554098435327,-0.8670458711011244,0.30265406921662547,0.26982074229520403,-0.5383636244238765,-3.3207776832580542,-0.11088271623882948,-1.0681943725156187,-1.3712376017300507,0.6975718075282672,-0.6406809863897186,1.6557798403069899
Australia,AUS,0.7184344479888441,0.9320148572773789,0.48798330126639755,1.245095757344884,1.6264640016409795,2.0001636800552,0.15947425061986784,3.4998139682780383,0.4445655294534564,-0.03144239824313114,1.3711080230914139,0.5896045599552655,0.819600445565087,-0.8899161427086418,1.2698618670053416,-1.0190674055968656,1.2731362382042337,0.824382238907805,-0.11005697706671443,1.17677642397324,1.6451219512369877,-1.0877536123519982,0.6674438813462941,-0.19426906264602978
Austria,AUT,0.7184344479888441,-0.08757186578445214,0.05509062445036966,1.258300900472216,1.5969069105622908,1.466839660094519,-0.09458582977607218,-0.35212082309542786,0.3591301274698865,-0.7773371911389059,0.10723171745428427,0.5830496714440123,0.8689989620107202,-0.09925818142018061,0.42340642281248186,-1.004527125262117,1.2441919167212236,0.7473608792011228,-0.11007899751676221,1.0314873821350712,0.777915692357069,-0.6508394462220174,0.6195785903717996,-0.5849946329513485
Azerbaijan,AZE,0.7152685117639617,-0.08757186578445214,0.12053277373033944,-0.12623848397770945,-0.10447314465473499,0.36395569955843265,-1.7068665020673304,-0.35206912457932343,-0.3341052291159697,0.9321074729686262,0.006432515668490912,1.0977824821725892,-0.6518065343368139,-1.0140690457208796,-0.19552777591638812,0.6360222485693959,-0.3043928049244689,-0.08446581822666971,-0.11131485208574839,-0.8010467968596645,-0.5794433895878416,0.2154588629223898,-0.4120254384729117,-0.010676332265139594
Burundi,BDI,-2.2765412207500746,-0.08757186578445214,1.7510419847379641,-0.840517939705138,-1.0835517866363025,-0.7272339405214735,0.5598279838126576,-0.38093007461871775,-0.41617579085101314,-0.3022913727253701,1.0730588693711394,-1.4292978742461742,1.1906617334008855,1.9688678082310422,-2.089351154308542,1.81182614882863,-0.7664260898955214,-1.888969795628165,-0.11284797098214219,-1.1338095665363792,-0.13327363512675547,0.0798645972519868,0.03996808647891602,-0.6697267959942304
