Country Name,Country Code,Access to electricity (% of population),"Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,AFG,97.7,9.0,42.457,2213.181441047904,11.0,2464.314730607396,-2.197526467334612,652230.0,596455350.0,0.956772140958855,-143049.0,51.843053949596,27.710843373494,20.2,24.6588345720126,83.3065433479913,4.22,559.0,52925.0,523.0,44.0,793.0,501.0,348.0
Angola,AGO,41.8,10.0,63.321,7766.837875255461,23.2,53894.38579768794,20.87270317969893,1246700.0,28057496942.0,2.73333494465123,91614.0,52.0323838444687,36.8181818181818,48.1,64.2992302517989,65.22479804882309,,,,,,,,
Albania,ALB,99.9,9.0,48.477,12176.172898854396,59.6,13534.982832584585,-0.8642652212016912,27400.0,1956349224.0,1.10358100880452,-9347.0,68.473513186339,22.8571428571429,39.4,55.5738734464276,55.902272472853504,4511.0,638.0,69025.0,0.73,-19.0,901.0,567.0,322.0
United Arab Emirates,ARE,100.0,12.0,77.16,69986.98356758872,90.6,95583.15371005908,-5.418374318324368,71020.0,163482873886.0,,195317.0,81.7037621944191,22.5,0.1,84.5093991669984,0.808071677244697,6831.0,849.0,65.55,949.0,122.0,,739.0,245.0
Argentina,ARG,99.9,14.0,54.247,20105.761359796023,70.969,33543.788683116414,41.11937998822791,2736690.0,57113967523.0,0.8092453627175631,5215.0,64.0835958950498,35.7976653696498,9.4,91.5856817228217,21.084650671436588,6427.0,883.0,66.95,848.0,-195.0,851.0,732.0,312.0
Armenia,ARM,99.8,12.0,50.783,10570.272041393568,64.346,14153.661596486496,0.2685750765013921,28470.0,1763885303.0,4.09034921699325,-14697.0,68.5339571072627,10.6870229007634,13.2,64.5928753345316,43.737876038607,4325.0,709.0,66275.0,611.0,-175.0,921.0,516.0,437.0
Australia,AUS,100.0,11.0,61.242,47446.21030309511,86.54,135098.5279746627,-0.6734174959297405,7692020.0,184122179044.0,2.0896214779767,254648.0,65.9615614705209,28.6666666666667,9.6,87.0166295249235,10.40383699506106,7.25,942.0,70675.0,922.0,235.0,399.0,736.0,236.0
Austria,AUT,100.0,10.0,57.015,52397.86351766741,84.3237,91789.4990976752,1.814750823333128,82520.0,151960072918.0,0.73372291194157,65976.0,67.1339749165576,30.6010928961749,34.6,67.7218061923556,9.83301455145515,7048.0,926.0,70525.0,889.0,76.0,524.0,713.0,197.0
Azerbaijan,AZE,100.0,9.0,61.419,14535.802021063326,78.2,34303.56351433946,14.628338964790345,82670.0,13456771500.0,3.68852730317814,4671.0,70.2891585164324,16.8,1.9,55.7574797205266,55.0501782403119,5304.0,777.0,63225.0,713.0,-207.0,607.0,509.0,191.0
Burundi,BDI,8.5,,78.843,764.2822216369165,2.2,2676.222394380616,6.33813181746585,25680.0,107845201.0,2.2431638636818003,-109296.0,50.0141465984415,36.3636363636364,89.6,15.6180905635494,85.800721928781,,,,,,,,
