Country Name,Country Code,Access to electricity (% of population),"Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Brazil,BRA,99.8,14.0,57.142,16069.838015161047,73.9124,17360.102731863313,4.224258863782367,8358140.0,222128994318.0,1.38279724638797,-129216.0,69.6671137738846,15.009746588694,47.5,86.6797991084296,27.601150828178262,6451.0,899.0,65.4,0.83,-65.0,762.0,701.0,337.0
Bhutan,BTN,100.0,,64.559,12909.100984039864,74.1794,15222.39277106964,3.1080083741491364,38140.0,517921295.0,,287.0,69.9085018252565,14.8936170212766,81.0,39.0746823405146,70.7341889791536,,,,,,,,
Botswana,BWA,70.1,,50.724,15960.01561439028,61.3865,43862.92852576785,0.508004101032185,566730.0,5000718872.0,3.08122244554008,-11770.0,62.8846829208051,10.7692307692308,26.2,66.3271694845464,27.04741611380168,3471.0,774.0,53.9,833.0,-231.0,792.0,665.0,273.0
Central African Republic,CAF,14.3,10.0,69.08,984.8431836788568,7.50916,1747.9021639898458,2.32783705140642,622980.0,124765491.0,1.78989988276583,-36849.0,48.7913178211798,8.57142857142857,91.3,41.7800430407332,79.5560195545725,,,,,,,,
Canada,CAN,100.0,10.0,62.065,50498.97310574482,91.9129,106286.53964531775,1.5460707339358066,8965590.0,446050938755.0,1.28451224366918,387685.0,66.4846890068848,28.9940828402367,22.4,81.7363672047941,10.566511844344216,7109.0,925.0,71.3,912.0,107.0,436.0,781.0,285.0
Switzerland,CHE,100.0,11.0,65.321,73732.23533220934,93.1461,199103.5595642899,-0.1038950242797511,39509.63,313562743168.0,0.696324324760463,44517.0,66.3866169304802,41.5,24.8,80.7792907322229,9.538850231193493,7694.0,949.0,72.5,913.0,29.0,294.0,743.0,171.0
Chile,CHL,100.0,12.0,58.346,25611.757826945843,85.0176,35061.05338923257,2.567787213794958,742831.64,68237676940.00001,1.86471710953666,181339.0,68.97100513477,22.5806451612903,25.3,88.1273685623538,20.847939736657548,5942.0,869.0,70.0,659.0,-108.0,0.86,741.0,337.0
China,CHN,100.0,9.0,64.307,17600.890756849327,64.0809,24625.681413208466,1.315506507029852,9388210.0,2498360633620.0,1.6829110115129602,-656091.0,69.74115264804,24.9411764705882,14.3,62.7099151611328,35.321667604377744,5144.0,822.0,68.5,927.0,-176.0,,0.76,147.0
Cote d'Ivoire,CIV,68.6,10.0,63.131,5516.3905512682895,36.289,13159.164437938478,1.983352492608077,318000.0,12560696314.0,0.887657865631757,2043.0,55.2137233737626,10.9803921568627,61.1,51.3514799771241,70.63203726059021,5392.0,679.0,54.8,736.0,-18.0,799.0,663.0,425.0
Cameroon,CMR,63.2,6.0,65.003,4241.111749205922,36.5392,6641.730828249834,1.169771819115411,472710.0,4077826693.0,1.06457837839838,-12255.0,54.4719742477239,31.1111111111111,78.9,53.9487914119331,69.7334962750829,4937.0,711.0,54.5,712.0,-12.0,817.0,606.0,326.0
"Congo, Dem. Rep.",COD,19.1,6.0,61.335,1056.172066592413,16.4812,7139.205389427859,1.3969627316508593,2267050.0,13054930199.0,0.694017431863738,-144920.0,50.9289970562073,10.0,96.3,42.8747090907476,81.9502345225141,,,,,,,,
"Congo, Rep.",COG,47.7,10.0,54.159,5719.599773382912,,13979.063418478574,-1.3173665019561298,341500.0,5566128653.0,2.14627657925685,-6268.0,55.3301240719353,11.2582781456954,69.8,63.5176376123385,75.83026060092683,5213.0,625.0,56.2,686.0,-56.0,741.0,594.0,405.0
Colombia,COL,99.4,12.0,57.709,16181.590899066174,65.0069,18359.57789002557,4.002620542936384,1109500.0,39057679527.0,3.14565669372153,396826.0,69.6869318607033,18.7134502923977,31.5,77.4595528518377,42.76501203348777,6.35,873.0,69.0,822.0,-175.0,854.0,791.0,322.0
Comoros,COM,83.3,6.0,50.274,3293.056017484952,16.3838,2399.13079762269,4.492111857569654,1861.0,48188258.0,,-2916.0,56.9788374452375,6.06060606060606,55.3,31.7287584068243,57.31596884930105,4609.0,632.0,58.9,538.0,71.0,762.0,665.0,336.0
Costa Rica,CRI,99.7,13.0,57.318,23339.60913177869,81.2026,29571.3955173114,2.5667921174658943,51060.0,11444331890.0,,1653.0,68.7652107333185,45.6140350877193,33.4,77.0435864735963,25.278366480100843,6998.0,906.0,70.0,927.0,-154.0,836.0,791.0,303.0
Cuba,CUB,99.8,9.0,54.332,,67.9708,22145.356482130028,3.544742990471008,103800.0,2062106930.0,,-23955.0,68.6787371406008,53.2231404958678,23.1,77.0728225708008,21.39596789626471,,,,,,,,
Cyprus,CYP,100.0,10.0,61.382,41816.42578125,86.0636,26146.20354529657,1.3500864369690362,9240.0,2990163982.0,1.7695935370563802,9983.0,70.6890608830614,17.8571428571429,12.0,66.7677357070518,11.712463383961955,6137.0,776.0,72.4,0.74,-16.0,865.0,663.0,0.29
Czechia,CZE,100.0,10.0,58.906,45614.01711325321,80.8669,35964.45614491138,3.841317898908698,77205.5,198967803170.0,1.13323967641325,5553.0,64.1400490294769,22.5,15.9,72.7876426709563,13.772627577159138,,,,,,,,
Germany,DEU,100.0,13.0,59.368,59270.72764969848,88.1345,81722.6522887847,2.0092912272777284,349390.0,1483926920826.0,1.24014846331417,319082.0,64.709009583285,30.8885754583921,17.1,81.3053991689039,5.295985185564291,7035.0,886.0,70.9,885.0,53.0,462.0,712.0,226.0
Djibouti,DJI,64.7,10.0,23.565,5398.000367739843,58.4762,43427.29864301298,0.4498451615000789,23180.0,3558141916.0,,1322.0,64.0188976117585,26.1538461538462,23.4,71.7418146554518,30.335414482978607,,,,,,,,
Denmark,DNK,100.0,10.0,59.311,60594.96640019097,98.0464,128375.80736192412,0.9508786065089794,40000.0,109781292974.0,1.29920660644454,9488.0,63.8569667124335,39.1061452513966,37.2,88.2096490810669,5.969508147918895,7693.0,958.0,71.0,963.0,16.0,174.0,797.0,181.0
Dominican Republic,DOM,99.0,15.0,61.045,19766.7628586981,79.7155,25523.647625901685,3.5954507049397364,48198.02,10770137479.0,0.689583054746984,-35797.0,65.4731826616995,26.8421052631579,14.4,73.5403464672933,39.19349372528139,6004.0,884.0,64.0,877.0,-125.0,746.0,747.0,264.0
Algeria,DZA,99.5,10.0,37.011,13892.533344620471,55.7907,19512.44018106704,0.8829928288470228,2381740.0,35311723330.0,5.32695853750995,-27786.0,63.5858047801217,25.7575757575758,0.2,72.4824561380175,26.87865055292578,4745.0,803.0,66.4,385.0,0.0,741.0,544.0,215.0
Ecuador,ECU,99.1,15.0,63.656,12543.01482439246,59.2,20668.89483629963,-0.0565742583910378,248360.0,22227969750.0,2.18038189769994,54921.0,65.732908693337,37.956204379562,17.7,63.0627139714638,51.7228762159523,5809.0,808.0,68.5,0.83,-118.0,839.0,0.75,374.0
"Egypt, Arab Rep.",EGY,100.0,12.0,38.885,13363.73269632299,57.2829,17711.50476120716,13.61809591099626,995450.0,30030744172.0,1.1809717968471098,7050.0,61.6643683303097,14.9328859060403,6.2,42.4812027332648,19.5069705952861,4328.0,772.0,63.0,774.0,-198.0,,0.42,313.0
Spain,ESP,100.0,10.0,49.499,44042.75757733598,90.7187,65520.42758720022,1.4286712365239111,499570.036,324125283956.0,1.22464525288942,464783.0,66.1693765330282,44.0,16.7,79.6349761108307,11.106685973762213,6457.0,949.0,72.1,778.0,-53.0,0.73,636.0,316.0
Estonia,EST,100.0,9.0,60.31,40586.37843788875,90.2289,33312.01256201886,3.822679868077401,42750.0,15945749363.0,1.99845018670744,5386.0,63.6685115518553,29.7029702970297,31.3,69.5787397662154,7.170832741384338,6035.0,934.0,69.2,887.0,-99.0,576.0,738.0,156.0
