Country Name,Country Code,Access to electricity (% of population),"Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,AFG,71.5,9.0,42.906,2284.0758478934936,8.26,2399.1279352819465,2.447563001474037,652230.0,571404989.0,0.9945758227236452,-286314.0,51.3839679093288,27.710843373494,17.7,24.4649118421568,84.13296313383731,3983.0,529.0,52.6,389.0,82.0,881.0,491.0,339.0
Angola,AGO,42.0,6.0,63.638,8067.485846830182,22.0,55045.35966179211,-2.95734582640344,1246700.0,33676900241.000004,3.10542629308278,74171.0,52.0344151201028,36.8181818181818,47.1,63.51567832685,65.26278380482658,,,,,,,,
Albania,ALB,100.0,9.0,45.955,11571.706559893077,56.9,14499.44284104722,0.7715762906115913,27400.0,2006221383.0,1.16230386432234,-20500.0,68.4632957891861,20.7142857142857,38.5,55.1579291374894,56.450566600066,4607.0,639.0,69.0,704.0,-82.0,885.0,579.0,0.35
United Arab Emirates,ARE,100.0,12.0,76.599,73986.0636395945,90.5,95523.4303613922,-16.059832127168832,71020.0,167659641106.0,,342468.0,81.6642098864586,22.5,0.1,84.3284383471193,0.779650834551746,6568.0,824.0,65.4,915.0,193.0,,722.0,296.0
Argentina,ARG,99.7,14.0,54.744,19899.149927524544,68.0431,34434.04865202157,26.57999160247072,2736690.0,55594213439.0,0.8501285974638151,5464.0,64.0810849650845,,9.4,91.4923019108628,20.60437204667696,6697.0,926.0,66.9,881.0,-178.0,851.0,768.0,305.0
Armenia,ARM,100.0,12.0,50.3,9756.84084836026,59.1008,14124.139766707558,1.213909904710846,28470.0,1475354720.0,4.23922578573229,-15225.0,68.961951131008,10.6870229007634,10.7,64.4929623431549,44.713284091974,4348.0,723.0,66.0,551.0,-207.0,901.0,527.0,438.0
Australia,AUS,100.0,11.0,61.135,46464.58676279291,84.5605,135642.4887830884,-0.6274079346060546,7682300.0,182619212915.0,1.9523262850199297,212350.0,66.1974159681463,26.6666666666667,9.4,86.8778642539361,10.19636020125781,7309.0,952.0,70.6,922.0,328.0,357.0,0.75,0.21
Austria,AUT,100.0,10.0,56.73,49549.31623114405,83.9401,89458.95955781023,2.2926347015487067,82520.0,152592052791.0,0.7025769198330389,115175.0,67.234719049435,30.6010928961749,34.8,67.5576175537383,10.208779216502071,7076.0,928.0,70.4,0.9,95.0,557.0,748.0,164.0
Azerbaijan,AZE,100.0,9.0,60.386,15075.272634791074,77.0,37983.967209537215,-8.809615566099524,82663.0,12728254500.0,5.46487679293858,1073.0,70.7521032313631,16.9354838709677,2.3,55.1570486328276,55.350505621417,5147.0,786.0,63.1,764.0,-201.0,616.0,0.52,206.0
Burundi,BDI,7.9,,78.337,722.0328983799333,2.0,2715.895026780028,5.991542573549651,25680.0,101741287.0,2.1313199145947404,-236207.0,50.7329704786026,36.3636363636364,91.2,14.6695085474754,86.1758448110596,,,,,,,,
Belgium,BEL,100.0,12.0,48.842,46071.914889496016,85.0529,91656.3671117768,1.1218385191681648,30333.0,392692699536.0,0.9118299650092168,63536.0,64.8430252778753,39.3333333333333,9.4,86.2212893480444,11.833142503129327,6904.0,885.0,70.0,869.0,58.0,469.0,747.0,0.24
Benin,BEN,29.6,6.0,72.132,2725.3372481714405,11.255,2465.337270671917,0.8515042611802102,112760.0,624862119.0,0.7984852978897811,3369.0,53.5644826221245,7.2289156626506,49.9,45.9407403257663,83.0559753050062,3625.0,434.0,54.3,733.0,-26.0,0.85,555.0,373.0
Burkina Faso,BFA,16.2,10.0,75.102,1691.5793538740809,6.55,2585.108931929292,-2.223954179193143,273600.0,2216923254.0,1.25078088033268,-19726.0,51.9206377296387,9.44881889763779,78.8,25.621432645225,80.817784226981,4419.0,705.0,53.4,659.0,5.0,693.0,555.0,359.0
Bangladesh,BGD,74.0,5.0,53.972,4212.235780894276,12.9,4318.885739712089,5.872777041023227,130170.0,24643402526.0,1.20851710681525,-909223.0,63.9150578117155,20.0,33.1,29.5395099477892,57.902961981056,4633.0,601.0,63.8,815.0,-82.0,721.0,543.0,226.0
Bulgaria,BGR,96.6,10.0,49.252,17652.947096756332,56.6563,13596.376100394633,2.947746378600911,108560.0,24546625083.0,1.24593360652028,-4227.0,65.8828672924077,20.4166666666667,17.9,73.1030578613281,7.338142781195309,4865.0,908.0,65.9,637.0,-205.0,941.0,556.0,214.0
Bahrain,BHR,100.0,9.0,70.528,48034.24688805034,93.4783,47070.65861546235,-8.756673402469445,778.0,13868860100.0,4.644111349036399,36809.0,76.9024568320374,7.5,0.0,100.0,0.9966401000156272,6007.0,853.0,66.2,0.85,107.0,,653.0,303.0
Bosnia and Herzegovina,BIH,99.7,9.0,36.054,11066.154068834703,52.6,11106.897059685783,1.3954881238710757,51200.0,4988335509.0,0.988857622509173,-33948.0,68.4674654164134,21.4285714285714,25.2,47.5711645087011,21.27154585782493,5117.0,656.0,67.0,631.0,-55.0,0.96,486.0,286.0
Belarus,BLR,97.4,9.0,60.49,18133.53130858829,62.2304,11950.97963020332,16.02249378973346,202978.0,26338128900.0,1.13806602416355,18088.0,69.5172848567025,27.2727272727273,6.8,76.6263885498047,7.32461595766971,5719.0,924.0,65.1,623.0,-95.0,669.0,546.0,184.0
Belize,BLZ,91.8,8.0,59.031,9538.386911460088,41.59,14435.192614495862,-0.1896950672615105,22810.0,320250415.0,0.8928305059736991,1596.0,64.0869635986563,3.125,30.3,43.931184585988,26.1975170874599,,,,,,,,
Bolivia,BOL,91.5,14.0,65.437,8757.317771154065,37.4868,7353.929723608464,-4.620602258456358,1083300.0,8736031382.0,1.75943591545975,-10525.0,61.8000754445988,53.0769230769231,14.2,68.3958051297665,67.3596828992072,5834.0,829.0,62.7,884.0,-31.0,862.0,749.0,393.0
Brazil,BRA,99.7,14.0,58.787,14821.438317518334,58.328,16619.43292661108,7.566175007869049,8358140.0,188086189100.0,1.36551715396161,-173611.0,69.6409897160951,9.94152046783626,43.7,85.6935697061881,26.25708503243282,6547.0,907.0,64.7,799.0,-19.0,771.0,687.0,325.0
Bhutan,BTN,95.4,,61.593,10213.813960892168,39.8,26143.484527418103,3.209777274453174,38117.0,685953897.0,,450.0,67.4120801816861,8.51063829787234,81.6,36.6983375690037,72.7974166519113,5082.0,848.0,62.6,0.83,276.0,634.0,723.0,312.0
Botswana,BWA,62.1,,50.428,14143.694073372764,37.3121,42896.09751177408,3.730305856295459,566730.0,6329690145.0,2.82519449903662,-9599.0,62.0886517467422,9.52380952380952,26.1,65.4103584313295,27.899261046599328,3762.0,816.0,52.8,857.0,-105.0,0.86,676.0,261.0
Central African Republic,CAF,12.7,10.0,69.181,768.8708879991735,2.9,1560.1709842964676,2.708263107852815,622980.0,190201178.0,1.57531677890907,-63045.0,49.0395620696385,,92.9,39.9824421267351,79.6020025399142,,,,,,,,
Canada,CAN,100.0,10.0,61.311,44668.09128143034,90.0,103401.58412398124,-0.86765132022812,8965590.0,408291050226.0,1.15270937445521,224332.0,67.7571212622664,26.0355029585799,22.3,81.2465670276699,10.474287242647762,7413.0,939.0,71.1,931.0,249.0,427.0,792.0,286.0
Switzerland,CHE,100.0,11.0,64.942,65265.04573355997,87.4791,177091.54932851702,-1.2650567013788103,39510.23,289806245654.0,0.651341082840214,71876.0,67.2522559933481,32.0,23.9,75.6044960143169,10.26878120485536,7572.0,938.0,71.7,928.0,102.0,0.21,794.0,166.0
Chile,CHL,99.7,12.0,58.149,22468.31257455472,76.6296,34135.62110617424,4.954365530025754,741682.76,61699196108.0,1.9096233898132,55689.0,68.8110909659556,15.8333333333333,25.1,87.4653320342387,19.840745401878483,6533.0,827.0,69.4,769.0,34.0,812.0,752.0,333.0
China,CHN,100.0,9.0,66.078,13463.333151110472,50.3,20703.05481512005,0.1372612006023956,9388211.0,2275977192969.0,1.77677106896806,-646941.0,71.6284345359877,23.6228455559311,12.2,57.3297843933105,37.3670101435152,5304.0,794.0,68.0,,-247.0,,667.0,171.0
Cote d'Ivoire,CIV,62.6,10.0,65.217,4403.642966189985,38.44,11317.612107235314,4.775682372708275,318000.0,12469684137.0,1.24391728133935,522.0,55.2565346841825,9.16334661354582,64.5,49.4694894689553,73.3441705576149,4445.0,704.0,52.5,0.8,-55.0,744.0,614.0,347.0
Cameroon,CMR,58.6,6.0,68.65,3497.660675639586,18.3,6380.487431725324,0.309791677780538,472710.0,3997911346.0,1.09889864309409,42008.0,53.994740112473,31.1111111111111,78.1,52.6440863142742,73.5754353091425,5038.0,646.0,51.8,791.0,44.0,868.0,624.0,346.0
