Country Name,Country Code,Access to electricity (% of population),"Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,AFG,33.5,6.0,42.893,1121.834470777486,2.10712,3349.1403566303256,7.199751292923878,652230.0,519370514.0,1.89623399634252,57673.0,47.872283121037,27.3092369477912,31.9,20.1104530189181,93.1873845507324,,,,,,,,
Angola,AGO,30.5,4.0,64.804,6017.818162525102,1.5,40145.95832436968,16.81441774097175,1246700.0,31758354815.0,3.76149530543532,95431.0,52.1113870058968,15.0,62.6,56.8939032662772,78.9800674798274,,,,,,,,
Albania,ALB,99.4,8.0,46.704,6374.632359164227,9.60999,13094.318460318034,2.68476832531357,27400.0,748459492.0,1.56776908873068,-48882.0,65.6110994839565,7.14285714285714,31.6,47.0701050949378,54.741597604276905,,,,,,,,
United Arab Emirates,ARE,100.0,6.0,74.934,106814.05364035604,52.0,121731.71960679415,11.96214928658415,71020.0,107605825170.0,3.2259744730463704,399306.0,80.9708730111197,5.0,0.1,82.5588968646829,0.260444486775702,6734.0,903.0,64.86,898.0,-42.0,203.0,694.0,275.0
Argentina,ARG,97.0,13.0,55.567,14843.577865964187,20.9272,34880.09571002011,13.741052485915231,2736690.0,45590378724.0,0.7882338774614689,-20109.0,63.2909967072682,35.0194552529183,9.2,90.3033726521064,20.257305104166733,6313.0,938.0,65.82,733.0,-0.16,852.0,748.0,328.0
Armenia,ARM,99.1,10.0,54.305,6072.759244798545,5.63179,12790.985686918864,4.618012508188272,28470.0,981266243.0,2.94761315625864,-29921.0,68.2658072878436,5.34351145038168,7.7,64.4758978663344,46.9942614799422,4289.0,682.0,63.84,0.52,-232.0,0.85,453.0,469.0
Australia,AUS,100.0,11.0,61.747,34890.22481366933,66.0,109018.22404582342,5.111663917274044,7682300.0,120031910718.0,1.8177309027711,191985.0,67.4173909650197,24.6666666666667,6.8,85.7492544263523,11.56781143998622,,,,,,,,
Austria,AUT,100.0,9.0,55.447,37388.07953807646,63.6,87699.36836909363,2.0446199795761686,82520.0,136361092784.00002,0.791400408855326,25787.0,67.5530177305078,32.2404371584699,26.6,67.0006968062814,11.48292147183258,7122.0,936.0,69.5,941.0,298.0,0.49,746.0,174.0
Azerbaijan,AZE,99.5,9.0,60.511,9398.013247942634,11.9922,30350.929834240684,11.32918832807215,82637.0,6365806096.0,3.41775933255807,16909.0,69.0272551536037,11.2903225806452,2.9,52.6540145874023,57.532628196492,4728.0,854.0,60.58,772.0,-237.0,774.0,469.0,276.0
Burundi,BDI,2.7,,74.981,579.707804423789,0.657593,3469.3734884711694,2.8456663337667294,25680.0,46876050.0,3.51171845179021,15322.0,52.108883979009,30.5084745762712,95.3,9.4646291775586,87.14862827668699,,,,,,,,
Belgium,BEL,100.0,12.0,48.73,35251.44506975928,61.9819,82147.70955577091,2.264716189332617,30333.0,363258278642.0,1.05612306878486,53574.0,65.8063026840218,34.6666666666667,2.9,83.8578905877926,11.94333915724396,,,,,,,,
Benin,BEN,27.9,6.0,71.17,2020.6056773472208,1.53785,2236.3315597802766,2.0943170727907585,112760.0,224593045.0,0.665723323947751,-15135.0,52.503341101053,7.2289156626506,57.3,40.7877794072449,84.3041154716285,3.33,445.0,51.96,0.58,-11.0,0.79,521.0,309.0
